Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
Boise StNCAA D1,20-120.625,1,637.76,5841.81,7497.24,6922.15,2.9,8136.65,25-26
NevadaNCAA D1,24-130.649,1,647.76,7340.5,10395.15,5322.92,2.89,8436.05,25-26
Florida StNCAA D1,18-150.545,1,657.76,6741.03,4299.14,12219.46,2.94,6939.03,25-26
StanfordNCAA D1,20-130.606,-3,667.75,7140.68,9195.69,6122.56,2.9,7637.78,25-26
TulsaNCAA D1,30-80.789,2,677.75,9737.43,5898.02,18916.98,2.89,10832.86,25-26
ColoradoNCAA D1,17-160.515,-1,687.74,6241.4,4199.21,11219.76,2.98,5540.15,25-26
Miami OHNCAA D1,32-20.941,-1,697.73,11635.16,6497.77,24914.96,2.75,22927.57,25-26
DaytonNCAA D1,25-120.676,,707.71,8039.65,14292.82,3324.41,2.78,9734.64,25-26
LSUNCAA D1,15-170.469,,717.7,6041.69,4099.51,11319.75,2.93,5640.11,25-26
XavierNCAA D1,15-180.455,1,727.69,6441.08,24101.01,17117.64,2.95,4940.48,25-26
Wake ForestNCAA D1,18-170.514,-1,737.69,6940.86,6597.71,9120.72,2.9,7038.91,25-26
ProvidenceNCAA D1,15-180.455,2,747.68,6641.03,12103.1,23615.51,2.86,5140.35,25-26
AkronNCAA D1,29-60.829,,757.68,9138.12,5198.53,18317.16,2.81,17629.09,25-26
BelmontNCAA D1,26-60.813,-2,767.67,9537.79,4598.74,20016.63,2.79,13531.21,25-26
ButlerNCAA D1,16-160.500,1,777.67,7640.05,4998.61,13819.02,2.82,6239.54,25-26
MarylandNCAA D1,12-210.364,-1,787.66,6541.06,10794.79,3923.84,2.87,2242.49,25-26
Grand CanyonNCAA D1,20-120.625,1,797.65,7839.97,11394.59,5222.95,2.77,9035.08,25-26
CaliforniaNCAA D1,22-120.647,1,807.65,8838.41,7796.74,12919.24,2.87,8535.87,25-26
Mississippi StNCAA D1,13-190.406,1,817.65,7040.77,5998,9920.34,2.85,3441.59,25-26
