Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
St Michael'sNCAA D2,24-90.727,,4256.22,49813.84,53081.71,5078.7,2.81,50513.05,23-24
HillsdaleNCAA D2,18-100.643,1,4266.2,39719.22,59580.09,25715.69,2.77,54711.36,23-24
Carson-NewmanNCAA D2,22-80.733,-1,4276.2,43017.65,25688.56,6005.65,2.83,5889.69,23-24
SienaNCAA D1,4-280.125,,4286.2,37320.58,57880.59,22516.55,2.92,21329.02,23-24
AK AnchorageNCAA D2,22-110.667,1,4296.2,45316.29,63379.16,33713.69,2.83,52312.31,23-24
KY WesleyanNCAA D2,21-100.677,-1,4306.19,44516.49,48282.99,45410.06,2.91,53211.94,23-24
Thomas AquinasNCAA D2,25-60.806,5,4316.19,45216.31,18690.67,7412.2,2.74,6287.67,23-24
MO St LouisNCAA D2,13-160.448,,4326.19,41318.47,54281.42,34413.62,2.8,38618.05,23-24
CedarvilleNCCAA,23-120.657,-2,4336.19,44116.97,32986.58,5606.96,2.93,53112.02,23-24
MillersvilleNCAA D2,24-70.774,1,4346.19,48514.54,44083.96,5567.15,2.95,58110.1,23-24
Fairmont StNCAA D2,21-80.724,-1,4356.18,43417.29,33686.2,5427.65,2.87,5969.47,23-24
Truman StNCAA D2,15-150.500,-3,4366.18,42717.82,38785.15,4839.24,2.9,39316.96,23-24
St Francis PANCAA D1,8-220.267,,4376.17,41418.43,52681.95,36713.04,2.94,34723.76,23-24
S ConnecticutNCAA D2,22-110.667,7,4386.16,45916.08,45083.75,5018.89,2.89,52012.35,23-24
Incarnate WordNCAA D1,8-230.258,-1,4396.16,42617.88,40884.66,4639.78,2.87,33724.41,23-24
Grand Valley StNCAA D2,16-150.516,-1,4406.16,42517.99,40384.77,4649.78,2.76,41415.76,23-24
St CloudNCAA D2,12-170.414,-1,4416.16,43217.43,40284.78,4849.21,2.99,37219.3,23-24
NW NazareneNCAA D2,17-120.586,,4426.16,44716.44,68078.02,28114.99,2.84,46514.19,23-24
AugustaNCAA D2,17-120.586,,4436.15,41618.3,33286.4,5148.46,2.99,50413.14,23-24
FlaglerNCAA D2,20-110.645,,4446.15,46515.96,32086.68,5915.84,2.81,51612.66,23-24
Northern St SDNCAA D2,10-190.345,2,4456.15,38819.72,29387.32,4968.95,2.97,37019.51,23-24
Trinity CTNCAA D3,30-20.938,,4466.14,50513.71,68877.61,38312.67,2.92,777-0.54,23-24
Lincoln MONCAA D2,15-160.484,2,4476.14,44316.55,63979.03,31314.09,2.96,39616.77,23-24
AL HuntsvilleNCAA D2,21-110.656,-7,4486.14,46016.06,35085.94,5656.69,2.84,52712.18,23-24
LindenwoodNCAA D1,9-220.290,1,4496.13,46316,57080.74,40611.81,2.85,35323.55,23-24
Randolph-MaconNCAA D3,25-50.833,-2,4506.13,41518.36,69477.52,19817.4,2.84,7032.29,23-24
C MissouriNCAA D2,13-150.464,2,4516.12,46216.01,78874.88,19017.69,3.04,38717.66,23-24
PaceNCAA D2,18-110.621,4,4526.12,45116.33,63079.26,34313.63,2.8,51312.69,23-24
BarryNCAA D2,17-140.548,-2,4536.12,43317.41,25188.71,6145.27,2.84,45514.5,23-24
Azusa PacificNCAA D2,16-170.485,,4546.12,42118.07,54081.47,36013.16,2.98,43215.13,23-24
Florida A&MNCAA D1,6-230.207,-3,4556.12,40718.64,51782.31,37512.89,2.89,31725.72,23-24
McKendreeNCAA D2,15-130.536,-1,4566.12,45016.35,40684.69,5218.22,2.82,43315.12,23-24
ConcordNCAA D2,22-80.733,1,4576.1,52312.8,44983.77,6045.58,2.84,55111.22,23-24
WV StateNCAA D2,20-100.667,1,4586.1,46915.81,20289.88,7292.5,2.76,55011.29,23-24
AdelphiNCAA D2,18-110.621,5,4596.09,47315.57,44383.88,5198.25,2.85,51512.66,23-24
Palm Beach AtlNCAA D2,17-120.586,,4606.08,46715.91,31486.79,5985.68,2.91,50313.18,23-24
AshlandNCAA D2,17-110.607,,4616.08,45716.15,49482.74,4599.97,2.86,53311.87,23-24
Lee TNNCAA D2,21-90.700,-5,4626.08,45816.11,55281.31,41611.36,2.8,6049.22,23-24
WI PlattevilleNCAA D3,26-50.839,7,4636.08,50613.69,51482.42,5367.83,2.79,6525.35,23-24
WingateNCAA D2,22-90.710,-1,4646.08,49913.84,31386.81,6853.58,2.83,55510.97,23-24
Southern NazareneNCAA D2,16-140.533,,4656.07,42917.65,56480.92,35413.3,2.94,48713.54,23-24
Florida TechNCAA D2,16-120.571,,4666.06,45616.2,60379.71,36613.05,2.86,51012.73,23-24
Columbus StNCAA D2,16-130.552,,4676.06,47415.24,54781.35,43910.45,2.84,46014.33,23-24
Hawaii HiloNCAA D2,19-130.594,1,4686.06,48614.54,58680.31,42410.78,2.83,49013.5,23-24
WI ParksideNCAA D2,13-160.448,-1,4696.06,43917.17,59180.25,35113.48,2.89,40915.94,23-24
T JeffersonNCAA D2,23-90.719,1,4706.04,44216.7,38985.1,5248.16,2.83,6257.89,23-24
W WashingtonNCAA D2,17-120.586,1,4716.04,45416.28,13892.08,7930.76,2.8,52112.33,23-24
Hawaii PacificNCAA D2,18-120.600,2,4726.04,53412.23,68577.88,42110.91,2.84,45414.51,23-24
BiolaNCAA D2,18-120.600,,4736.04,47515.11,55681.19,43610.48,2.81,52512.28,23-24
John CarrollNCAA D3,26-30.897,-12,4746.04,53912.05,38085.32,6943.3,2.84,6773.63,23-24
PostNCAA D2,21-100.677,5,4756.03,51313.23,57580.66,4869.13,2.85,55810.82,23-24
TrineNCAA D3,29-40.879,20,4766.03,54911.57,59080.26,5357.87,2.79,7131.69,23-24
GuilfordNCAA D3,26-50.839,4,4776.03,47914.76,79574.64,22316.68,2.89,7082.04,23-24
LynnNCAA D2,17-120.586,-3,4786.03,52912.45,29187.37,7621.64,2.89,43715.04,23-24
Houston ChrNCAA D1,6-230.207,-3,4796.03,44816.41,29987.06,5885.92,2.92,32225.18,23-24
DetroitNCAA D1,1-310.031,-3,4806.03,34222.14,34186.12,38512.58,3.04,17430.28,23-24
Seattle PacificNCAA D2,17-150.531,1,4816.02,46815.87,48582.96,4739.46,2.9,48913.51,23-24
NW Oklahoma StNCAA D2,17-130.567,-3,4826.02,49214.05,52382.05,5108.56,2.86,48113.74,23-24
Thomas MoreNCAA D2,19-120.613,-5,4836.02,49514.03,66678.31,39312.28,2.73,53811.61,23-24
St AnselmNCAA D2,16-150.516,-1,4846.02,45516.24,44483.84,4958.96,2.99,46914.05,23-24
Sonoma StNCAA D2,15-140.517,,4856.01,49713.99,71276.97,34613.58,2.82,42915.18,23-24
Lock HavenNCAA D2,21-80.724,1,4866,52612.59,56680.86,5178.3,2.86,6029.25,23-24
Regis CONCAA D2,15-140.517,-1,4875.99,48214.67,51582.33,4998.9,2.89,45914.35,23-24
West AlabamaNCAA D2,19-110.633,-4,4885.99,47015.61,72876.58,26415.6,2.91,5939.55,23-24
VMINCAA D1,4-280.125,-1,4895.98,44017.12,36885.61,5268.07,2.98,26827.35,23-24
Indiana PANCAA D2,17-130.567,,4905.98,43517.29,61279.54,30214.31,2.84,56910.42,23-24
DruryNCAA D2,15-130.536,-2,4915.97,50213.8,48782.92,5477.44,3.05,47713.79,23-24
CalvinNCAA D3,25-50.833,13,4925.97,53812.08,67478.19,43810.45,2.77,6952.81,23-24
W Salem StNCAA D2,19-90.679,-1,4935.97,48114.71,70577.1,30914.16,2.87,6158.69,23-24
Missouri S&TNCAA D2,15-120.556,-3,4945.96,51113.35,41084.58,6125.33,2.85,50113.2,23-24
DaemenNCAA D2,25-90.735,5,4955.96,49314.04,54381.41,4859.2,2.93,6436.29,23-24
Wayne St MINCAA D2,14-150.483,-3,4965.96,50013.81,57180.7,4699.67,2.92,42815.19,23-24
S Francisco StNCAA D2,17-150.531,-3,4975.96,51813.04,70277.24,38912.36,2.96,46614.16,23-24
Concordia SPNCAA D2,10-180.357,-3,4985.95,49414.04,30586.94,6783.65,2.91,37119.47,23-24
AssumptionNCAA D2,16-140.533,-1,4995.94,49014.14,47283.19,5457.51,2.94,50013.26,23-24
Oklahoma ChrNCAA D2,13-150.464,-3,5005.94,50313.74,53381.65,5098.65,2.88,42515.42,23-24
BloomfieldNCAA D2,22-100.688,1,5015.93,52212.82,45483.68,5975.7,2.78,6088.97,23-24
St Mary's TXNCAA D2,12-160.429,-3,5025.93,47614.87,31086.88,6434.56,2.88,41215.8,23-24
Michigan TechNCAA D2,11-170.393,-2,5035.92,47714.85,54581.39,45610.02,2.96,40016.45,23-24
TiffinNCAA D2,18-130.581,-1,5045.92,51713.04,63879.05,43310.56,2.81,53711.61,23-24
Maryville MONCAA D2,12-140.462,-1,5055.91,51013.5,69177.56,38712.5,2.77,44014.87,23-24
NE OklahomaNCAA D2,11-170.393,1,5065.91,47814.8,53581.6,4659.75,2.84,40616.18,23-24
IUPUINCAA D1,6-260.188,-1,5075.9,49614.02,58280.38,44510.2,2.95,33024.92,23-24
StonehillNCAA D1,4-270.129,1,5085.9,44916.37,57480.66,39412.28,2.91,30426.15,23-24
BenedictNCAA D2,23-80.742,-1,5095.9,52012.93,32586.64,7112.85,2.81,6406.42,23-24
Saginaw ValNCAA D2,13-150.464,2,5105.89,48814.35,41584.45,5766.46,2.89,48013.75,23-24
Georgia SWNCAA D2,16-140.533,-1,5115.89,50713.63,53481.64,5118.55,2.8,52612.25,23-24
Clark AtlantaNCAA D2,26-60.813,-1,5125.88,6019.14,66778.3,5487.4,2.77,6466.06,23-24
Dominican NYNCAA D2,19-110.633,5,5135.87,52112.87,32186.68,7172.75,2.66,5959.52,23-24
Chr BrothersNCAA D2,17-110.607,-1,5145.87,53012.4,59879.95,4919.01,2.82,56010.67,23-24
RockhurstNCAA D2,12-160.429,1,5155.87,48914.3,43284.12,5626.73,2.95,44814.64,23-24
ChowanNCAA D2,20-90.690,-1,5165.87,55111.46,46583.31,6314.71,2.85,6178.61,23-24
CSU-PuebloNCAA D2,14-160.467,,5175.87,49114.11,42784.23,5776.44,2.83,47613.82,23-24
Chris NewportNCAA D3,24-70.774,5,5185.86,52712.54,69077.59,41211.5,2.81,6982.58,23-24
West ChesterNCAA D2,19-110.633,1,5195.86,52512.7,35185.9,6923.36,2.97,5989.43,23-24
Purdue NorthwestNCAA D2,13-160.448,-1,5205.85,52412.77,56281.02,5168.31,2.96,45114.53,23-24
Case WesternNCAA D3,23-50.821,-7,5215.85,57110.44,33386.32,7970.69,2.87,6693.96,23-24
East Central OKNCAA D2,13-150.464,-1,5225.85,50813.6,64778.77,41511.4,2.84,48813.54,23-24
Ark MonticelloNCAA D2,13-150.464,-1,5235.85,53612.15,81573.79,28714.92,2.93,46314.2,23-24
TusculumNCAA D2,14-140.500,1,5245.83,53712.12,58180.44,5208.24,2.92,49313.36,23-24
SD MinesNCAA D2,11-190.367,2,5255.83,51912.97,56880.81,5058.71,2.98,39217.01,23-24
Georgia C&SNCAA D2,15-150.500,,5265.83,55211.38,52881.88,5866.06,2.88,48413.62,23-24
OK BaptistNCAA D2,12-160.429,1,5275.82,47215.6,50282.6,4719.56,2.94,51812.48,23-24
MercyhurstNCAA D2,15-160.484,2,5285.82,46415.97,72376.69,25315.84,3.01,57210.33,23-24
Keene StNCAA D3,26-40.867,-5,5295.82,54411.73,36785.66,7222.63,2.65,786-0.82,23-24
Slippery RockNCAA D2,16-140.533,3,5305.8,54112,58080.53,5298.03,2.94,53911.6,23-24
CS Poly PomonaNCAA D2,10-160.385,1,5315.8,50913.51,74776.01,31514.06,2.86,42715.21,23-24
Delta StNCAA D2,17-130.567,-3,5325.8,56110.99,48982.9,6364.65,2.96,54611.41,23-24
Coppin StNCAA D1,2-270.069,-2,5335.8,46615.95,64478.88,34213.64,2.87,24628.05,23-24
St LeoNCAA D2,11-170.393,,5345.79,50113.8,34985.98,6514.38,2.82,43914.9,23-24
NE WesleyanNCAA D3,26-60.813,5,5355.79,5949.42,70377.14,5038.84,2.83,7002.5,23-24
S ArkansasNCAA D2,11-180.379,-1,5365.79,48414.57,55481.29,4629.84,2.92,47313.97,23-24
ClaflinNCAA D2,18-110.621,-1,5375.79,55011.5,60079.79,5188.27,2.83,6098.86,23-24
MaloneNCCAA II,15-140.517,-1,5385.78,51513.09,63479.15,43510.5,2.8,56510.56,23-24
CS San MarcosNCAA D2,10-180.357,-1,5395.77,48314.62,55181.32,4619.87,2.88,44914.59,23-24
QuincyNCAA D2,11-170.393,-1,5405.76,53312.28,58980.29,5128.55,3.01,45314.51,23-24
EckerdNCAA D2,13-160.448,,5415.75,54611.64,50582.58,6035.62,2.89,48613.54,23-24
MilesNCAA D2,23-70.767,,5425.75,55811.07,86172.67,28514.96,2.85,6972.62,23-24
Lincoln PANCAA D2,17-140.548,1,5435.75,54811.57,69777.39,42510.74,2.87,58010.16,23-24
FindlayNCAA D2,12-160.429,-1,5445.75,51413.15,47783.04,5686.67,2.98,51112.72,23-24
Col SpringsNCAA D2,12-160.429,1,5455.74,51613.08,51682.33,5547.3,2.94,51712.65,23-24
Anderson SCNCAA D2,16-140.533,1,5465.74,53112.38,31886.74,7402.2,2.88,57610.28,23-24
Seton HillNCAA D2,16-130.552,1,5475.73,56810.65,62879.29,5337.92,2.79,55910.76,23-24
Chadron StNCAA D2,13-170.433,1,5485.72,53212.36,37685.47,6893.45,2.97,50612.94,23-24
Concordia CANCAA D2,10-170.370,2,5495.72,56210.95,70977.05,43710.46,2.85,41715.74,23-24
SW OklahomaNCAA D2,10-190.345,,5505.72,55411.29,64878.75,4889.1,2.83,40416.32,23-24
Fayetteville StNCAA D2,18-140.563,1,5515.72,54511.72,85372.79,26915.49,2.85,6138.74,23-24
Henderson StNCAA D2,9-180.333,1,5525.71,48714.38,37485.5,6085.44,2.92,45814.39,23-24
NYUNCAA D3,21-60.778,-8,5535.7,5919.5,56380.97,6215.08,2.79,6843.19,23-24
Mt UnionNCAA D3,20-70.741,2,5545.7,54211.96,43084.15,6524.37,2.87,6992.5,23-24
New HavenNCAA D2,10-190.345,6,5555.69,51213.32,71976.76,36113.12,2.92,47113.99,23-24
LorasNCAA D3,24-70.774,4,5565.69,5839.75,46883.28,7063.03,2.84,7012.37,23-24
MorehouseNCAA D2,20-110.645,1,5575.69,57010.47,67578.14,5008.9,2.7,6366.68,23-24
ElmhurstNCAA D3,22-60.786,-1,5585.69,57410.2,53681.57,6165.18,2.76,7072.14,23-24
ChaminadeNCAA D2,10-180.357,,5595.69,52812.52,48382.99,5856.09,2.88,43814.98,23-24
WidenerNCAA D3,24-50.828,-5,5605.68,6118.98,53981.52,6624.02,2.79,7191.22,23-24
Davis & ElkinsNCAA D2,15-140.517,3,5615.68,56710.77,45783.51,6673.82,2.81,56610.55,23-24
Lenoir-RhyneNCAA D2,15-140.517,,5625.68,57210.44,68377.9,4899.09,2.92,56410.59,23-24
Oswego StNCAA D3,26-30.897,-9,5635.67,55711.08,52582.02,6025.62,2.74,912-5.00,23-24
HardingNCAA D2,12-170.414,-1,5645.67,6039.11,48682.95,7182.73,2.84,45014.56,23-24
MN CrookstonNCAA D2,6-220.214,1,5655.67,5889.58,70477.12,4909.03,2.95,36421.53,23-24
CoeNCAA D3,22-70.759,2,5665.67,5979.35,66878.27,5437.64,2.72,6942.88,23-24
Washington StLNCAA D3,20-80.714,,5675.65,6029.12,72076.76,4978.92,2.91,6644.27,23-24
Union TNNCAA D2,14-150.483,-3,5685.65,54311.74,47983.02,6135.28,2.8,57310.32,23-24
RowanNCAA D3,21-80.724,3,5695.65,5909.54,19190.53,960-4.43,2.77,6713.88,23-24
Notre Dame OHNCAA D2,15-140.517,1,5705.64,56910.6,40784.66,7282.5,2.9,5849.92,23-24
Lees-McRaeNCAA D2,19-110.633,-2,5715.64,5879.62,25888.48,907-2.30,2.9,6326.94,23-24
Francis MarionNCAA D2,15-130.536,-2,5725.63,5849.75,27088.05,889-1.74,2.89,5859.91,23-24
TuftsNCAA D3,21-80.724,7,5735.63,6089.05,76575.5,45010.11,2.87,6922.94,23-24
Virginia UnionNCAA D2,14-180.438,1,5745.63,53512.16,76975.44,35613.28,2.9,57010.42,23-24
WilliamsNCAA D3,23-70.767,7,5755.62,6168.78,86672.51,37912.83,2.78,7251.13,23-24
Trevecca NazNCAA D2,16-140.533,-3,5765.62,6546.87,58480.33,7033.1,2.89,53611.61,23-24
BartonNCAA D2,15-160.484,,5775.62,57610.09,47883.03,6823.62,2.88,56310.62,23-24
EmoryNCAA D3,16-100.615,-4,5785.62,54012.05,35785.78,7132.82,2.81,6515.54,23-24
TX A&M K'villeNCAA D2,7-210.250,-1,5795.61,50413.72,60479.66,43010.62,2.96,42015.62,23-24
WestmontNCAA D2,12-180.400,1,5805.61,55311.36,42884.2,6723.73,2.85,52812.12,23-24
NM HighlandsNCAA D2,10-170.370,-2,5815.61,54711.61,41684.42,6713.75,2.94,49913.27,23-24
St RoseNCAA D2,11-180.379,2,5825.6,55911.05,52182.09,6065.52,2.92,50712.91,23-24
St Joseph CTNCAA D3,25-50.833,,5835.59,57510.17,50782.47,6564.26,2.75,870-3.64,23-24
Wilmington DENCAA D2,16-130.552,4,5845.59,5929.49,49382.77,6963.28,2.81,6208.41,23-24
St John's MNNCAA D3,20-60.769,,5855.59,56410.89,55581.26,5836.2,2.91,7540.06,23-24
Mary NDNCAA D2,7-210.250,3,5865.58,5859.69,67378.2,5288.06,2.94,38318.32,23-24
HopeNCAA D3,23-70.767,10,5875.58,6328.29,69977.35,5467.51,2.76,7330.94,23-24
Trinity TXNCAA D3,23-40.852,-12,5885.58,6407.65,66178.47,5935.75,2.8,792-1.00,23-24
Virginia StNCAA D2,15-150.500,2,5895.57,56011.03,65478.58,4929.01,2.89,6218.39,23-24
Western St CONCAA D2,12-180.400,,5905.57,6516.94,77075.44,5278.07,2.97,45214.52,23-24
Dominican CANCAA D2,10-180.357,5,5915.57,5989.29,65678.54,5537.32,2.83,47014.01,23-24
Mississippi ColNCAA D2,14-170.452,-6,5925.57,6109,75275.85,4679.71,2.93,55211.13,23-24
Johns HopkinsNCAA D3,20-70.741,,5935.57,56610.86,67878.07,4769.35,2.83,765-0.27,23-24
IL WesleyanNCAA D3,19-80.704,,5945.56,6128.89,77375.3,44810.15,2.82,6833.34,23-24
VA WesleyanNCAA D3,19-100.655,-8,5955.56,6258.39,86272.66,39212.29,2.84,6564.91,23-24
ConverseNCAA D2,18-110.621,-1,5965.56,6208.5,65278.6,5756.46,2.88,6476.06,23-24
Young HarrisNCAA D2,17-120.586,1,5975.56,5969.37,64278.9,5587.03,2.94,6396.49,23-24
DubuqueNCAA D3,21-70.750,-6,5985.56,5999.28,75875.66,44710.18,2.78,7310.98,23-24
CS StanislausNCAA D2,8-220.267,,5995.55,5869.67,69677.44,5048.79,2.89,39816.67,23-24
CaldwellNCAA D2,14-140.500,1,6005.54,57310.23,45883.47,6933.32,2.86,6198.41,23-24
AK FairbanksNCAA D2,8-180.308,1,6015.53,6338.29,70677.1,5407.75,2.86,41815.62,23-24
ShepherdNCAA D2,13-150.464,2,6025.53,5819.8,83873.15,35913.21,2.95,6039.24,23-24
CokerNCAA D2,15-150.500,,6035.52,6368.07,6895.35,1050-10.71,2.9,58310.06,23-24
SwarthmoreNCAA D3,21-90.700,3,6045.52,6099.03,68477.89,5417.7,2.81,7201.2,23-24
RollinsNCAA D2,9-180.333,,6055.51,57710.05,45683.51,7043.09,2.83,49413.35,23-24
NewmanNCAA D2,8-200.286,2,6065.51,6188.69,55081.32,6633.94,3.03,41115.89,23-24
WI WhitewaterNCAA D3,17-90.654,4,6075.51,5809.81,56580.91,6075.46,2.78,6912.96,23-24
Cal LutheranNCAA D3,23-50.821,-8,6085.51,6795.54,78075.09,5597.01,2.71,7520.11,23-24
FelicianNCAA D2,13-150.464,3,6095.51,6278.35,49182.88,7512.03,2.89,56710.51,23-24
Arkansas-FSNCAA D2,7-220.241,-1,6105.5,56510.86,53781.55,5905.88,2.98,42315.53,23-24
American IntlNCAA D2,9-200.310,4,6115.5,6318.31,65778.52,5796.35,2.99,44714.81,23-24
Shaw NCNCAA D2,13-140.481,1,6125.49,6288.34,57680.63,6554.27,2.85,6059.21,23-24
Mary WashingtonNCAA D3,17-100.630,1,6135.49,6049.1,85972.69,36912.97,2.91,6873.08,23-24
Lake ErieNCAA D2,8-210.276,3,6145.48,55611.22,50382.6,6175.17,2.86,48313.7,23-24
Adams StNCAA D2,8-220.267,3,6155.48,6059.09,32386.67,867-1.02,2.95,40815.95,23-24
CatholicNCAA D3,25-40.862,-10,6165.48,6487.11,64678.81,6264.86,2.73,877-3.84,23-24
Glenville StNCAA D2,14-160.467,3,6175.48,6138.88,39984.87,7980.57,2.98,6069.05,23-24
Valdosta StNCAA D2,12-160.429,-8,6185.48,5829.79,42684.24,7482.11,2.98,5909.6,23-24
Claremont M.S.NCAA D3,23-70.767,4,6195.47,6437.4,73476.38,5447.58,2.8,795-1.03,23-24
Colorado ChrNCAA D2,11-180.379,-1,6205.47,6397.85,61979.45,6254.96,3.01,52212.31,23-24
Staten IslandNCAA D2,19-100.655,7,6215.47,6884.8,57380.67,7960.69,2.9,6446.16,23-24
Auburn M'gomeryNCAA D2,11-170.393,-6,6225.46,6218.48,46283.39,7611.65,2.86,54511.42,23-24
MS Valley StNCAA D1,1-300.032,-2,6235.46,55511.23,75475.83,40211.96,3.03,20529.4,23-24
Washington & LeeNCAA D3,18-110.621,-2,6245.46,6457.3,52981.87,7531.99,2.87,6545.18,23-24
CS Monterey BayNCAA D2,7-200.259,1,6255.46,5789.9,50082.63,6653.83,2.92,44614.81,23-24
LimestoneNCAA D2,12-180.400,-2,6265.45,6228.42,44883.79,7761.19,2.92,55311.09,23-24
JC SmithNCAA D2,14-120.538,,6275.45,6596.48,62079.44,6843.6,2.98,6267.86,23-24
OuachitaNCAA D2,9-190.321,1,6285.45,6069.08,61479.53,5846.11,2.95,51912.38,23-24
RoanokeNCAA D3,16-100.615,-4,6295.45,5959.38,68177.95,5317.99,2.92,6883.04,23-24
TampaNCAA D2,8-200.286,1,6305.44,5899.56,45183.74,7312.38,2.92,47513.82,23-24
MariettaNCAA D3,17-100.630,2,6315.44,6308.31,49982.68,7422.2,2.98,6813.48,23-24
Goldey BeacomNCAA D2,15-150.500,5,6325.44,6507.02,39684.93,875-1.35,2.85,6108.78,23-24
Worcester TechNCAA D3,21-50.808,1,6335.44,6009.22,86772.5,35513.28,2.84,885-4.06,23-24
Westminster UTNCAA D2,8-200.286,1,6345.44,5939.48,60979.55,5736.49,3.01,49113.48,23-24
DavenportNCAA D2,9-200.310,1,6355.43,6248.4,58580.33,6404.64,2.86,49813.27,23-24
MontevalloNCAA D2,12-170.414,-4,6365.42,6646.37,42284.29,876-1.37,2.95,54211.55,23-24
NE KearneyNCAA D2,5-220.185,1,6375.41,6148.81,51082.46,7092.91,2.91,38518.22,23-24
DeSalesNCAA D3,24-40.857,-8,6385.41,6765.69,80574.29,5327.96,2.76,900-4.56,23-24
WI LutheranNCAA D3,24-50.828,,6395.4,6696.05,61679.49,7013.11,2.82,853-3.28,23-24
Clayton StNCAA D2,7-210.250,1,6405.38,6178.77,50882.46,7102.86,2.93,46214.22,23-24
Fresno PacificNCAA D2,7-230.233,3,6415.37,6079.08,75975.65,4589.99,2.91,45714.4,23-24
SW BaptistNCAA D2,6-220.214,1,6425.37,56310.93,77775.17,39012.32,2.76,50812.88,23-24
Carnegie MellonNCAA D3,16-110.593,-3,6435.36,6745.87,57980.59,7551.84,2.89,6535.18,23-24
Belmont AbbeyNCAA D2,12-180.400,3,6445.36,6348.17,59779.98,6304.75,2.92,6118.76,23-24
NewberryNCAA D2,8-170.320,3,6455.35,6298.34,71776.8,5258.09,2.94,54111.59,23-24
Pomona-PitzerNCAA D3,19-70.731,,6465.35,6626.38,70077.3,6015.64,2.81,790-0.97,23-24
Bethany LuthNCAA D3,24-50.828,-5,6475.35,7073.94,52781.92,877-1.42,2.83,831-2.40,23-24
Central IANCAA D3,17-100.630,3,6485.35,6666.3,58780.3,7252.57,2.8,6853.17,23-24
WI LaCrosseNCAA D3,14-120.538,5,6495.35,5799.83,59280.17,5826.22,2.8,6763.73,23-24
Eastern UnivNCAA D3,21-80.724,-5,6505.35,7004.11,60279.75,7870.93,2.84,7301.01,23-24
Illinois ColNCAA D3,24-50.828,4,6515.35,6974.24,78275.06,5945.75,2.74,871-3.65,23-24
Maryville TNNCAA D3,22-50.815,-2,6525.34,6676.18,60179.77,7082.96,2.69,897-4.44,23-24
NicholsNCAA D3,22-40.846,-4,6535.34,6964.28,54981.32,842-0.48,2.65,888-4.11,23-24
St Augustine'sNCAA D2,12-180.400,2,6545.33,6894.72,91071.32,4609.95,2.89,56810.44,23-24
HeidelbergNCAA D3,16-120.571,2,6555.32,6427.44,55781.19,7142.81,2.87,6803.5,23-24
Anderson INNCAA D3,23-50.821,-4,6565.32,6924.52,50482.58,881-1.50,2.9,854-3.29,23-24
Bowie StNCAA D2,12-180.400,2,6575.31,6805.37,78175.08,5616.85,2.9,5879.73,23-24
St Thomas TXNCAA D3,20-80.714,-5,6585.31,6576.54,71876.77,5816.33,2.78,780-0.65,23-24
W ConnecticutNCAA D3,22-50.815,-1,6595.3,6536.89,60579.64,6683.82,2.89,947-6.35,23-24
OtterbeinNCAA D3,17-90.654,,6605.3,6755.75,72676.6,5955.71,2.82,7161.49,23-24
RedlandsNCAA D3,16-90.640,,6615.3,6198.51,34386.06,863-0.99,2.74,7450.34,23-24
Simon FraserNCAA D2,6-230.207,3,6625.3,6417.56,70877.07,5577.06,2.82,44314.85,23-24
Hardin-SimmonsNCAA D3,19-80.704,-1,6635.29,6934.51,63179.25,7561.83,2.81,7360.84,23-24
WoosterNCAA D3,18-100.643,,6645.29,6556.74,64378.88,6504.42,2.81,7380.81,23-24
Humboldt StNCAA D2,6-210.222,2,6655.29,6238.4,66278.46,5726.5,2.8,49613.33,23-24
LivingstoneNCAA D2,12-160.429,2,6665.29,6497.03,59480.09,6863.5,2.93,6297.16,23-24
WabashNCAA D3,20-90.690,-4,6675.28,6716,68977.6,6244.96,2.92,770-0.36,23-24
W New MexicoNCAA D2,4-250.138,1,6685.28,6387.93,49582.72,7591.77,2.93,38118.42,23-24
CT CollegeNCAA D3,18-70.720,1,6695.27,6984.16,95869.37,41711.35,2.79,764-0.27,23-24
Eliz. City StNCAA D2,11-190.367,1,6705.27,6477.18,66378.4,6105.33,2.85,6148.71,23-24
St NorbertNCAA D3,22-60.786,4,6715.25,6944.45,83673.2,5377.81,2.77,875-3.80,23-24
Savannah StNCAA D2,13-140.481,1,6725.25,6526.9,95369.73,33313.74,3.01,6584.74,23-24
WhitworthNCAA D3,20-90.690,3,6735.25,6606.46,65178.69,6544.32,2.94,809-1.41,23-24
HoodNCAA D3,19-80.704,-8,6745.25,6686.12,59680.01,7212.67,2.93,799-1.19,23-24
ChicagoNCAA D3,13-120.520,-3,6755.25,6616.42,73576.28,5646.7,2.81,6673.97,23-24
SC BeaufortNCAA D2,10-160.385,-2,6765.24,6447.32,14291.93,1028-8.05,2.9,6188.57,23-24
WheelingNCAA D2,10-180.357,4,6775.24,6586.48,38385.18,904-2.14,2.96,6019.28,23-24
Albertus MagnusNCAA D3,22-50.815,-1,6785.23,7053.96,52282.05,883-1.53,2.92,916-5.12,23-24
UT DallasNCAA D3,19-100.655,3,6795.23,6874.85,62579.36,7502.05,2.86,7460.33,23-24
Spring HillNCAA D2,14-150.483,-2,6805.23,7034.09,54681.36,850-0.71,2.81,6336.85,23-24
BridgeportNCAA D2,11-170.393,10,6815.23,6706.01,43484.02,878-1.44,2.98,6228.1,23-24
M Hardin-BaylorNCAA D3,17-110.607,-2,6825.23,6785.58,47683.06,859-0.91,2.87,7121.8,23-24
