Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
MAC Commonwealth,62-340.646,8,744.9,740.97,7576.14,791.39,2.86,82-0.50,23-24
Michigan IAA,60-430.583,8,754.9,770.44,8374.2,712.8,2.86,750.29,23-24
American SW East,47-380.553,4,764.89,750.93,7476.31,811.18,2.88,79-0.10,23-24
New Jersey A.C.,49-270.645,10,774.88,760.89,7376.37,821.07,2.87,81-0.32,23-24
American SW,43-380.531,10,784.8,78-0.26,6678.55,100-2.24,2.87,80-0.11,23-24
American SW West,47-450.511,5,794.79,80-0.51,6479.39,104-3.34,2.89,78-0.08,23-24
Minnesota IAC,24-330.421,11,804.76,79-0.40,8174.81,801.35,2.83,760.16,23-24
North Coast AC,36-490.424,9,814.71,81-0.75,8474.09,781.72,2.87,77-0.05,23-24
NE W&M,44-400.524,9,824.69,82-1.20,8973.24,762.12,2.86,84-1.80,23-24
Southern CAC,45-490.479,9,834.67,85-1.76,8673.8,830.99,2.86,83-0.95,23-24
Northwest,50-430.538,9,844.67,84-1.64,7276.48,97-1.56,2.88,87-2.25,23-24
Southern Cal IAC,49-400.551,9,854.66,83-1.45,8074.83,860.29,2.85,85-1.81,23-24
Mid Atlantic,101-660.605,16,864.64,87-2.32,8773.69,850.55,2.86,90-3.02,23-24
Centennial,35-380.479,10,874.64,86-2.00,10670.55,664.02,2.86,86-1.83,23-24
Liberty League,43-270.614,10,884.58,88-3.01,9871.47,772.08,2.85,92-3.60,23-24
Landmark,45-300.600,10,894.49,92-4.33,9472.17,880.06,2.86,97-4.58,23-24
Northern Athletic,36-620.367,13,904.47,90-4.17,8873.57,94-1.18,2.88,89-2.71,23-24
C of New England,36-350.507,10,914.46,91-4.17,8274.32,98-1.93,2.88,96-4.47,23-24
Coast-to-Coast,62-710.466,6,924.46,95-5.18,10770.47,840.92,2.89,88-2.46,23-24
Little East,43-420.506,9,934.45,89-4.17,9272.42,89-0.03,2.9,98-4.61,23-24
Midwest,44-400.524,9,944.45,94-4.84,9073.11,96-1.39,2.88,95-4.28,23-24
NCAA D3,220-3030.421,419,954.44,93-4.62,9172.84,93-0.89,2.87,93-4.17,23-24
CC South,50-480.510,7,964.39,96-5.24,7974.86,106-3.54,2.88,101-5.28,23-24
MAC Freedom,50-430.538,8,974.38,98-5.62,10271.23,90-0.29,2.87,103-5.53,23-24
SUNY AC,33-430.434,10,984.34,97-5.42,9572.03,92-0.89,2.86,100-4.72,23-24
USA South,32-630.337,8,994.32,99-5.98,9971.46,91-0.88,2.86,91-3.54,23-24
Heartland CAC,26-470.356,10,1004.32,100-6.02,9671.87,95-1.33,2.93,94-4.20,23-24
SAA,30-630.323,8,1014.24,102-6.92,9771.79,99-2.15,2.93,99-4.72,23-24
Upper Midwest,49-560.467,8,1024.19,103-8.27,10071.45,102-3.16,2.82,102-5.33,23-24
Great Northeast,73-930.440,15,1034.09,105-9.12,10370.86,105-3.42,2.91,105-7.68,23-24
NCAA II Ind,0-60.000,1,1044.06,101-6.62,11267.66,752.28,2.91,3721.01,23-24
Atlantic East,35-610.365,7,1054.04,104-8.80,10570.79,101-3.02,2.88,104-7.38,23-24
Empire 8,34-450.430,10,1063.98,106-9.88,10470.84,107-4.16,2.86,106-7.99,23-24
MASCAC,38-520.422,7,1073.97,107-10.30,10171.24,109-4.98,2.87,107-8.50,23-24
Presidents' AC,28-320.467,11,1083.95,108-11.01,10870.04,108-4.49,2.86,109-10.20,23-24
St Louis IAC,24-630.276,10,1093.84,109-11.97,9372.3,112-7.71,2.95,108-9.47,23-24
Skyline,47-720.395,12,1103.83,110-12.26,11467.48,103-3.18,2.87,110-10.66,23-24
Allegheny Mtn,24-510.320,10,1113.73,111-13.21,10969.81,110-6.46,2.89,111-11.53,23-24
North Atlantic,60-900.400,14,1123.59,112-15.45,11069.31,114-8.19,2.86,113-13.15,23-24
NCAA III Ind,46-390.541,3,1133.52,115-17.10,11168.62,115-9.16,2.9,115-15.97,23-24
United East,42-1120.273,16,1143.49,113-16.29,11567.24,111-6.96,2.89,112-12.91,23-24
City Univ NY,27-630.300,8,1153.45,114-16.80,11367.57,113-7.82,2.85,114-13.39,23-24
Big 12,119-300.799,10,18.6,145.92,195.77,125.89,2.89,141.47,22-23
Big 10,125-480.723,14,28.39,243.37,394.22,224.89,2.93,240.26,22-23
Big East,95-440.683,11,38.31,342.46,295.06,523.15,2.87,339.84,22-23
Southeastern,144-590.709,14,48.28,441.92,593.85,423.81,2.93,438.86,22-23
Pac 12,90-550.621,12,58.14,540.74,792.46,324.03,2.94,538.45,22-23
Atlantic Coast,117-590.665,15,68.1,639.87,693.49,722.13,2.87,637.68,22-23
Mountain West,107-450.704,11,77.98,838.01,991.5,622.25,2.92,835.42,22-23
American Athletic,91-560.619,11,87.94,738.14,892.27,821.61,2.89,735.68,22-23
West Coast,99-550.643,10,97.86,936.74,494.04,1618.44,2.82,934.42,22-23
Conference USA,105-360.745,11,107.77,1034.85,1190.4,1020.2,2.91,1132.49,22-23
Atlantic 10,113-800.585,15,117.67,1134.48,1489.86,920.36,2.88,1032.83,22-23
Western Athletic,115-670.632,13,127.59,1233.13,1290.21,1318.66,2.84,1331.18,22-23
MAC East,79-610.564,6,137.5,1332.61,1091.43,2016.92,2.87,1529.99,22-23
NCAA D1,511-80.985,363,147.49,1432.01,1689.23,1518.52,2.87,1231.29,22-23
Missouri Val,76-580.567,12,157.48,1531.81,1988.41,1119.14,2.94,1430.98,22-23
Sun Belt,110-700.611,14,167.4,1730.68,2387.86,1418.56,2.87,2229.09,22-23
Ivy League,64-500.561,8,177.39,1630.96,1589.56,1917.15,2.84,1829.71,22-23
Big West,70-620.530,11,187.33,2029.79,2786.8,1218.74,2.83,2029.59,22-23
Mid-American,78-800.494,12,197.32,1830.14,1390.13,2615.75,2.87,1629.84,22-23
Southern,66-670.496,10,207.29,1930,1788.98,2116.77,2.83,2328.92,22-23
Atlantic Sun,104-820.559,14,217.26,2328.59,2188.13,2516.21,2.85,2428.65,22-23
Big Sky,56-750.427,10,227.26,2129.15,2088.35,2316.54,2.83,1729.71,22-23
Coastal,76-930.450,13,237.24,2228.63,2586.91,1817.46,2.86,2129.48,22-23
MAC West,60-800.429,6,247.15,2427.67,1888.83,3114.59,2.88,1929.68,22-23
Metro Atlantic,51-580.468,11,257.14,2527.53,3485.33,1717.94,2.82,2627.84,22-23
Summit Lg,61-640.488,10,267.14,2627.25,2287.98,2915.01,2.9,2527.85,22-23
Big South,61-680.473,10,277.1,2727.12,3186.24,2216.62,2.85,2827.35,22-23
Horizon,56-700.444,11,287.06,2826.67,2487.31,2815.1,2.87,2727.47,22-23
America East,61-630.492,9,297.02,3025.75,3285.94,2715.55,2.81,2926.42,22-23
Patriot League,56-700.444,10,307.01,2925.82,3685.11,2416.45,2.81,3026.4,22-23
OH Valley,64-720.471,10,316.83,3123.43,3086.43,3612.74,2.86,3524.02,22-23
Mid-Eastern AC,52-740.413,8,326.77,3222.52,3385.36,3512.9,2.86,3225.25,22-23
Southland,49-790.383,10,336.74,3322.43,2886.49,3711.69,2.85,3424.22,22-23
Southwestern AC,40-1150.258,12,346.69,3421.82,4182.86,3014.71,2.88,3125.67,22-23
Northeast,45-820.354,9,356.65,3521.38,4083.14,3213.98,2.85,3623.73,22-23
Peach Belt East,70-260.729,4,366.56,3620.32,2686.86,479.19,2.8,4614.58,22-23
Mid America IAA,63-270.700,14,376.51,3719.88,4582.33,3413.29,2.89,3717.97,22-23
Northern Sun,65-270.707,16,386.4,3918.16,3784.01,429.9,2.84,3817.47,22-23
D1 Independent,14-410.255,2,396.4,3819.86,4782.11,3313.49,2.93,3325.01,22-23
Great Lakes Val,77-330.700,13,406.37,4117.65,4382.67,3910.72,2.85,4016.03,22-23
Lone Star,73-380.658,16,416.36,4017.73,4981.98,3811.5,2.88,3916.7,22-23
Sunshine State,58-250.699,11,426.28,4216.75,2986.44,596.05,2.83,4514.76,22-23
Great American,45-310.592,12,436.26,4316.46,4482.34,439.86,2.87,4115.7,22-23
Peach Belt,70-360.660,10,446.25,4416.38,3883.31,518.81,2.83,4414.84,22-23
Rocky Mtn AC,57-430.570,15,456.2,4515.68,3983.17,538.25,2.87,4215.53,22-23
Northeast-10,65-330.663,13,466.12,4614.89,5880.61,4010.03,2.89,4813.44,22-23
Great Northwest,54-440.551,10,476.08,4714.46,5281.41,528.79,2.81,5013.39,22-23
California CAA,36-430.456,12,486.06,4914.06,5680.96,508.85,2.84,4714.36,22-23
Great Lakes IAC,56-490.533,10,496.04,5013.83,5181.41,548.16,2.88,5113.35,22-23
PSAC West,59-580.504,7,506.03,4814.42,5780.78,459.38,2.85,4913.43,22-23
Peach Belt West,42-610.408,5,516,5113.82,5980.58,488.98,2.84,4315.36,22-23
NCAA D2,393-1200.766,297,525.99,5313.22,5381.32,567.65,2.86,5212.89,22-23
Pacific West,50-390.562,11,535.99,5413.16,5081.42,587.48,2.86,5412.67,22-23
Penn St AC,58-430.574,18,545.97,5213.26,5581.2,557.81,2.87,5312.89,22-23
Mountain East,51-330.607,12,555.96,5712.53,3585.23,693.04,2.83,5512.67,22-23
CIAA North,57-510.528,5,565.94,5512.76,6578.57,419.94,2.84,5911.63,22-23
South Atlantic,80-530.602,13,575.91,5812.22,4682.32,615.65,2.88,6011.05,22-23
Great Midwest,46-470.495,12,585.9,5612.54,6379.39,498.9,2.88,5612.39,22-23
Gulf South,33-230.589,13,595.89,6011.73,6079.98,577.49,2.84,5811.69,22-23
PSAC East,57-540.514,8,605.86,5912.03,4881.99,605.78,2.89,5712.19,22-23
Central IAA,69-570.548,12,615.85,6111.31,6877.59,449.46,2.83,6110.76,22-23
CIAA South,54-600.474,6,625.74,6210.07,7276.58,469.23,2.83,6210.41,22-23
Central Atlantic,68-650.511,13,635.63,638.13,6279.62,664.25,2.81,639.11,22-23
University AA,74-230.763,8,645.49,656.96,6677.81,644.89,2.84,702.83,22-23
Conf Carolinas,34-720.321,13,655.48,647.28,5481.26,741.77,2.85,648.79,22-23
Wisconsin IAC,64-340.653,8,665.43,666.35,7176.69,635.41,2.8,693.82,22-23
Ill & Wisc,59-300.663,9,675.4,675.84,7077.28,654.3,2.76,683.93,22-23
NCAA II Ind,30-290.508,3,685.36,685.48,4282.71,92-1.48,2.89,658.71,22-23
NESCAC,108-410.725,11,695.2,703.18,8273.43,625.5,2.84,79-0.80,22-23
East Coast,30-670.309,9,705.19,693.25,6777.71,781.28,2.86,665.81,22-23
Southern IAC,40-780.339,16,715.16,712.64,7674.26,674.12,2.87,674.29,22-23
American SW East,50-340.595,4,725.14,722.31,6977.51,810.54,2.85,760.24,22-23
Ohio AC,51-300.630,10,735.13,732.28,7376.06,731.96,2.87,711.71,22-23
Old Dominion AC,72-530.576,13,745.09,742.04,7773.99,683.78,2.81,730.85,22-23
American Rivers,50-320.610,9,755.07,751.67,7574.56,702.86,2.82,750.24,22-23
North Coast AC,51-290.637,9,764.95,78-0.28,7873.93,761.53,2.83,80-1.05,22-23
Minnesota IAC,31-260.544,11,774.95,770.06,8173.43,722.37,2.8,77-0.20,22-23
American SW,40-420.488,10,784.95,760.13,6479.21,100-3.34,2.85,740.59,22-23
American SW West,43-490.467,5,794.9,79-0.59,6179.73,107-4.57,2.87,721.06,22-23
Centennial,45-340.570,10,804.86,80-1.22,9271.86,712.66,2.81,81-1.27,22-23
MAC Commonwealth,49-360.576,9,814.83,81-1.28,7973.87,800.6,2.84,82-2.27,22-23
Michigan IAA,41-520.441,8,824.83,82-1.34,8672.82,751.58,2.85,78-0.74,22-23
New Jersey A.C.,47-320.595,10,834.75,83-2.64,8373.24,86-0.14,2.85,85-2.91,22-23
Southern CAC,50-450.526,9,844.75,84-3.07,9971.29,771.38,2.84,83-2.29,22-23
Northern Athletic,47-560.456,13,854.69,86-3.38,8073.58,90-1.22,2.85,84-2.67,22-23
Southern Cal IAC,43-420.506,9,864.63,87-3.81,8473.05,89-1.12,2.81,88-3.95,22-23
NE W&M,40-470.460,8,874.63,85-3.07,8772.56,830.11,2.85,86-3.58,22-23
Mid Atlantic,81-740.523,18,884.61,88-3.96,9871.44,820.35,2.84,93-4.55,22-23
Northwest,44-450.494,9,894.6,89-4.11,7474.78,98-3.14,2.85,91-4.35,22-23
Liberty League,35-360.493,10,904.6,90-4.19,10270.53,791.03,2.82,89-4.23,22-23
Landmark,51-400.560,8,914.56,93-5.06,10170.7,85-0.01,2.83,98-5.34,22-23
Little East,48-340.585,9,924.55,91-4.76,9371.77,88-0.79,2.88,100-6.06,22-23
NCAA D3,213-3250.396,417,934.51,94-5.44,9171.92,93-1.61,2.85,95-4.97,22-23
Heartland CAC,27-550.329,10,944.51,95-5.47,10370.5,87-0.23,2.89,87-3.62,22-23
SUNY AC,35-380.479,10,954.51,92-5.05,9071.94,91-1.24,2.87,94-4.66,22-23
Midwest,34-490.410,9,964.46,96-5.85,8971.98,94-2.10,2.87,97-5.18,22-23
USA South,39-590.398,8,974.43,97-6.37,8572.87,102-3.50,2.84,92-4.52,22-23
SAA,41-500.451,8,984.41,98-6.45,9571.66,95-2.37,2.92,99-5.95,22-23
C of New England,39-370.513,10,994.41,101-6.74,8872.2,99-3.20,2.85,101-6.29,22-23
CC South,40-560.417,7,1004.39,100-6.71,9471.73,97-2.70,2.89,96-5.14,22-23
MAC Freedom,39-450.464,9,1014.38,99-6.64,10969,840.1,2.84,102-6.82,22-23
Coast-to-Coast,70-920.432,7,1024.29,104-9.31,10570.05,103-3.62,2.84,90-4.30,22-23
Atlantic East,42-560.429,7,1034.29,102-7.97,10470.21,96-2.44,2.87,103-7.06,22-23
Upper Midwest,51-540.486,8,1044.26,103-8.94,10071.23,106-4.43,2.82,104-7.36,22-23
Empire 8,36-400.474,10,1054.2,105-9.52,10769.66,101-3.44,2.84,106-8.77,22-23
Great Northeast,47-580.448,13,1064.16,106-9.96,10669.98,105-4.20,2.87,107-8.84,22-23
Allegheny Mtn,35-540.393,8,1074.05,107-11.01,9771.47,111-6.74,2.83,108-9.59,22-23
MASCAC,35-550.389,7,1083.98,110-12.50,11368.48,109-5.23,2.86,109-9.71,22-23
Presidents' AC,25-360.410,11,1093.98,108-12.18,11068.89,110-5.32,2.85,111-11.07,22-23
St Louis IAC,32-850.274,9,1103.95,109-12.22,9671.48,112-7.95,2.93,105-8.38,22-23
United East,34-500.405,9,1113.93,111-12.89,11567.77,108-4.92,2.84,110-10.93,22-23
Skyline,41-760.350,12,1123.83,112-14.07,11765.54,104-3.87,2.84,112-11.76,22-23
North Atlantic,57-790.419,12,1133.65,113-16.46,11168.83,114-9.55,2.83,114-14.26,22-23
New England CC,29-440.397,4,1143.56,114-18.03,11268.54,116-10.83,2.92,113-13.33,22-23
City Univ NY,30-600.333,8,1153.49,115-18.18,10869.12,117-11.55,2.84,116-15.33,22-23
Colonial States,28-640.304,8,1163.47,116-18.22,11666.27,113-8.75,2.89,115-14.61,22-23
NCAA III Ind,37-440.457,3,1173.46,117-18.45,11468.03,115-10.73,2.89,117-16.39,22-23
Big 12,119-280.810,10,18.5,146.04,394.96,126.92,2.85,141.7,21-22
Big 10,118-400.747,14,28.27,243.51,295.02,224.34,2.89,240.65,21-22
Southeastern,144-570.716,14,38.24,343.14,195.17,323.82,2.88,339.86,21-22
Big East,103-330.757,11,48.2,442.2,494.53,423.52,2.87,439.63,21-22
Atlantic Coast,125-590.679,15,58.12,541.67,594.08,523.43,2.87,539.31,21-22
Pac 12,91-470.659,12,68.04,640.79,693.4,623.24,2.9,638.71,21-22
American Athletic,88-450.662,11,77.88,738.68,891.35,723.18,2.88,736.38,21-22
Mountain West,97-460.678,11,87.78,836.88,1090.4,822.33,2.89,835.09,21-22
West Coast,99-570.635,10,97.72,936.71,792.34,1120.22,2.78,1034.29,21-22
Atlantic 10,107-720.598,14,107.64,1035.45,1190.23,921.07,2.83,934.35,21-22
Missouri Val,71-540.568,10,117.51,1134.14,1489.23,1020.76,2.9,1132.56,21-22
MAC East,87-470.649,6,127.42,1232.79,991.29,2117.35,2.8,2029.3,21-22
Conference USA,111-750.597,14,137.38,1332.18,1789.05,1218.98,2.9,1430.66,21-22
NCAA D1,484-80.984,358,147.37,1432.14,1689.18,1318.81,2.84,1231.47,21-22
Southern,78-490.614,10,157.34,1531.55,1290.02,2017.38,2.81,1630.29,21-22
Coastal,68-580.540,10,167.28,1630.73,1889.04,1817.54,2.8,1330.79,21-22
Metro Atlantic,60-490.550,11,177.24,1830.03,2787.07,1418.81,2.81,1730.02,21-22
Sun Belt,90-610.596,12,187.22,1929.95,2387.33,1618.48,2.84,2128.88,21-22
OVC East,59-440.573,4,197.22,1730.24,2088.56,1917.53,2.83,2427.99,21-22
Mid-American,67-660.504,12,207.18,2029.9,1389.28,2416.46,2.84,1929.8,21-22
Western Athletic,97-730.571,13,217.16,2229.25,2587.2,1717.9,2.82,2228.71,21-22
Ivy League,49-540.476,8,227.14,2129.78,1988.84,2316.78,2.81,1829.91,21-22
Big West,56-600.483,11,237.1,2328.77,3186.08,1518.53,2.82,2328.7,21-22
Atlantic Sun,81-850.488,12,247.01,2427.63,2287.51,2715.96,2.8,2827.41,21-22
Big Sky,59-610.492,11,257,2527.4,2187.77,3215.48,2.8,2627.62,21-22
OH Valley,58-690.457,10,266.99,2627.37,2886.78,2516.44,2.85,2527.71,21-22
Summit Lg,61-610.500,10,276.97,2727.15,1589.23,3513.78,2.85,2927.09,21-22
MAC West,47-860.353,6,286.94,2827.01,2487.28,3115.58,2.87,1530.3,21-22
America East,51-610.455,10,296.91,2926.41,3685.17,2217.09,2.76,3126.68,21-22
Horizon,45-740.378,12,306.87,3026.18,3086.41,3015.61,2.85,3027.04,21-22
Big South,72-870.453,12,316.86,3125.62,3485.32,2616.14,2.81,3426.11,21-22
OVC-West,50-760.397,6,326.84,3225.45,3285.59,2815.71,2.87,2727.52,21-22
Patriot League,47-750.385,10,336.82,3325.2,3385.43,2915.61,2.8,3226.5,21-22
Northeast,36-770.319,10,346.69,3423.68,3785.12,3414.4,2.8,3525.8,21-22
Southland,44-660.400,8,356.6,3522.68,2687.2,3811.33,2.84,3623.7,21-22
Southwestern AC,24-1160.171,12,366.53,3621.73,4383.1,3314.48,2.86,3326.23,21-22
Mid-Eastern AC,43-680.387,8,376.47,3720.86,4183.56,3613.15,2.83,3722.77,21-22
Peach Belt East,73-250.745,4,386.41,4019.32,3884.04,3911.12,2.78,4813.89,21-22
Northern Sun,66-260.717,16,396.41,3819.96,3585.19,4110.62,2.8,3818.88,21-22
Mid America IAA,62-300.674,14,406.36,3919.45,4083.58,3711.72,2.86,3918.19,21-22
Lone Star,83-370.692,17,416.2,4117.32,4582.83,4210.34,2.86,4116.22,21-22
Great American,41-330.554,12,426.18,4217.09,4982.24,4010.69,2.85,4016.55,21-22
Sunshine State,60-310.659,11,436.15,4316.99,2986.56,596.28,2.81,4315.38,21-22
Great Lakes Val,74-460.617,15,446.1,4616.07,5181.86,4410.06,2.82,4714.69,21-22
Great Northwest,50-360.581,10,456.1,4416.23,4483.09,478.98,2.81,4515.08,21-22
Great Lakes IAC,45-360.556,11,466.09,4516.07,4682.81,469.11,2.85,4215.69,21-22
California CAA,41-300.577,12,476.06,4715.73,5481.39,4310.19,2.81,4415.23,21-22
Rocky Mtn AC,57-430.570,15,486.04,4815.62,4283.44,528.03,2.84,4614.87,21-22
Peach Belt,70-330.680,10,496.04,4915.12,4882.47,508.5,2.84,5013.59,21-22
PSAC West,84-350.706,7,506.03,5014.6,5281.79,498.66,2.79,5411.8,21-22
Great Midwest,55-330.625,11,515.97,5114.1,6080.45,459.5,2.83,5113.48,21-22
Peach Belt West,53-500.515,5,525.91,5213.32,6180.42,488.75,2.86,4913.77,21-22
Pacific West,42-450.483,11,535.83,5312.94,5780.88,537.91,2.82,5213.14,21-22
NCAA D2,386-1330.744,304,545.82,5512.65,5581.33,577.17,2.83,5312.35,21-22
Northeast-10,54-280.659,14,555.82,5412.74,5680.89,557.7,2.86,5511.69,21-22
Gulf South,53-440.546,13,565.76,5611.91,6279.93,547.83,2.82,5611.49,21-22
South Atlantic,37-300.552,14,575.67,5710.88,5381.7,625.03,2.86,5710.57,21-22
Penn St AC,70-470.598,19,585.59,589.96,5880.56,615.25,2.86,589.78,21-22
CIAA North,51-450.531,5,595.57,599.61,6777.39,518.07,2.8,618.65,21-22
Mountain East,41-340.547,12,605.55,609.1,3983.67,761.27,2.82,609.2,21-22
Conf Carolinas,22-340.393,13,615.49,618.49,5082.15,712.19,2.81,599.23,21-22
Wisconsin IAC,67-200.770,8,625.49,628.28,6478.19,605.94,2.77,675.21,21-22
Central IAA,47-560.456,12,635.45,638.1,7076.58,567.36,2.79,628.58,21-22
CIAA South,49-510.490,6,645.42,647.33,7176.24,586.94,2.78,638.36,21-22
University AA,73-230.760,8,655.35,656.63,6577.53,634.94,2.8,722.94,21-22
PSAC East,57-690.452,9,665.29,666.58,5980.52,731.91,2.9,657.57,21-22
Ill & Wisc,63-280.692,9,675.22,684.76,7376.03,654.58,2.76,712.99,21-22
NCAA II Ind,28-220.560,3,685.18,675.21,4782.55,92-1.49,2.84,648.23,21-22
Ohio AC,53-230.697,10,695.14,703.87,6677.52,702.19,2.84,732.59,21-22
Central Atlantic,45-680.398,13,705.14,694.1,6977,692.94,2.77,665.47,21-22
Old Dominion AC,57-500.533,12,715.09,713.53,7675.54,673.84,2.82,693.05,21-22
Southern IAC,53-820.393,16,725.08,723.32,7775.17,664.01,2.85,684.27,21-22
NESCAC,93-380.710,11,735.02,732.78,8374,644.63,2.83,80-1.03,21-22
American Rivers,48-380.558,9,744.86,740.78,8075.11,741.52,2.8,750.01,21-22
American SW East,46-370.554,4,754.85,760.1,7475.91,820.04,2.84,78-0.58,21-22
East Coast,23-620.271,10,764.83,750.32,7575.82,810.35,2.84,703.02,21-22
Minnesota IAC,29-240.547,11,774.81,770.02,8972.75,683.12,2.76,76-0.37,21-22
American SW West,51-460.526,5,784.79,79-0.57,6378.99,101-3.72,2.88,77-0.38,21-22
Southern Cal IAC,53-300.639,9,794.76,81-1.12,8174.26,800.46,2.77,83-1.82,21-22
Michigan IAA,37-580.389,8,804.76,78-0.21,7975.15,790.48,2.85,740.97,21-22
NE W&M,55-360.604,8,814.75,80-0.90,7875.16,84-0.22,2.81,81-1.65,21-22
American SW,37-350.514,11,824.71,82-1.70,6877.39,99-3.24,2.86,79-0.86,21-22
Northwest,42-450.483,9,834.67,83-1.72,7276.19,96-2.07,2.82,82-1.75,21-22
Centennial,38-310.551,10,844.58,85-2.86,10171.01,721.98,2.79,89-3.37,21-22
North Coast AC,31-460.403,10,854.58,84-2.80,8573.61,86-0.56,2.83,84-1.86,21-22
New Jersey A.C.,46-270.630,10,864.57,86-3.08,8872.86,83-0.09,2.82,88-3.30,21-22
MAC Commonwealth,41-320.562,9,874.57,88-3.29,8673.21,87-0.65,2.82,91-3.48,21-22
Little East,53-290.646,9,884.57,89-3.42,8772.86,85-0.43,2.87,94-4.54,21-22
Heartland CAC,37-370.500,10,894.56,90-3.49,10270.95,751.41,2.85,87-2.95,21-22
Liberty League,41-300.577,10,904.54,87-3.25,9571.83,770.76,2.8,92-4.07,21-22
SAA,43-470.478,8,914.52,91-3.58,9771.77,780.5,2.89,90-3.46,21-22
Southern CAC,34-560.378,9,924.48,92-4.02,9072.62,89-0.80,2.81,86-2.79,21-22
USA South,61-960.389,15,934.46,93-4.34,8473.62,98-2.11,2.86,85-2.67,21-22
Northern Athletic,39-500.438,13,944.38,95-5.55,9372.31,95-2.01,2.84,93-4.51,21-22
Mid Atlantic,72-720.500,18,954.37,94-5.44,10071.25,90-0.84,2.81,97-5.60,21-22
NCAA D3,214-3420.385,417,964.36,96-5.62,9472.16,93-1.93,2.82,96-5.12,21-22
Landmark,49-410.544,8,974.34,97-6.19,10470.33,88-0.68,2.82,100-6.24,21-22
SUNY AC,30-400.429,10,984.27,98-6.35,9971.6,97-2.10,2.84,98-5.74,21-22
C of New England,34-320.515,10,994.24,100-7.40,9172.6,105-4.14,2.82,101-6.92,21-22
Midwest,29-480.377,9,1004.22,99-7.09,9272.32,100-3.56,2.85,99-5.83,21-22
MAC Freedom,37-460.446,9,1014.18,101-7.59,10969.3,91-1.04,2.8,102-7.71,21-22
Coast-to-Coast,56-710.441,6,1024.16,102-8.19,10769.63,94-1.98,2.82,95-4.84,21-22
Atlantic East,40-490.449,7,1034.06,103-9.52,10570.3,104-3.97,2.84,104-8.62,21-22
Empire 8,37-470.440,9,1043.99,104-10.24,10869.35,102-3.75,2.83,106-8.88,21-22
Allegheny Mtn,35-480.422,9,1053.9,107-11.82,9871.69,111-7.66,2.81,107-10.10,21-22
Upper Midwest,35-670.343,8,1063.9,106-11.66,10370.79,110-6.60,2.81,105-8.84,21-22
St Louis IAC,21-700.231,8,1073.89,105-11.55,8274.02,115-9.73,2.87,103-8.01,21-22
Great Northeast,41-480.461,13,1083.85,108-12.15,11069.19,108-5.49,2.83,110-11.47,21-22
Presidents' AC,27-400.403,10,1093.81,110-12.81,11368.3,107-5.26,2.81,109-11.16,21-22
MASCAC,31-520.373,7,1103.8,109-12.41,11268.66,106-5.22,2.84,108-10.27,21-22
Skyline,36-640.360,12,1113.75,111-12.94,11566.73,103-3.82,2.8,111-11.86,21-22
New England CC,23-350.397,4,1123.56,112-15.80,9671.79,116-11.74,2.88,112-12.31,21-22
North Atlantic,48-750.390,12,1133.48,113-16.34,11168.69,113-9.18,2.81,115-14.76,21-22
United East,31-510.378,9,1143.47,114-16.62,11665.48,109-6.25,2.83,114-13.77,21-22
City Univ NY,31-460.403,8,1153.4,116-18.02,10670.06,117-12.23,2.8,116-15.95,21-22
NCAA III Ind,45-770.369,5,1163.38,115-17.75,11466.91,112-8.81,2.9,113-12.57,21-22
Colonial States,21-600.259,8,1173.16,117-20.74,11764.38,114-9.28,2.89,117-17.32,21-22
Big 10,78-230.772,14,18.06,143.5,194.92,124.24,2.86,140.47,20-21
Big 12,72-230.758,10,27.87,241.8,493.81,223.64,2.81,338.83,20-21
Pac 12,64-210.753,12,37.83,341.56,393.92,323.29,2.82,239.32,20-21
Southeastern,84-350.706,14,47.67,440.37,294.36,721.66,2.84,537.77,20-21
Big East,46-190.708,11,57.63,539.95,592.72,422.88,2.85,438.18,20-21
Atlantic Coast,68-310.687,15,67.54,639.27,692.45,522.48,2.83,637.32,20-21
American Athletic,51-170.750,11,77.24,736.88,990.09,622.44,2.82,734.78,20-21
West Coast,66-280.702,10,87.12,835.65,891.6,1019.71,2.78,834.36,20-21
MAC East,59-260.694,6,96.86,933.93,792.07,1417.52,2.8,1229.81,20-21
Mountain West,43-220.662,11,106.76,1132.99,1289.32,1119.33,2.84,1031.86,20-21
Atlantic 10,47-380.553,14,116.76,1033.09,1388.86,919.89,2.85,932.45,20-21
Missouri Val,46-260.639,10,126.74,1232.89,1887.67,820.87,2.82,1131.04,20-21
Conference USA,79-400.664,14,136.48,1330.83,1787.84,1218.65,2.86,1728.03,20-21
NCAA D1,330-110.968,347,146.41,1430.3,1588.27,1317.68,2.82,1329.44,20-21
Southern,57-240.704,10,156.38,1630.02,1089.83,2215.84,2.82,1926.8,20-21
Mid-American,35-320.522,12,166.36,1530.15,1189.82,2115.98,2.82,1429.4,20-21
Big West,29-230.558,11,176.11,1727.81,2187,1816.46,2.84,1826.86,20-21
Summit Lg,19-470.288,9,186.05,1827.6,1488.7,2814.55,2.82,1628.23,20-21
Big Sky,38-340.528,11,196.04,1927.53,2286.91,2016.27,2.79,2425.25,20-21
Sun Belt,63-370.630,12,206.04,2027.2,2486.25,1716.61,2.82,2924.17,20-21
OVC East,65-360.644,6,216.02,2127.02,2087.36,2415.31,2.83,2624.86,20-21
