Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
CIAA South,47-490.490,5,614.91,624.81,6379.72,672.66,2.86,615.84,25-26
NESCAC,116-370.758,11,644.84,634.6,7176.18,555.99,2.81,69-0.42,25-26
Wisconsin IAC,69-280.711,8,634.86,644.46,6777.14,574.89,2.8,671.77,25-26
Ill & Wisc,61-270.693,9,654.8,653.53,6478.13,652.98,2.77,681.76,25-26
East Coast,36-650.356,9,664.72,663.01,6180.04,750.55,2.86,625.33,25-26
Conf Carolinas,40-880.313,16,674.68,672.82,6279.72,730.67,2.88,644.35,25-26
Southern IAC,32-490.395,16,684.62,681.37,7674.91,604.03,2.81,662.3,25-26
Old Dominion AC,74-440.627,12,704.55,691.37,7574.92,614.03,2.84,72-0.99,25-26
Ohio AC,54-320.628,9,694.56,700.92,6677.57,720.92,2.81,70-0.54,25-26
North Coast AC,53-320.624,9,714.55,710.58,7475.07,643.08,2.79,71-0.59,25-26
American SW,43-380.531,4,734.42,72-0.64,5680.71,95-3.78,2.82,73-1.64,25-26
American Rivers,59-320.648,9,724.46,73-0.79,7774.74,682.04,2.78,74-1.76,25-26
Southern Cal IAC,55-350.611,9,744.37,74-1.62,6976.83,80-0.88,2.85,75-2.19,25-26
NE W&M,47-390.547,9,754.24,75-3.57,8972.79,701.22,2.81,77-3.25,25-26
New Jersey A.C.,40-400.500,10,774.2,76-3.59,8673.64,760.34,2.83,78-3.61,25-26
MAC Commonwealth,49-420.538,8,804.17,77-3.83,7076.48,92-2.74,2.8,82-4.50,25-26
Landmark,50-230.685,10,764.21,78-3.91,8174.42,78-0.75,2.82,83-4.76,25-26
Minnesota IAC,59-490.546,11,784.19,79-3.93,7974.46,79-0.81,2.79,79-3.63,25-26
Centennial,72-510.585,10,794.18,80-4.05,10270.55,662.98,2.83,85-5.00,25-26
Little East,50-370.575,9,814.15,81-4.26,7375.26,84-1.95,2.86,84-4.95,25-26
Michigan IAA,40-540.426,8,824.14,82-4.28,8573.68,77-0.38,2.81,76-2.70,25-26
Northwest,38-510.427,9,834.1,83-4.61,7874.5,83-1.53,2.82,81-4.12,25-26
SAA,50-460.521,8,844.04,84-5.82,8074.43,91-2.68,2.84,88-5.48,25-26
Southern CAC,48-800.375,12,854.01,85-5.97,8273.97,87-2.37,2.86,80-3.97,25-26
Mid Atlantic,79-810.494,16,873.99,86-6.07,8373.96,88-2.46,2.81,91-6.30,25-26
Liberty League,35-390.473,10,883.97,87-6.15,10070.77,740.66,2.8,90-6.16,25-26
Heartland CAC,25-520.325,10,893.93,88-6.79,9372.17,82-1.38,2.85,86-5.01,25-26
CC South,45-540.455,7,923.89,89-6.84,6876.94,104-6.20,2.87,94-7.29,25-26
NCAA D3,172-3060.360,408,903.93,90-7.02,8872.82,86-2.26,2.82,92-6.51,25-26
Coast-to-Coast,76-720.514,7,864,91-7.09,8773.05,89-2.56,2.85,87-5.32,25-26
Midwest,35-470.427,9,913.92,92-7.25,8473.69,93-3.36,2.82,89-6.16,25-26
MAC Freedom,42-510.452,8,933.8,93-8.30,9671.45,85-2.17,2.83,96-8.11,25-26
NCAA II Ind,0-90.000,1,993.61,94-8.46,10370.38,81-1.26,2.87,3518.54,25-26
Northern Athletic,27-760.262,13,963.75,95-8.85,9272.23,94-3.51,2.85,93-6.92,25-26
Presidents' AC,53-640.453,12,943.8,96-9.05,9971.12,90-2.59,2.81,95-7.79,25-26
C of New England,47-570.452,11,953.76,97-9.14,9072.64,98-4.21,2.84,97-8.33,25-26
Upper Midwest,40-700.364,7,983.62,98-10.37,9172.62,103-5.41,2.78,99-8.89,25-26
USA South,43-530.448,8,973.7,99-10.41,9871.24,96-4.07,2.85,98-8.84,25-26
Great Northeast,73-910.445,13,1003.59,100-11.08,10170.63,97-4.13,2.86,100-10.20,25-26
Empire 8,59-530.527,12,1013.57,101-11.91,10470.16,99-4.50,2.79,103-11.73,25-26
SUNY AC,24-510.320,10,1043.44,102-12.63,10570.11,100-5.16,2.84,101-11.09,25-26
Allegheny Mtn,35-510.407,9,1023.45,103-13.15,9471.56,105-7.13,2.82,102-11.21,25-26
Atlantic East,42-510.452,8,1033.45,104-13.23,10669.62,101-5.27,2.83,106-12.24,25-26
MASCAC,38-510.427,8,1053.41,105-13.98,9571.55,107-7.95,2.83,104-11.95,25-26
St Louis IAC,32-590.352,9,1063.31,106-15.16,9771.25,109-8.84,2.89,105-12.12,25-26
Skyline,39-820.322,12,1073.15,107-16.95,10966.02,102-5.39,2.83,108-14.02,25-26
United East,50-1120.309,14,1083.11,108-17.40,10868.05,106-7.87,2.83,107-13.46,25-26
North Atlantic,12-650.156,10,1092.81,109-20.42,10768.2,110-11.04,2.81,109-17.33,25-26
City Univ NY,15-740.169,8,1102.67,110-22.54,11063.03,108-7.99,2.78,110-17.37,25-26
NCAA III Ind,7-190.269,1,1111.73,111-35.97,11157.54,111-15.93,2.78,111-24.83,25-26
Southeastern,206-340.858,16,18.36,146.93,199.71,323.93,2.91,142.61,24-25
Big 10,178-470.791,18,28.2,245.57,298.04,224.24,2.92,341.89,24-25
Big 12,151-520.744,16,38.18,345.35,397.37,124.69,2.95,242.13,24-25
Big East,92-460.667,11,47.98,443.33,496.23,423.8,2.89,440.3,24-25
Atlantic Coast,137-760.643,18,57.78,540.65,594.97,522.39,2.89,538.38,24-25
Mountain West,78-520.600,11,67.55,637.82,792.6,621.93,2.92,636.37,24-25
West Coast,88-650.575,11,77.4,736.22,693.52,919.41,2.86,734.33,24-25
Atlantic 10,133-720.649,15,87.32,834.66,991.27,720.1,2.88,1032.42,24-25
American Athletic,105-730.590,13,97.3,934.55,892.53,1118.73,2.9,832.75,24-25
