target_conference,first_target_season,destination_school,player_name,sports_reference_player_url,reason
Mountain West,2025-26,UNLV,Myles Che,https://www.sports-reference.com/cbb/players/myles-che-1.html,target_outcome_row_not_found_on_profile
Mountain West,2025-26,San Diego State,Latrell Davis,https://www.sports-reference.com/cbb/players/latrell-davis-1.html,target_outcome_row_not_found_on_profile
