season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,Oklahoma,oklahoma,NCAA D1,,21.0,16.0,0.568,1.0,38.0,8.1,36.0,45.52,2.0,101.47,77.0,21.62,2.87,27.0,41.94,39
2025-26,Georgia,georgia,NCAA D1,,22.0,11.0,0.667,-1.0,39.0,8.1,38.0,44.58,11.0,103.13,137.0,19.02,2.89,46.0,40.58,40
2025-26,Santa Clara,santa clara,NCAA D1,,26.0,9.0,0.743,,4.0,8.03,47.0,43.35,26.0,100.98,109.0,19.95,2.7,8.0,36.75,41
2025-26,VCU,vcu,NCAA D1,,28.0,8.0,0.778,,4.0,18.02,54.0,42.57,7.0,97.41,57.0,22.73,2.72,94.0,34.73,42
2025-26,UCF,ucf,NCAA D1,,21.0,12.0,0.636,,4.0,28.01,55.0,42.21,34.0,100.23,119.0,19.55,2.88,41.0,40.95,43
2025-26,West Virginia,west virginia,NCAA D1,,21.0,14.0,0.6,10.0,4.0,38.0,45.0,43.45,152.0,92.5,8.0,28.52,2.94,6.0,39.92,44
2025-26,St Louis,st louis,NCAA D1,,29.0,6.0,0.829,,44.0,7.99,56.0,42.05,37.0,100.09,12.0,19.54,2.97,106.0,33.26,45
2025-26,Missouri,missouri,NCAA D1,,20.0,13.0,0.606,-2.0,45.0,7.99,48.0,43.33,47.0,98.7,67.0,22.2,2.84,45.0,40.59,46
2025-26,Indiana,indiana,NCAA D1,,18.0,14.0,0.563,-1.0,46.0,7.98,39.0,44.39,56.0,98.28,42.0,23.69,2.98,37.0,41.25,47
2025-26,Baylor,baylor,NCAA D1,,17.0,17.0,0.5,,47.0,7.97,33.0,46.09,32.0,100.59,49.0,23.08,3.01,28.0,41.82,48
2025-26,San Diego St,san diego st,NCAA D1,,22.0,11.0,0.667,-2.0,48.0,7.97,43.0,43.53,88.0,95.99,3.0,25.11,2.88,77.0,37.69,49
2025-26,NC State,nc state,NCAA D1,,20.0,14.0,0.588,,49.0,7.96,42.0,43.87,31.0,100.69,89.0,20.75,2.72,48.0,40.48,50
2025-26,Seton Hall,seton hall,NCAA D1,,21.0,12.0,0.636,,5.0,7.95,57.0,41.84,194.0,91.05,9.0,28.36,2.85,63.0,39.42,51
2025-26,Cincinnati,cincinnati,NCAA D1,,18.0,15.0,0.545,,5.0,17.95,41.0,44.32,123.0,94.09,14.0,27.8,2.84,47.0,40.57,52
2025-26,New Mexico,new mexico,NCAA D1,,26.0,11.0,0.703,-4.0,5.0,27.9,46.0,43.43,43.0,99.13,74.0,21.88,2.79,89.0,35.46,53
2025-26,SMU,smu,NCAA D1,,20.0,14.0,0.588,-1.0,5.0,37.87,5.0,42.93,36.0,100.1,96.0,20.4,2.82,66.0,39.26,54
2025-26,Arizona St,arizona st,NCAA D1,,17.0,16.0,0.515,1.0,54.0,7.84,74.0,40.36,71.0,97.37,92.0,20.57,2.89,2.0,42.56,55
2025-26,USC,usc,NCAA D1,,18.0,14.0,0.563,-1.0,55.0,7.84,63.0,41.38,44.0,98.95,106.0,20.0,2.83,44.0,40.6,56
2025-26,Mississippi,mississippi,NCAA D1,,15.0,20.0,0.429,,56.0,7.84,53.0,42.76,78.0,96.66,43.0,23.67,2.75,26.0,42.03,57
2025-26,South Florida,south florida,NCAA D1,,25.0,9.0,0.735,,57.0,7.82,72.0,40.54,39.0,99.92,16.0,18.19,2.67,95.0,34.7,58
2025-26,Northwestern,northwestern,NCAA D1,,15.0,19.0,0.441,,58.0,7.82,51.0,42.91,97.0,95.38,29.0,25.11,2.83,32.0,41.68,59
2025-26,Washington,washington,NCAA D1,,16.0,17.0,0.485,,59.0,7.8,59.0,41.8,72.0,97.36,7.0,22.01,2.8,35.0,41.53,60
2025-26,Oklahoma St,oklahoma st,NCAA D1,,20.0,15.0,0.571,,6.0,7.79,75.0,40.28,16.0,102.27,232.0,15.58,2.93,59.0,39.92,61
