target,model_name,family,status,cv_mae,cv_rmse,cv_r2,cv_pearson,cv_spearman,train_mae,train_rmse,train_r2,top_decile_actual_mean,overall_actual_mean,top_decile_lift,params_json,rows_used,notes,baseline_mae,baseline_rmse,baseline_r2,baseline_pearson,baseline_spearman,mae_gain_vs_baseline
bpm,elastic_alpha_0.3_l1_0.65,elastic_net,ok,2.6357208758634787,4.333474081860623,0.1598508046585576,0.39987592132275884,0.5367629200725033,2.5199891162428147,4.159140516546591,0.22608868661679848,3.731372549019608,0.151593625498008,3.5797789235215998,"{""alpha"": 0.3, ""l1_ratio"": 0.65}",502,,3.128172750442328,4.7418753679602315,-0.005968262140078284,-0.07712618024212135,-0.07710945847088904,0.4924518745788493
bpm_percentile,elastic_alpha_0.3_l1_0.65,elastic_net,ok,19.70268266355553,24.057824414398628,0.3053606436486075,0.5527690019674205,0.5537956494818689,18.616528485828642,22.76914957343669,0.3777852473934784,78.52706819779705,50.0996015936255,28.42746660417155,"{""alpha"": 0.3, ""l1_ratio"": 0.65}",502,,25.092829795080313,28.987802385188022,-0.00850317045664517,-0.08774998303098476,-0.07645031107265055,5.390147131524781
bpr,gbr_depth_2_lr_0.03_leaf_5,gradient_boosting,ok,1.2935851563956202,1.629123239889612,0.4568906226023711,0.6768052532817644,0.6744538745925426,0.9866213846726027,1.2563174314033323,0.6770180928505993,3.4726315789473685,1.2198416886543537,2.252789890293015,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 180}",379,,1.7562408715185474,2.213190289988489,-0.0023443244774148386,-0.05277451671432453,-0.02767273563906733,0.46265571512292714
porpag,elastic_alpha_0.1_l1_0.35,elastic_net,ok,0.9167346415768591,1.1387299865987832,0.1709365502509087,0.4140600520713518,0.40729458917835665,0.8888588473130438,1.104420044920462,0.22014328606483036,2.4056581,1.2695250433086174,1.1361330566913828,"{""alpha"": 0.1, ""l1_ratio"": 0.35}",499,,1.014383367194039,1.2517721249102562,-0.0018364004467850137,-0.045220332864949316,-0.04968864390158629,0.09764872561717985
