target,target_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpm,Atlantic 10,60,3.5021615005036093,2.089631099953911,1.265224490390634,-0.6449999999999999,0.620224490390634
bpm,Mountain West,145,2.8890508695337753,2.350654639165831,-0.95051932688721,1.8379310344827586,0.8874117075955487
bpm,Big West,145,2.8228266387857004,2.008681370042245,0.014975924445301093,-0.9951724137931035,-0.9801964893478023
bpm,American,10,2.648387493960999,2.8052686138734533,0.7514698972091932,-0.20999999999999988,0.5414698972091934
bpm,WCC,133,2.526093609815319,2.1054757359642227,0.20246002116286607,-0.0007518796992481093,0.20170814146361796
bpm,Missouri Valley,9,2.0001600351146376,2.30019743474089,1.1858264787687882,-0.5777777777777778,0.6080487009910105
bpm_percentile,Atlantic 10,60,23.266348328832724,23.2686730337612,-0.29897756951756055,53.082669322709165,52.783691753191604
bpm_percentile,American,10,22.405396237154825,22.74716814785007,3.19991365713096,45.50796812749004,48.707881784621
bpm_percentile,Mountain West,145,21.639926107669492,18.729385455748584,-1.9924971592313545,62.889133122681685,60.896635963450336
bpm_percentile,WCC,133,21.226232822067274,19.923305080345344,3.0495796971943987,47.56837312404517,50.61795282123958
bpm_percentile,Big West,145,20.219683526818176,17.110686928775596,1.2818077654128677,39.253331501579886,40.53513926699276
bpm_percentile,Missouri Valley,9,18.783808721825096,22.490151336006363,1.0492454877397046,41.412129260734844,42.46137474847454
bpr,WCC,94,1.6211134312415418,1.4295684181714141,0.16546985669454836,1.203936170212766,1.3694060269073143
bpr,Mountain West,106,1.5252794893476869,1.2870213384676805,-0.2377341186023624,2.0815094339622644,1.843775315359902
bpr,Big West,121,1.4141102048490468,1.0353707383349569,0.1903584396096946,0.2642148760330578,0.4545733156427525
bpr,Atlantic 10,44,1.378451017869534,1.2104762167674252,-0.3288187219540308,1.9020454545454546,1.5732267325914238
bpr,American,6,1.2138511503277993,0.9403182832821477,0.12453195640762683,0.8983333333333333,1.0228652897409602
bpr,Missouri Valley,8,1.0178538487765803,1.0187536683849223,-0.31775234492774385,0.9325,0.6147476550722561
porpag,American,10,1.1545657733962522,1.0956189689807407,0.15282006505807016,1.34307197,1.4958920350580702
porpag,Mountain West,140,1.0256168994182189,0.894979321791057,-0.11647773515480765,1.497792848,1.3813151128451924
porpag,Big West,141,0.9339011662519323,0.8800966838952258,0.01826089947375229,0.9978062177304965,1.0160671172042488
porpag,WCC,128,0.8633648683382424,0.7356601584881834,0.09550284255338495,1.2081611671171875,1.3036640096705725
porpag,Atlantic 10,58,0.835264453587161,0.7728634548457332,0.07964365506573977,1.3449743637931035,1.4246180188588433
porpag,Missouri Valley,9,0.7473484277261743,0.753689431012827,0.21478422741640307,1.2089606666666668,1.4237448940830697
