"Quentin Jackson Jr.","Loyola Marymount",WCC,9,3.4,83,12.6,43.8,44.69,0,7.1,0,12.4,1,2,0.5,2,6,0.333,1,2,0.5,0,1.6,25,Sr,6-3,10,-0.135891,76.1228,1.1,2022,44346,"Cary, NC",63.6,0.00000000,2,2,0,4,1.0000,0.0000,0,0,,,112.866,108.004,0.284145,5.49281,-8.34788,-4.24324,-4.10464,-5.68887,4.0000,-2.7145,-2.97437,0.1000,0.2000,0.3000,0.0000,0.1000,0.0000,0.8000,"Wing G",3.0852,1997-10-15
"Charlie Moore","Miami FL",ACC,37,80.9,106.1,22.7,52.3,54.5,1.2,8.6,26.3,16.7,56,76,0.737,113,223,0.507,59,162,0.364,0.6,3.6,19.7,Sr,5-11,3,3.28919,114.674,3.3,2022,44420,"Chicago, IL",86.0,2.20777484,90,143,23,80,0.6294,0.2875,0,0,,,103.668,98.6173,3.23345,215.314,4.0041,3.62893,0.375163,3.34766,32.4865,2.06805,1.2796,0.3243,2.3243,2.6486,4.5946,2.0000,0.1622,12.4054,"Scoring PG",7.9748,1998-02-03
"Ben Shungu",Vermont,AE,33,76.9,116,26.1,60.7,62.34,2.8,15.3,15.6,13.7,72,100,0.72,143,240,0.596,65,156,0.417,0.9,2.5,25.3,Sr,6-2,24,3.86056,121.564,2.4,2022,44546,"South Burlington, VT",,1.25807513,98,146,44,93,0.6712,0.4731,6,7,0.8571,,92.4015,95.4505,3.41023,201.684,5.30536,3.93199,1.37337,6.26522,30.6471,4.75215,1.51307,0.6176,3.9706,4.5882,2.2941,1.2059,0.2353,16.2647,"Wing G",9.433,1997-10-04
"Keon Clergeot","Southeastern Louisiana",Slnd,29,72.4,101.7,23.9,50.9,57.74,2.3,7.9,20.3,23.2,107,126,0.849,75,163,0.46,44,114,0.386,0.2,2.1,45.5,Sr,6-1,4,1.85543,103.257,3.9,2022,44685,"Winter Haven, FL",41.2,1.07215759,43,88,32,75,0.4886,0.4267,2,2,1.0000,,111.06,114.496,1.34044,140.465,-3.82579,-0.010038,-3.81575,-3.41148,29.1515,-0.737382,-2.6741,0.5455,1.9091,2.4545,3.1515,1.2121,0.0606,12.8788,"Scoring PG",7.15927,1996-11-23
"Bryce Aiken","Seton Hall",BE,15,31.6,119.7,25.9,53.1,60.22,1.6,7.2,22.9,14.3,66,80,0.825,40,75,0.533,24,68,0.353,0,3,55.9,Sr,6-0,1,4.32471,133.364,2.5,2022,44711,"Randolph, NJ",83.0,1.63994718,30,50,10,25,0.6000,0.4000,0,0,,,99.6936,95.8934,2.84053,66.2249,6.48545,6.5127,-0.0272535,8.35651,26.2000,5.84057,2.51594,0.4000,1.7333,2.1333,2.7333,1.3333,0.0000,14.5333,"Scoring PG",10.0782,1996-12-14
"Peter Kiss",Bryant,NEC,27,77.1,103.5,34.7,50.2,54.52,4.3,12,22.1,18.6,138,176,0.784,196,371,0.528,50,169,0.296,0.8,2.6,32.6,Sr,6-5,32,4.01596,118.113,2.4,2022,44721,"New York, NY",,0.76990341,143,220,53,150,0.6500,0.3533,33,37,0.8919,,101.355,105.854,2.64465,188.042,0.976658,2.08872,-1.11206,3.22662,35.7037,3.99322,-0.766608,1.4444,4.3333,5.7778,3.2222,1.6667,0.2963,25.1852,"Combo G",9.64596,1997-05-09
"Kevin Marfo",Quinnipiac,MAAC,30,67.6,99.2,26.4,46.9,53.33,13.4,30.1,27.7,27.4,93,130,0.715,98,197,0.497,1,15,0.067,2.6,2.1,61.3,Sr,6-8,0,1.93598,106.02,4,2022,44755,"Bergenfield, NJ",62.2,1.12150886,95,184,3,13,0.5163,0.2308,10,14,0.7143,,96.9681,100.245,2.549,195.695,2.83719,-0.188087,3.02527,1.6214,26.8387,0.482591,1.13881,3.0968,7.0968,10.1935,3.8710,0.9355,0.6774,9.4194,PF/C,1.07478,1997-05-26
"Jair Bolden",Butler,BE,22,30.6,98.8,19.3,43.8,48.05,1.5,8.8,5.3,9.2,21,22,0.955,13,36,0.361,29,93,0.312,1.5,1.3,17.1,Sr,6-3,52,0.991699,101.864,2,2022,44756,"Brooklyn, NY",37.2,1.38453017,4,6,9,30,0.6667,0.3000,0,0,,,106.223,102.128,1.52185,57.7003,0.27775,0.72893,-0.45118,1.13105,18.5000,1.23167,-0.10062,0.2083,1.3750,1.5833,0.7500,0.4583,0.2500,6.7083,"Wing G",15.0181,1997-10-15
"Colin Slater","Long Beach St.",BW,31,80.2,108.4,21.2,49.7,54.26,0.9,9.5,17.3,12.7,82,97,0.845,82,190,0.432,62,162,0.383,0.3,1.5,27.6,Sr,6-1,14,2.80092,110.547,2.4,2022,44757,"New Orleans, LA",53.6,1.76919665,37,77,45,113,0.4805,0.3982,0,0,,,106.531,106.607,2.31553,161.907,0.115691,2.09885,-1.98316,0.678675,32.1818,1.66188,-0.983202,0.2727,2.5152,2.7879,2.7879,0.8182,0.0909,14.4242,"Combo G",9.09485,1997-10-29
"Joey Brunk","Ohio St.",B10,28,16.7,114.9,15.1,63,65.17,3.7,20.4,5.6,19,10,13,0.769,29,46,0.63,0,0,0,3,1.7,28.3,Sr,6-11,50,0.684062,111.186,5.2,2022,44792,"Indianapolis, IN",78.8,0.60011202,9,12,20,34,0.7500,0.5882,3,3,1.0000,,99.362,94.1556,0.881792,43.5006,2.2274,0.351396,1.876,2.57386,7.6786,0.0859247,2.48793,0.2143,1.3929,1.6071,0.2143,0.2143,0.2143,2.4286,C,0,1997-11-13
