target,orig_rows_used,orig_model_name,orig_family,orig_cv_mae,orig_cv_rmse,orig_cv_r2,orig_cv_pearson,orig_cv_spearman,orig_mae_gain_vs_baseline,orig_top_decile_lift,min10_rows_used,min10_model_name,min10_family,min10_cv_mae,min10_cv_rmse,min10_cv_r2,min10_cv_pearson,min10_cv_spearman,min10_mae_gain_vs_baseline,min10_top_decile_lift,delta_cv_mae,delta_cv_rmse,delta_cv_r2,delta_cv_pearson,delta_cv_spearman,delta_mae_gain_vs_baseline,delta_top_decile_lift
bpm,502,elastic_alpha_0.3_l1_0.35,elastic_net,2.82631014760482,4.401515608861579,0.1332606748652848,0.3651570168079392,0.4520291988933169,0.3018626028375077,3.377818139207874,426,gbr_depth_2_lr_0.06_leaf_5,gradient_boosting,2.2160016515672134,2.847278054977482,0.2049802451845305,0.4625151005174396,0.4682391179857344,0.3412165484157872,2.51155147941915,-0.6103084960376064,-1.554237553884097,0.0717195703192457,0.09735808370950039,0.016209919092417535,0.03935394557827948,-0.8662666597887241
bpm_percentile,502,histgb_lr_0.06_leaves_10_l2_5.0,hist_gradient_boosting,21.278528890305967,26.212158345691616,0.1753830651025001,0.4446567662223517,0.4467371358992085,3.8143009047743455,22.183813764549633,426,lgbm_lr_0.06_leaves_15_lambda_5.0,lightgbm,20.76508324232817,25.33941558015301,0.2293522593796437,0.4898761889423505,0.4874576534506624,4.289164158304807,23.395021290533897,-0.5134456479777967,-0.8727427655386073,0.05396919427714361,0.04521942271999885,0.040720517551453894,0.47486325353046155,1.211207525984264
bpr,379,histgb_lr_0.03_leaves_4_l2_1.0,hist_gradient_boosting,1.4808691442552329,1.8879683680412769,0.2705948075655955,0.5214252679214385,0.5134362814300775,0.2753717272633145,2.182263574503541,378,xgb_lr_0.03_depth_3_lambda_8.0,xgboost,1.48278863461767,1.8755284174888271,0.282060558901164,0.531463691025308,0.51814056029173,0.2775250357423477,1.9511876914508492,0.001919490362437104,-0.01243995055244973,0.011465751335568486,0.010038423103869487,0.004704278861652478,0.0021533084790332224,-0.23107588305269178
porpag,486,elastic_alpha_0.03_l1_0.15,elastic_net,0.9310581592570404,1.1647841685732605,0.1396424725771841,0.3818309201752646,0.3887624240171922,0.0889198471809892,0.9774272701377756,412,elastic_alpha_0.01_l1_0.65,elastic_net,0.9142867131281904,1.150179494610263,0.098488682091462,0.3376401867040277,0.3255092836234607,0.0561812034276361,0.8599266914921411,-0.016771446128849954,-0.014604673962997472,-0.0411537904857221,-0.04419073347123692,-0.06325314039373148,-0.03273864375335311,-0.11750057864563457
