player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
Isaiah Cottrell,Mountain West,D1,West Virginia,UNLV,2021-22,2022-23,big_west_bpr
Shane Nowell,Mountain West,D1,Arizona,UNLV,2021-22,2022-23,big_west_bpr
Jalen Hill,Mountain West,D1,Oklahoma,UNLV,2022-23,2023-24,big_west_bpr
Jace Whiting,Mountain West,D1,Boise State,UNLV,2023-24,2024-25,big_west_bpr
Ladji Dembele,Mountain West,D1,Iowa,UNLV,2024-25,2025-26,big_west_bpr
Isaac Mushila,Mountain West,D1,Texas A&M–Corpus Christi,New Mexico,2022-23,2023-24,big_west_bpr
Nelly Junior Joseph,Mountain West,D1,Iona,New Mexico,2022-23,2023-24,big_west_bpr
Atiki Ally Atiki,Mountain West,D1,Brigham Young,New Mexico,2023-24,2024-25,big_west_bpr
Ibrahima Sacko,Mountain West,D1,Georgia Tech,New Mexico,2023-24,2024-25,big_west_bpr
Chris Howell,Mountain West,D1,UC San Diego,New Mexico,2024-25,2025-26,big_west_bpr
Kevin Patton,Mountain West,D1,Southern California,New Mexico,2024-25,2025-26,big_west_bpr
Milos Vicentic,Mountain West,D1,UC San Diego,New Mexico,2024-25,2025-26,big_west_bpr
Reese Dixon-Waters,Mountain West,D1,Southern California,San Diego State,2022-23,2023-24,big_west_bpr
Kimo Ferrari,Mountain West,D1,Brown,San Diego State,2023-24,2024-25,big_west_bpr
Chol Marial,Mountain West,D1,Oregon State,San Jose State,2023-24,2024-25,big_west_bpr
Steven Vasquez,Mountain West,D1,Fresno State,San Jose State,2023-24,2024-25,big_west_bpr
JaVaughn Hannah,Mountain West,D1,Western Michigan,San Jose State,2024-25,2025-26,big_west_bpr
Marcus Overstreet,Mountain West,D1,Mercer,San Jose State,2024-25,2025-26,big_west_bpr
Daniel Akin,Mountain West,D1,California Baptist,Utah State,2021-22,2022-23,big_west_bpr
Jackson Grant,Mountain West,D1,Washington,Utah State,2022-23,2023-24,big_west_bpr
Max Agbonkpolo,Mountain West,D1,Wyoming,Utah State,2022-23,2023-24,big_west_bpr
Nigel Burris,Mountain West,D1,Idaho,Utah State,2022-23,2023-24,big_west_bpr
Braden Housley,Mountain West,D1,Southern Utah,Utah State,2023-24,2024-25,big_west_bpr
Luke Kearney,Mountain West,D1,Air Force,Utah State,2024-25,2025-26,big_west_bpr
Jake Kyman,Mountain West,D1,UCLA,Wyoming,2021-22,2022-23,big_west_bpr
Max Agbonkpolo,Mountain West,D1,Southern California,Wyoming,2021-22,2022-23,big_west_bpr
Oleg Kojenets,Mountain West,D1,Nebraska,Wyoming,2022-23,2023-24,big_west_bpr
Scottie Ebube,Mountain West,D1,Southern Illinois,Wyoming,2023-24,2024-25,big_west_bpr
Jared Harris,Mountain West,D1,Memphis,Wyoming,2024-25,2025-26,big_west_bpr
Jarvis Moss,Atlantic 10,D1,Stanford,Davidson,2022-23,2023-24,big_west_bpr
Joe Hurlburt,Atlantic 10,D1,Colorado,Davidson,2023-24,2024-25,big_west_bpr
"JaQualon ""JQ"" Roberts",Atlantic 10,D1,Vanderbilt,Davidson,2024-25,2025-26,big_west_bpr
Richard Amaefule,Atlantic 10,D1,East Tennessee State,Dayton,2020-21,2022-23,big_west_bpr
Isaac Jack,Atlantic 10,D1,Buffalo,Dayton,2022-23,2023-24,big_west_bpr
Jacob Conner,Atlantic 10,D1,Marshall,Dayton,2023-24,2024-25,big_west_bpr
Joseph Reece,Atlantic 10,D1,Bowling Green,Duquesne,2021-22,2022-23,big_west_bpr
Dusan Mahorcic,Atlantic 10,D1,NC State,Duquesne,2022-23,2023-24,big_west_bpr
Hassan Drame,Atlantic 10,D1,La Salle,Duquesne,2022-23,2023-24,big_west_bpr
