player_name,source_school,source_season,target_conference,source_level,source_games,college_stat_seasons_before_transfer,college_stat_seasons_source,source_url,outcome_url,needs_manual_review
Chris Howell,Saint Mary's,2023-24,Big West,D1,31,2.0,data/cache/sports_reference_roster_diff_profiles/chris-howell-3.html;data/cache/sports_reference_d1_profile_audit/chris-howell-3.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html,False
"Marqui Worthy, Jr.",Massachusetts,2024-25,Big West,D1,31,2.0,data/cache/sports_reference_d1_profile_audit/marqui-worthy-1.html,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,False
Scotty Washington,California Baptist,2023-24,Big West,D1,33,2.0,data/cache/sports_reference_d1_profile_audit/scotty-washington-1.html,https://www.sports-reference.com/cbb/schools/california-baptist/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,False
Isaac Johnson,Utah State,2024-25,Big West,D1,30,3.0,data/cache/sports_reference_d1_profile_audit/isaac-johnson-23.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,False
Derin Saran,Stanford,2024-25,Big West,D1,5,2.0,data/cache/sports_reference_d1_profile_audit/derin-saran-1.html,https://www.sports-reference.com/cbb/players/derin-saran-1.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2026.html,False
Leo Beath,Lynn,2024-25,Big West,D2,30,1.0,data/cache/sports_reference_d2_outcome_audit/leo-beath-1.html,https://lynnfightingknights.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/leo-beath-1.html,False
Hunter Erickson,Utah,2024-25,Big West,D1,33,5.0,data/cache/sports_reference_d1_profile_audit/hunter-erickson-1.html,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,False
Josiah Davis,Niagara,2024-25,Big West,D1,22,3.0,data/cache/sports_reference_d1_profile_audit/josiah-davis-1.html,https://www.sports-reference.com/cbb/schools/niagara/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,False
Gytis Nemeikša,Xavier,2023-24,Big West,D1,34,1.0,data/cache/sports_reference_d1_profile_audit/gytis-nemeiksa-1.html,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,False
Kenny Pohto,Wichita State,2023-24,Big West,D1,34,3.0,data/cache/sports_reference_d1_profile_audit/kenny-pohto-1.html,https://www.sports-reference.com/cbb/schools/wichita-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,False
Tanner Christensen,Utah Tech,2023-24,Big West,D1,31,4.0,data/cache/sports_reference_roster_diff_profiles/tanner-christensen-1.html;data/cache/sports_reference_d1_profile_audit/tanner-christensen-1.html,https://www.sports-reference.com/cbb/schools/dixie-state/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,False
Jefferson De La Cruz Monegro,Valparaiso,2024-25,Big West,D1,34,3.0,data/cache/sports_reference_d1_profile_audit/jefferson-de-la-cruz-monegro-1.html,https://www.sports-reference.com/cbb/schools/valparaiso/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,False
