target_conference,player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,source_url,outcome_url,source_class,source_class_context,seasons_played_before_transfer,class_entering_destination,years_in_college_entering_destination,college_stat_seasons_before_transfer,college_stat_seasons_source,height_in,weight_lbs,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,source_conf_power,destination_conf_power,conf_power_delta,source_team_power,destination_team_power,team_power_delta,source_low_minutes_flag,source_low_games_flag,position,position_bucket,height_bucket,source_role_bucket,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_bpr,big_west_obpr,big_west_dbpr,big_west_bpr_poss,big_west_bpm,big_west_porpag,target_porpag,target_barttorvik_bpm,target_barttorvik_obpm,target_barttorvik_dbpm,production_score,impact_score,outcome_tier,big_west_bpm_percentile,projected_destination_mpg
Big West,Owen Koonce,owen-koonce,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,2023-24,target_conference_common_box,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/owen-koonce-1.html,SR,source_season_class,4.0,GR,5.0,4.0,data/cache/sports_reference_d2_outcome_audit/owen-koonce-1.html,77.0,195.0,34,24.558823529411764,0.6139705882352942,13.235294117647058,3.911764705882353,1.7647058823529411,1.1764705882352942,0.4705882352941176,1.9705882352941175,0.544,0.354,0.903,0.6270358306188925,21.556886227544908,6.37125748502994,2.874251497005988,1.916167664670659,0.7664670658682635,3.2095808383233533,14.68,30.41,15.73,25.35,27.66,2.3099999999999987,0,0,G,guard,wing_guard,starter,35,35,30.1,1053.5,0.7525000000000001,16.9,4.8,1.8,2.02,2.32,-0.3,1964.0,2.0,3.24076,3.24076,1.41192,2.28189,-0.869971,21.34,83.58283433133732,Target-conference impact starter,68.32669322709162,30.1
Big West,Petar Majstorović,petar-majstorovi,Syracuse,syracuse,ACC,D1,Long Beach State,long-beach-state,2025-26,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,FR,cached_sports_reference_school_roster,1.0,SO,2.0,1.0,data/cache/sports_reference_d1_profile_audit/petar-majstorovic-1.html,80.0,215.0,31,13.3,0.3325,2.6,3.2,0.7,0.4,0.3,0.8,0.484,0.417,0.538,0.523,7.819548872180451,9.62406015037594,2.1052631578947367,1.2030075187969924,0.9022556390977444,2.406015037593985,40.65,29.37,-11.279999999999998,37.59,26.2,-11.390000000000004,0,0,F,forward,forward,rotation,32,32,31.2,998.4,0.78,14.4,6.4,1.8,2.52,1.62,0.9,1695.0,2.0,2.39399,2.39399,2.34047,1.2858,1.05467,20.44,83.50299401197606,Target-conference impact starter,68.32669322709162,31.2
Big West,Hayden Gray,hayden-gray,Azusa Pacific,azusa-pacific,PacWest,D2,UC San Diego,uc-san-diego,2023-24,2022-23,target_conference_common_box,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/hayden-gray-1.html,JR,source_season_class,3.0,SR,4.0,2.0,data/cache/sports_reference_d2_outcome_audit/hayden-gray-1.html,76.0,185.0,30,26.833333333333332,0.6708333333333333,10.0,3.033333333333333,3.8,1.8333333333333333,0.3,1.5666666666666669,0.443,0.326,0.673,0.5018939393939394,14.906832298136647,4.521739130434782,5.6645962732919255,2.732919254658385,0.4472049689440994,2.3354037267080745,13.16,29.59,16.43,20.88,30.56,9.68,0,0,G,guard,wing_guard,starter,33,33,32.7,1079.1,0.8175000000000001,9.0,4.2,3.8,2.18,1.99,0.19,1736.0,2.5,2.11879,2.11879,3.30878,1.67291,1.63587,15.29,84.00199600798402,Target-conference impact starter,73.20717131474103,32.7
Big West,Joshua Ward,joshua-ward,Palm Beach Atlantic,palm-beach-atlantic,SSC,D2,Cal State Fullerton,cal-state-fullerton,2025-26,2024-25,target_conference_common_box,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,SR,source_season_class,4.0,GR,5.0,3.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Joshua-Ward/Summary/209945 (2022-23 Life University, 2023-24 Life University, 2024-25 Palm Beach Atlantic; then Cal State Fullerton)",73.0,175.0,29,32.13793103448276,0.803448275862069,14.96551724137931,5.0344827586206895,4.0344827586206895,1.7241379310344829,0.4827586206896552,2.3793103448275863,0.457,0.29,0.85,0.4957386363636363,18.626609442060083,6.266094420600858,5.021459227467811,2.1459227467811153,0.6008583690987124,2.96137339055794,14.22,29.37,15.15,13.11,27.57,14.46,0,0,G,guard,small_guard,high_usage_role,34,34,30.9,1050.6,0.7725,14.5,4.5,3.5,1.52,0.9,0.62,1900.0,2.1,2.14099,2.14099,1.64966,0.93444,0.715218,20.57,83.33832335329342,Target-conference impact starter,69.22310756972112,30.9
Big West,Tom Beattie,tom-beattie,Hawaii,hawaii,Big West,D1,UC San Diego,uc-san-diego,2025-26,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,SO,cached_sports_reference_school_roster,2.0,JR,3.0,2.0,data/cache/sports_reference_roster_diff_profiles/tom-beattie-1.html,77.0,195.0,31,26.1,0.6525000000000001,7.4,2.5,1.6,0.5,0.1,1.8,0.443,0.25,0.719,0.477,11.340996168582375,3.8314176245210727,2.4521072796934864,0.7662835249042145,0.1532567049808429,2.758620689655172,30.41,29.37,-1.0399999999999991,29.67,33.94,4.269999999999996,0,0,G,guard,wing_guard,starter,34,34,31.2,1060.8,0.78,10.6,5.3,3.4,1.77,0.5,1.27,1780.0,2.8,1.69523,1.69523,2.95173,0.798147,2.15358,16.99,83.9620758483034,Target-conference impact starter,75.89641434262948,31.2
Big West,Justin McKoy,justin-mckoy,North Carolina,north-carolina,ACC,D1,Hawaii,hawaii,2023-24,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,SR,cached_sports_reference_school_roster,4.0,GR,5.0,4.0,data/cache/sports_reference_d1_profile_audit/justin-mckoy-1.html,80.0,220.0,11,5.4,0.135,1.7,1.2,0.1,0.0,0.4,0.2,0.462,0.333,1.0,0.538,12.592592592592592,8.888888888888888,0.7407407407407407,0.0,2.962962962962963,1.4814814814814814,39.87,29.59,-10.279999999999998,44.85,31.67,-13.18,1,0,F,forward,forward,bench,34,34,31.0,1054.0,0.775,12.4,6.1,1.6,1.42,1.6,-0.18,1688.0,2.0,2.39965,2.39965,2.0232,1.03404,0.989162,17.610000000000007,83.30838323353294,Target-conference impact starter,68.32669322709162,31.0
Big West,Aidan Mahaney,aidan-mahaney,Connecticut,connecticut,Big East,D1,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,JR,cached_sports_reference_school_roster,3.0,SR,4.0,3.0,data/cache/sports_reference_d1_profile_audit/aidan-mahaney-1.html,75.0,185.0,34,12.4,0.31,4.5,0.8,1.3,0.2,0.0,0.6,0.377,0.359,0.758,0.46,14.516129032258064,2.5806451612903225,4.193548387096774,0.6451612903225806,0.0,1.9354838709677415,43.33,29.37,-13.959999999999996,50.59,31.4,-19.190000000000005,0,0,G,guard,wing_guard,rotation,32,32,33.6,1075.2,0.8400000000000001,14.9,1.9,2.7,0.93,1.93,-1.0,1760.0,0.2,3.03163,3.03163,-0.495408,2.19556,-2.69097,18.1,80.13473053892216,Target-conference impact starter,48.80478087649402,33.6
Big West,Andrew Henderson,andrew-henderson,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,UC Riverside,uc-riverside,2025-26,2024-25,target_conference_common_box,https://csusbathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html,SR,source_season_class,4.0,GR,5.0,4.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Andrew-Henderson/Summary/222851 (2021-22 College of the Canyons, 2022-23 College of the Canyons, 2023-24 Sonoma State, 2024-25 Cal State San Bernardino; then UC Riverside)",77.0,210.0,35,33.8,0.845,17.257142857142856,6.8,1.5142857142857142,1.4285714285714286,0.8857142857142857,2.142857142857143,0.47,0.366,0.789,0.5328389830508474,20.422654268808113,8.04733727810651,1.7920540997464076,1.69061707523246,1.0481825866441252,2.53592561284869,13.01,29.37,16.36,20.02,26.75,6.73,0,0,G,guard,wing_guard,high_usage_role,32,29,33.3,1065.6,0.8324999999999999,18.1,4.9,2.0,0.16,0.12,0.04,1792.0,0.6,2.07723,2.07723,-0.645846,0.391116,-1.03696,23.069999999999997,79.95508982035928,Target-conference starter/plus rotation,53.286852589641434,33.3
Big West,Isaac Jessup,isaac-jessup,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,2023-24,target_conference_common_box,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html,SR,source_season_class,4.0,GR,5.0,4.0,data/cache/sports_reference_d2_outcome_audit/isaac-jessup-1.html,74.0,194.0,34,24.941176470588236,0.6235294117647059,10.147058823529411,2.764705882352941,2.4411764705882355,1.088235294117647,0.1470588235294117,1.6176470588235294,0.415,0.37,0.963,0.5557491289198606,16.27358490566038,4.433962264150944,3.915094339622642,1.7452830188679245,0.2358490566037736,2.594339622641509,14.68,30.41,15.73,25.35,27.66,2.3099999999999987,0,0,G,guard,small_guard,starter,31,31,30.6,948.6,0.765,11.7,3.5,2.6,3.46,3.39,0.07,1780.0,3.0,2.94292,2.94292,3.70892,4.36367,-0.654748,16.44,81.56686626746506,Target-conference impact starter,78.08764940239044,30.6
Big West,Lassina Traoré,lassina-traor,Saint Louis,saint-louis,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,FR,cached_sports_reference_school_roster,1.0,SO,2.0,1.0,data/cache/sports_reference_d1_profile_audit/lassina-traore-1.html,81.0,245.0,19,7.8,0.195,2.4,2.9,0.3,0.3,0.2,0.9,0.606,0.0,0.75,0.606,12.307692307692308,14.871794871794872,1.5384615384615383,1.5384615384615383,1.0256410256410258,4.615384615384616,35.45,29.79,-5.660000000000004,39.92,30.99,-8.930000000000003,1,0,F,forward,forward,bench,33,33,28.1,927.3,0.7025,12.9,10.5,1.2,2.85,1.61,1.24,1598.0,1.8,2.78997,2.78997,1.82591,1.22701,0.598902,21.17,80.28443113772455,Target-conference impact starter,66.23505976095618,28.1
