player_name,target_conference,source_school,source_conference,source_level,destination_school,first_big_west_season,actual,cv_prediction,cv_error,abs_error,source_games,source_mpg,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,position,height_in,weight_lbs,outcome_tier,initial_tags,suggested_review_reason,source_url,outcome_url
Kaleb Brown,Big West,Missouri,SEC,D1,Cal State Fullerton,2024-25,-3.21,0.9678355467443104,4.17783554674431,4.17783554674431,2,6.5,1.0,1.0,1.0,6.153846153846154,6.153846153846154,6.153846153846154,42.64,30.41,-12.23,G,79.0,245.0,Limited target-conference role,over_predicted_translation;low_source_minutes;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/schools/missouri/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html
Isa Silva,Big West,Stanford,PAC 12,D1,Long Beach State,2023-24,-3.56,0.6098787604779579,4.169878760477958,4.169878760477958,32,12.9,3.2,0.5,1.2,9.92248062015504,1.550387596899225,3.720930232558139,40.74,29.59,-11.150000000000002,G,76.0,190.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/schools/stanford/men/2023.html,https://longbeachstate.com/sports/mens-basketball/stats/2023-24
Mor Seck,Mountain West,Hawaii,Big West,D1,Fresno State,2024-25,-2.76,1.344966552503995,4.104966552503996,4.104966552503996,19,12.9,4.0,2.9,0.0,12.403100775193796,8.992248062015504,0.0,29.59,37.82,8.23,C,7-1,230.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/mor-seck-1.html,https://www.sports-reference.com/cbb/players/mor-seck-1.html
Beril Kabamba,Big West,Spring Hill,SIAC,D2,Cal State Fullerton,2023-24,-3.55,0.483721470462913,4.033721470462913,4.033721470462913,25,34.8,18.56,8.68,2.0,21.333333333333336,9.977011494252874,2.298850574712644,12.64,29.59,16.95,G,78.0,220.0,Limited target-conference role,over_predicted_translation;scorer_overvalued;large_jump_up_overvalued;d2_to_d1_translation_miss;negative_outcome_overpredicted,Strong lower-division box production did not translate to the target role.,https://shcbadgers.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/beril-kabamba-1.html
MJ Collins,Mountain West,Vanderbilt,SEC,D1,Utah State,2025-26,5.55,1.5967408962019445,-3.953259103798056,3.953259103798056,32,20.3,7.4,2.3,0.5,14.58128078817734,4.532019704433497,0.9852216748768472,46.93,37.82,-9.11,G,6-4,190.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted;power_drop_breakout;star_outcome_missed,High-major or stronger-conference player improved after moving down in conference strength.,https://www.sports-reference.com/cbb/players/mj-collins-1.html,https://www.sports-reference.com/cbb/players/mj-collins-1.html
Kody Clouet,WCC,Southeastern Oklahoma State,GAC,D2,San Diego,2024-25,-2.03,1.8359107559361276,3.865910755936127,3.865910755936127,32,35.5,17.6875,5.1875,2.0625,19.929577464788732,5.845070422535211,2.323943661971831,14.15,36.22,22.07,G,6-5,210.0,Target-conference rotation,over_predicted_translation;scorer_overvalued;large_jump_up_overvalued;d2_to_d1_translation_miss;negative_outcome_overpredicted,Strong lower-division box production did not translate to the target role.,https://gosoutheastern.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/kody-clouet-1.html
Burke Smith,WCC,Boise State,MWC,D1,Pacific,2023-24,-3.68,0.1599589747340225,3.8399589747340226,3.8399589747340226,10,3.4,0.9,1.1,0.1,10.588235294117649,12.941176470588236,1.1764705882352942,38.01,34.66,-3.3500000000000014,F,6-11,212.0,Limited target-conference role,over_predicted_translation;low_source_minutes;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/burke-smith-1.html,https://www.sports-reference.com/cbb/players/burke-smith-1.html
Great Osobor,Mountain West,Montana State,Big Sky,D1,Utah State,2023-24,5.54,1.710388655121702,-3.8296113448782982,3.8296113448782982,34,19.0,10.1,4.6,1.0,21.26315789473684,9.68421052631579,2.1052631578947367,29.15,38.07,8.920000000000002,F,6-8,245.0,Target-conference impact starter,under_predicted_breakout;star_outcome_missed,Model did not identify a star/impact outcome.,https://www.sports-reference.com/cbb/players/great-osobor-1.html,https://www.sports-reference.com/cbb/players/great-osobor-1.html
Dearon Tucker,Big West,Indiana State,Missouri Valley,D1,Cal State Northridge,2022-23,-3.94,-0.1730445831391771,3.7669554168608226,3.7669554168608226,14,10.4,2.2,2.7,0.4,8.461538461538462,10.384615384615383,1.5384615384615383,34.14,29.79,-4.350000000000001,F,82.0,240.0,Limited target-conference role,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/schools/indiana-state/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Messiah Thompson,Big West,Alabama A&M,SWAC,D1,Long Beach State,2023-24,-1.88,1.8452633023901324,3.725263302390133,3.725263302390133,32,26.8,10.8,2.0,3.2,16.119402985074625,2.9850746268656714,4.776119402985074,21.82,29.59,7.77,G,68.0,170.0,Limited target-conference role,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2024.html
