model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
rf_300_depth3_leaf5,ok,0.9764260456388957,1.193390940985108,-0.011255078052728074,0.09474035987967465,0.7599982497904055,0.9237918187470593,
lightgbm_more_regularized,ok,0.9807895632299841,1.2210294332153266,-0.058638069561931516,0.13380967039435437,0.5557211365528201,0.6985785781093917,
rf_500_depth4_leaf4,ok,0.9836474992458727,1.201161715841173,-0.02446754639861859,0.04816489340617531,0.7536276276607378,0.9158656395491116,
elastic_net,ok,0.9885994827420858,1.2149322949070733,-0.0480919728587188,0.05026899046819025,0.9019906446432798,1.0945147736661,
lightgbm_small_leaf,ok,0.9911246712939801,1.252908342595426,-0.11463799762938653,0.13008234450927966,0.33179397193642546,0.43068042493652264,
mean_baseline,baseline,0.9915229678976,1.206377916085959,-0.03338463212956144,-0.2436194924861726,0.9915229678976,1.206377916085959,predicts the training-set mean impact score for every row
extra_trees_500_leaf4,ok,0.9926263516877291,1.2109851009373058,-0.04129274306509134,-0.01220068326783455,0.8629720645385486,1.052962351318705,
gradient_boosting_shallow,ok,0.9992755864337316,1.2255627005520968,-0.06651338844516941,0.106328347554595,0.62356963764925,0.765262874851768,
hist_gradient_boosting_l2,ok,1.002828772575981,1.2445249813096118,-0.09977154583656844,0.14961112136053464,0.25788302343942615,0.3407322797363333,
ridge_alpha_10,ok,1.0089875176725427,1.2461531088313764,-0.102650940927564,0.12074109883458016,0.7688247604308095,0.9480922098519723,
ridge_alpha_1,ok,1.232249813798961,1.5141885330518887,-0.6280028009695051,0.03138532321198908,0.6746598424261173,0.8001030723808814,
