player_name,player_slug,source_school,source_level,destination_school,first_big_west_season,missing_source_stats,missing_outcome_stats,reason
Shakiru Odunewu,shakiru-odunewu,West Valley College,JUCO,Cal State Bakersfield,2024-25,TRUE,FALSE,missing_source_stats
Freddie Cooper,freddie-cooper,Moberly Area Community College,JUCO,Cal State Fullerton,2024-25,TRUE,FALSE,missing_source_stats
Yesan Warren,yesan-warren,Frank Phillips College,JUCO,Cal State Fullerton,2024-25,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Christian Richardson,christian-richardson,Butler Community College,JUCO,Long Beach State,2024-25,TRUE,FALSE,missing_source_stats
"Cory Curtis, Jr.",cory-curtis-jr,Independence Community College,JUCO,Long Beach State,2024-25,TRUE,FALSE,missing_source_stats
"Ramel Lloyd, Jr.",ramel-lloyd-jr,Nebraska,D1,Long Beach State,2024-25,TRUE,FALSE,missing_source_stats
Jamaal Unuakhalu,jamal-unuakhalu,Moorpark College,JUCO,UC Davis,2024-25,TRUE,FALSE,missing_source_stats
Parker Strauss,parker-strauss,Northwestern,D1,UC Riverside,2024-25,TRUE,FALSE,missing_source_stats
Jake Davis,jake-davis2,West Valley College,JUCO,Cal Poly,2025-26,TRUE,FALSE,missing_source_stats
Davis White,davis-white,College of the Sequoias,JUCO,Cal State Fullerton,2025-26,TRUE,FALSE,missing_source_stats
Davius Loury,davius-loury,John A. Logan College,JUCO,Cal State Northridge,2025-26,TRUE,FALSE,missing_source_stats
Jai Chisolm,jai-chisolm,University of South Carolina Salkehatchie,JUCO,Cal State Northridge,2025-26,TRUE,FALSE,missing_source_stats
"James Evans, Jr.",james-evans,UNLV,D1,Cal State Northridge,2025-26,TRUE,FALSE,missing_source_stats
Naceiar Kirksey,naceiar-kirksey,Monroe College,JUCO,Cal State Northridge,2025-26,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Quinton Webb,quinton-webb,New Mexico,D1,Cal State Northridge,2025-26,FALSE,TRUE,missing_big_west_outcome
Isaac Finlinson,isaac-finlinson,Snow College,JUCO,Hawaii,2025-26,TRUE,FALSE,missing_source_stats
Tanner Cuff,tanner-cuff,Evansville,D1,Hawaii,2025-26,FALSE,TRUE,missing_big_west_outcome
Christian Jones,christian-jones,Angelina College,JUCO,Long Beach State,2025-26,TRUE,FALSE,missing_source_stats
Grant Gondrezick II,grant-gondrezick,Detroit Mercy,D1,Long Beach State,2025-26,FALSE,TRUE,missing_big_west_outcome
Immanuel Lewis,immanuel-lewis,Atlantic Cape Community College,JUCO,Long Beach State,2025-26,TRUE,FALSE,missing_source_stats
J.J. Chaikovsky,jj-chaikovsky,Cal State Northridge,D1,Long Beach State,2025-26,TRUE,FALSE,missing_source_stats
"Cyril Franklin, Jr.",cyril-franklin,College of Southern Nevada,JUCO,UC Davis,2025-26,TRUE,FALSE,missing_source_stats
Jonathan Noudjihidi,jonathan-noudjihidi,Coahoma Community College,JUCO,UC Davis,2025-26,TRUE,FALSE,missing_source_stats
Ylan Esso-Essis,ylan-esso-essis,Modesto Junior College,JUCO,UC Davis,2025-26,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
E.J. Spillman,ej-spillman,College of the Sequoias,JUCO,UC Riverside,2025-26,TRUE,FALSE,missing_source_stats
Dimitrije Vukićević,dimitrije-vukievi,Washington State,D1,UC San Diego,2025-26,TRUE,FALSE,missing_source_stats
Trap Johnson,trap-johnson,Montana State,D1,UC San Diego,2025-26,TRUE,FALSE,missing_source_stats
Tyson Dunn,tyson-dunn,Buffalo,D1,UC San Diego,2025-26,FALSE,TRUE,missing_big_west_outcome
Hosana Kitenge,hosana-kitenge,Louisiana,D1,UC Santa Barbara,2025-26,TRUE,FALSE,missing_source_stats
Anthony Moore,anthony-moore3,Weber State,D1,Cal Poly,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
