target_conference,player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,position,height_in,weight_lbs,source_conf_power,source_conf_power_method,destination_conf_power,destination_conf_power_method,conf_power_delta,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_ts_pct,source_three_rate,source_ft_rate,source_per,source_usg_pct,source_ws,source_bpm,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_spg,big_west_bpg,big_west_topg,big_west_ts_pct,big_west_per,big_west_usg_pct,big_west_ws,big_west_ws_per_40,big_west_bpm,big_west_porpag,production_score,impact_score,outcome_tier,source_url,outcome_url,source_evanmiya_match_method,source_evanmiya_player_name,source_evanmiya_team,source_evanmiya_rank,source_evanmiya_obpr,source_evanmiya_dbpr,source_evanmiya_bpr,source_evanmiya_poss,source_evanmiya_box_obpr,source_evanmiya_box_dbpr,source_evanmiya_box_bpr,source_evanmiya_adj_team_off_eff,source_evanmiya_adj_team_def_eff,source_evanmiya_adj_team_eff_margin,source_evanmiya_plus_minus,target_evanmiya_match_method,target_evanmiya_player_name,target_evanmiya_team,target_evanmiya_rank,target_evanmiya_obpr,target_evanmiya_dbpr,target_evanmiya_bpr,target_evanmiya_poss,target_evanmiya_box_obpr,target_evanmiya_box_dbpr,target_evanmiya_box_bpr,target_evanmiya_adj_team_off_eff,target_evanmiya_adj_team_def_eff,target_evanmiya_adj_team_eff_margin,target_evanmiya_plus_minus,big_west_bpr,big_west_obpr,big_west_dbpr,big_west_bpr_poss
Big West,Owen Koonce,owen-koonce,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,2023-24,target_conference_common_box,G,77.0,195.0,14.68,exact,30.41,exact,15.73,34,24.558823529411764,0.6139705882352942,13.235294117647058,3.911764705882353,1.7647058823529411,1.1764705882352942,0.4705882352941176,1.9705882352941175,0.544,0.354,0.903,0.6270358306188925,,,,,,,,21.556886227544908,6.37125748502994,2.874251497005988,1.916167664670659,0.7664670658682635,3.2095808383233533,35,35,30.1,1053.5,0.7525000000000001,16.9,4.8,1.8,1.1,0.5,2.6,0.6419021573989667,19.8,24.9,3.6,0.135,2.0,,21.34,83.58283433133732,Target-conference impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/owen-koonce-1.html,not_d1,,,,,,,,,,,,,,,exact_name_team,Owen Koonce,Cal Poly,902.0,2.32,-0.3,2.02,1964.0,2.82,-0.06,2.76,109.2,105.9,3.3,4.0,2.02,2.32,-0.3,1964.0
Big West,Petar Majstorović,petar-majstorovi,Syracuse,syracuse,ACC,D1,Long Beach State,long-beach-state,2025-26,2024-25,target_conference_common_box,F,80.0,215.0,40.65,exact,29.37,exact,-11.279999999999998,31,13.3,0.3325,2.6,3.2,0.7,0.4,0.3,0.8,0.484,0.417,0.538,0.523,,,,,,,,7.819548872180451,9.62406015037594,2.1052631578947367,1.2030075187969924,0.9022556390977444,2.406015037593985,32,32,31.2,998.4,0.78,14.4,6.4,1.8,1.7,0.3,2.2,0.6081081081081081,19.0,22.6,3.2,0.13,2.0,,20.44,83.50299401197606,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,exact_name_team,Petar Majstorovic,Syracuse,1516.0,0.39,0.19,0.57,708.0,-0.6,0.58,-0.02,112.4,102.6,9.8,-26.0,exact_name_team,Petar Majstorovic,Long Beach State,796.0,1.62,0.9,2.52,1695.0,1.33,0.85,2.18,104.7,108.1,-3.4,-9.0,2.52,1.62,0.9,1695.0
Big West,Hayden Gray,hayden-gray,Azusa Pacific,azusa-pacific,PacWest,D2,UC San Diego,uc-san-diego,2023-24,2022-23,target_conference_common_box,G,76.0,185.0,13.16,exact,29.59,exact,16.43,30,26.833333333333332,0.6708333333333333,10.0,3.033333333333333,3.8,1.8333333333333333,0.3,1.5666666666666669,0.443,0.326,0.673,0.5018939393939394,,,,,,,,14.906832298136647,4.521739130434782,5.6645962732919255,2.732919254658385,0.4472049689440994,2.3354037267080745,33,33,32.7,1079.1,0.8175000000000001,9.0,4.2,3.8,1.7,0.5,1.7,0.5639097744360902,16.1,15.5,3.7,0.136,2.5,,15.29,84.00199600798402,Target-conference impact starter,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/hayden-gray-1.html,not_d1,,,,,,,,,,,,,,,exact_name_team,Hayden Gray,UC San Diego,843.0,1.99,0.19,2.18,1736.0,2.32,0.9,3.23,111.6,104.0,7.6,131.0,2.18,1.99,0.19,1736.0
Big West,Joshua Ward,joshua-ward,Palm Beach Atlantic,palm-beach-atlantic,SSC,D2,Cal State Fullerton,cal-state-fullerton,2025-26,2024-25,target_conference_common_box,G,73.0,175.0,14.22,exact,29.37,exact,15.15,29,32.13793103448276,0.803448275862069,14.96551724137931,5.0344827586206895,4.0344827586206895,1.7241379310344829,0.4827586206896552,2.3793103448275863,0.457,0.29,0.85,0.4957386363636363,,,,,,,,18.626609442060083,6.266094420600858,5.021459227467811,2.1459227467811153,0.6008583690987124,2.96137339055794,34,34,30.9,1050.6,0.7725,14.5,4.5,3.5,1.6,0.5,2.0,0.5620155038759691,17.1,22.8,3.2,0.121,2.1,,20.57,83.33832335329342,Target-conference impact starter,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,not_d1,,,,,,,,,,,,,,,exact_name_team,Josh Ward,Cal State Fullerton,1134.0,0.9,0.62,1.52,1900.0,1.6,1.08,2.68,102.4,108.0,-5.6,-50.0,1.52,0.9,0.62,1900.0
Big West,Tom Beattie,tom-beattie,Hawaii,hawaii,Big West,D1,UC San Diego,uc-san-diego,2025-26,2024-25,target_conference_common_box,G,77.0,195.0,30.41,exact,29.37,exact,-1.0399999999999991,31,26.1,0.6525000000000001,7.4,2.5,1.6,0.5,0.1,1.8,0.443,0.25,0.719,0.477,,,,,,,,11.340996168582375,3.8314176245210727,2.4521072796934864,0.7662835249042145,0.1532567049808429,2.758620689655172,34,34,31.2,1060.8,0.78,10.6,5.3,3.4,1.3,0.2,1.5,0.5488815244407623,15.4,18.0,3.5,0.131,2.8,,16.99,83.9620758483034,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,exact_name_team,Tom Beattie,Hawaii,2673.0,-1.16,-1.1,-2.26,1278.0,-1.58,-0.81,-2.38,102.3,105.5,-3.2,-71.0,exact_name_team,Tom Beattie,UC San Diego,1034.0,0.5,1.27,1.77,1780.0,2.05,0.31,2.36,100.9,99.0,2.0,91.0,1.77,0.5,1.27,1780.0
Big West,Justin McKoy,justin-mckoy,North Carolina,north-carolina,ACC,D1,Hawaii,hawaii,2023-24,2022-23,target_conference_common_box,F,80.0,220.0,39.87,exact,29.59,exact,-10.279999999999998,11,5.4,0.135,1.7,1.2,0.1,0.0,0.4,0.2,0.462,0.333,1.0,0.538,,,,,,,,12.592592592592592,8.888888888888888,0.7407407407407407,0.0,2.962962962962963,1.4814814814814814,34,34,31.0,1054.0,0.775,12.4,6.1,1.6,0.6,0.5,1.9,0.6195043964828139,17.2,20.5,4.0,0.15,2.0,,17.610000000000007,83.30838323353294,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,missing,,,,,,,,,,,,,,,exact_name_team,Justin McKoy,Hawaii,1119.0,1.6,-0.18,1.42,1688.0,1.43,-0.02,1.41,108.3,102.7,5.6,75.0,1.42,1.6,-0.18,1688.0
Big West,Aidan Mahaney,aidan-mahaney,Connecticut,connecticut,Big East,D1,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,target_conference_common_box,G,75.0,185.0,43.33,exact,29.37,exact,-13.959999999999996,34,12.4,0.31,4.5,0.8,1.3,0.2,0.0,0.6,0.377,0.359,0.758,0.46,,,,,,,,14.516129032258064,2.5806451612903225,4.193548387096774,0.6451612903225806,0.0,1.9354838709677415,32,32,33.6,1075.2,0.8400000000000001,14.9,1.9,2.7,0.8,0.1,1.3,0.5625188764723649,14.7,22.4,3.4,0.127,0.2,,18.1,80.13473053892216,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,exact_name_team,Aidan Mahaney,Connecticut,867.0,1.72,0.36,2.08,688.0,1.38,-0.7,0.68,116.7,94.7,22.0,94.0,exact_name_team,Aidan Mahaney,UC Santa Barbara,1370.0,1.93,-1.0,0.93,1760.0,2.58,-1.28,1.3,107.0,109.4,-2.5,57.0,0.93,1.93,-1.0,1760.0
Big West,Andrew Henderson,andrew-henderson,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,UC Riverside,uc-riverside,2025-26,2024-25,target_conference_common_box,G,77.0,210.0,13.01,exact,29.37,exact,16.36,35,33.8,0.845,17.257142857142856,6.8,1.5142857142857142,1.4285714285714286,0.8857142857142857,2.142857142857143,0.47,0.366,0.789,0.5328389830508474,,,,,,,,20.422654268808113,8.04733727810651,1.7920540997464076,1.69061707523246,1.0481825866441252,2.53592561284869,32,29,33.3,1065.6,0.8324999999999999,18.1,4.9,2.0,0.9,0.8,2.1,0.5311032863849766,16.6,28.5,2.4,0.091,0.6,,23.069999999999997,79.95508982035928,Target-conference starter/plus rotation,https://csusbathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html,not_d1,,,,,,,,,,,,,,,exact_name_team,Andrew Henderson,UC Riverside,1723.0,0.12,0.04,0.16,1792.0,0.83,0.77,1.61,97.2,111.6,-14.3,-224.0,0.16,0.12,0.04,1792.0
Big West,Isaac Jessup,isaac-jessup,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,2023-24,target_conference_common_box,G,74.0,194.0,14.68,exact,30.41,exact,15.73,34,24.941176470588236,0.6235294117647059,10.147058823529411,2.764705882352941,2.4411764705882355,1.088235294117647,0.1470588235294117,1.6176470588235294,0.415,0.37,0.963,0.5557491289198606,,,,,,,,16.27358490566038,4.433962264150944,3.915094339622642,1.7452830188679245,0.2358490566037736,2.594339622641509,31,31,30.6,948.6,0.765,11.7,3.5,2.6,1.5,0.1,1.3,0.6392045454545453,15.9,16.1,3.0,0.127,3.0,,16.44,81.56686626746506,Target-conference impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html,not_d1,,,,,,,,,,,,,,,exact_name_team,Isaac Jessup,Cal Poly,481.0,3.39,0.07,3.46,1780.0,3.5,-0.25,3.26,111.6,103.9,7.7,65.0,3.46,3.39,0.07,1780.0
Big West,Lassina Traoré,lassina-traor,Saint Louis,saint-louis,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,2021-22,target_conference_common_box,F,81.0,245.0,35.45,exact,29.79,exact,-5.660000000000004,19,7.8,0.195,2.4,2.9,0.3,0.3,0.2,0.9,0.606,0.0,0.75,0.606,,,,,,,,12.307692307692308,14.871794871794872,1.5384615384615383,1.5384615384615383,1.0256410256410258,4.615384615384616,33,33,28.1,927.3,0.7025,12.9,10.5,1.2,0.8,0.6,1.8,0.569385593220339,22.4,22.1,4.0,0.173,1.8,,21.17,80.28443113772455,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,missing,,,,,,,,,,,,,,,exact_name_team,Lassina Traore,Long Beach State,574.0,1.61,1.24,2.85,1598.0,1.98,0.92,2.9,106.5,97.4,9.1,106.0,2.85,1.61,1.24,1598.0
