first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,recommended_action
2023-24,Pepperdine,pepperdine,David Mager,david mager,SO,G,6-3,175,https://www.sports-reference.com/cbb/players/david-mager-1.html,data/cache/sports_reference_wcc_schools/pepperdine_2024.html,not_on_previous_roster,cached,2022-23,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Pepperdine,pepperdine,Michael Ajayi,michael ajayi,JR,G,6-7,220,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,data/cache/sports_reference_wcc_schools/pepperdine_2024.html,not_on_previous_roster,cached,2022-23,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2024-25,Pepperdine,pepperdine,Alex Leiba,alex leiba,SR,C,6-10,245,https://www.sports-reference.com/cbb/players/alex-leiba-1.html,data/cache/sports_reference_wcc_schools/pepperdine_2025.html,not_on_previous_roster,cached,2023-24,Did not play - non-major team,,D2,True,find_source_stats_or_review,possible_transfer,find source stats; include if D2 source stats available
2024-25,Pepperdine,pepperdine,Dovydas Butka,dovydas butka,SO,F,6-9,215,https://www.sports-reference.com/cbb/players/dovydas-butka-1.html,data/cache/sports_reference_wcc_schools/pepperdine_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,Pepperdine,pepperdine,Kyle Braun,kyle braun,JR,G,6-3,180,https://www.sports-reference.com/cbb/players/kyle-braun-1.html,data/cache/sports_reference_wcc_schools/pepperdine_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Portland,portland,Chris Austin,chris austin,SR,G,6-4,205,https://www.sports-reference.com/cbb/players/chris-austin-1.html,data/cache/sports_reference_wcc_schools/portland_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Portland,portland,Noah Jordan,noah jordan,SR,F,6-8,200,https://www.sports-reference.com/cbb/players/noah-jordan-1.html,data/cache/sports_reference_wcc_schools/portland_2024.html,not_on_previous_roster,cached,2022-23,Did not play - non-major team,,D2,True,find_source_stats_or_review,possible_transfer,find source stats; include if D2 source stats available
2023-24,Portland,portland,Thomas Oosterbroek,thomas oosterbroek,JR,F,6-7,235,https://www.sports-reference.com/cbb/players/thomas-oosterbroek-1.html,data/cache/sports_reference_wcc_schools/portland_2024.html,not_on_previous_roster,cached,2022-23,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Portland,portland,Vukasin Masic,vukasin masic,SR,G,6-5,195,https://www.sports-reference.com/cbb/players/vukasin-masic-1.html,data/cache/sports_reference_wcc_schools/portland_2024.html,not_on_previous_roster,cached,2022-23,Did not play - transfer,,,True,find_source_stats_or_review,possible_transfer,manual classification needed
2022-23,Saint Mary's,saint-marys-ca,Chris Howell,chris howell,FR,G,6-6,185,https://www.sports-reference.com/cbb/players/chris-howell-3.html,data/cache/sports_reference_wcc_schools/saint-marys-ca_2023.html,not_on_previous_roster,cached,2021-22,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
