status,player_name,destination_school,first_big_west_season,profile_url,cache_path,profile_team,dataset_games,parsed_games,games_match,dataset_mpg,parsed_mpg,mpg_match,dataset_ppg,parsed_ppg,ppg_match,dataset_rpg,parsed_rpg,rpg_match,dataset_apg,parsed_apg,apg_match,outcome_url,notes
ok,Isaiah Kerr,Hawaii,2025-26,https://www.sports-reference.com/cbb/players/isaiah-kerr-1.html,data/cache/sports_reference_d2_outcome_audit/isaiah-kerr-1.html,Hawaii,31,31.0,TRUE,20.6,20.6,TRUE,6.4,6.4,TRUE,2.4,2.4,TRUE,1.4,1.4,TRUE,https://www.sports-reference.com/cbb/players/isaiah-kerr-1.html,
ok,Mahmoud Fofana,Cal State Northridge,2023-24,https://www.sports-reference.com/cbb/players/mahmoud-fofana-1.html,data/cache/sports_reference_d2_outcome_audit/mahmoud-fofana-1.html,Cal St Northridge,31,31.0,TRUE,21.8,21.8,TRUE,5.1,5.1,TRUE,5.6,5.6,TRUE,0.7,0.7,TRUE,https://www.sports-reference.com/cbb/players/mahmoud-fofana-1.html,
ok,Zion Richardson,Cal State Fullerton,2024-25,https://www.sports-reference.com/cbb/players/zion-richardson-1.html,data/cache/sports_reference_d2_outcome_audit/zion-richardson-1.html,Cal St Fullerton,21,21.0,TRUE,18.1,18.1,TRUE,7.6,7.6,TRUE,3.3,3.3,TRUE,0.9,0.9,TRUE,https://www.sports-reference.com/cbb/players/zion-richardson-1.html,
ok,Jailen Daniel-Dalton,UC Riverside,2025-26,https://www.sports-reference.com/cbb/players/jailen-daniel-dalton-1.html,data/cache/sports_reference_d2_outcome_audit/jailen-daniel-dalton-1.html,UC Riverside,26,26.0,TRUE,23.2,23.2,TRUE,6.0,6.0,TRUE,4.0,4.0,TRUE,0.9,0.9,TRUE,https://www.sports-reference.com/cbb/players/jailen-daniel-dalton-1.html,
ok,Jaden Henderson,Cal State Fullerton,2025-26,https://www.sports-reference.com/cbb/players/jaden-henderson-1.html,data/cache/sports_reference_d2_outcome_audit/jaden-henderson-1.html,Cal St Fullerton,32,32.0,TRUE,17.8,17.8,TRUE,7.6,7.6,TRUE,2.5,2.5,TRUE,1.7,1.7,TRUE,https://www.sports-reference.com/cbb/players/jaden-henderson-1.html,
ok,Maximo Milovich,UC San Diego,2024-25,https://www.sports-reference.com/cbb/players/maximo-milovich-1.html,data/cache/sports_reference_d2_outcome_audit/maximo-milovich-1.html,UC San Diego,33,33.0,TRUE,13.3,13.3,TRUE,2.3,2.3,TRUE,2.8,2.8,TRUE,0.8,0.8,TRUE,https://www.sports-reference.com/cbb/players/maximo-milovich-1.html,
ok,Grady Lewis,Cal State Northridge,2024-25,https://www.sports-reference.com/cbb/players/grady-lewis-1.html,data/cache/sports_reference_d2_outcome_audit/grady-lewis-1.html,Cal St Northridge,33,33.0,TRUE,13.4,13.4,TRUE,6.2,6.2,TRUE,3.8,3.8,TRUE,0.5,0.5,TRUE,https://www.sports-reference.com/cbb/players/grady-lewis-1.html,
ok,Beril Kabamba,Cal State Fullerton,2023-24,https://www.sports-reference.com/cbb/players/beril-kabamba-1.html,data/cache/sports_reference_d2_outcome_audit/beril-kabamba-1.html,Cal St Fullerton,29,29.0,TRUE,17.1,17.1,TRUE,3.6,3.6,TRUE,3.5,3.5,TRUE,0.8,0.8,TRUE,https://www.sports-reference.com/cbb/players/beril-kabamba-1.html,
ok,Lathaniel Bastian,Cal State Fullerton,2022-23,https://www.sports-reference.com/cbb/players/lathaniel-bastian-1.html,data/cache/sports_reference_roster_diff_profiles/lathaniel-bastian-1.html,Cal St Fullerton,33,33.0,TRUE,9.6,9.6,TRUE,2.0,2.0,TRUE,2.6,2.6,TRUE,0.2,0.2,TRUE,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,
ok,Miloš Vićentić,UC San Diego,2024-25,https://www.sports-reference.com/cbb/players/milos-vicentic-1.html,data/cache/sports_reference_d2_outcome_audit/milos-vicentic-1.html,UC San Diego,1,1.0,TRUE,20.0,20.0,TRUE,3.0,3.0,TRUE,5.0,5.0,TRUE,0.0,0.0,TRUE,https://www.sports-reference.com/cbb/players/milos-vicentic-1.html,
ok,Kieran Elliott,Cal Poly,2024-25,https://www.sports-reference.com/cbb/players/kieran-elliott-1.html,data/cache/sports_reference_d2_outcome_audit/kieran-elliott-1.html,Cal Poly,11,11.0,TRUE,15.0,15.0,TRUE,5.4,5.4,TRUE,3.7,3.7,TRUE,0.5,0.5,TRUE,https://www.sports-reference.com/cbb/players/kieran-elliott-1.html,
ok,Jalen Cooper,Cal State Fullerton,2023-24,https://www.sports-reference.com/cbb/players/jalen-cooper-1.html,data/cache/sports_reference_d2_outcome_audit/jalen-cooper-1.html,Cal St Fullerton,20,20.0,TRUE,13.6,13.6,TRUE,3.4,3.4,TRUE,3.1,3.1,TRUE,0.6,0.6,TRUE,https://www.sports-reference.com/cbb/players/jalen-cooper-1.html,
ok,Ethan Menzies,Cal Poly,2024-25,https://www.sports-reference.com/cbb/players/ethan-menzies-1.html,data/cache/sports_reference_d2_outcome_audit/ethan-menzies-1.html,Cal Poly,26,26.0,TRUE,9.7,9.7,TRUE,2.4,2.4,TRUE,1.5,1.5,TRUE,0.7,0.7,TRUE,https://www.sports-reference.com/cbb/players/ethan-menzies-1.html,
ok,Sydney Shipp,Cal State Fullerton,2023-24,https://www.sports-reference.com/cbb/players/sydney-shipp-1.html,data/cache/sports_reference_roster_diff_profiles/sydney-shipp-1.html,Cal St Fullerton,2,2.0,TRUE,4.0,4.0,TRUE,0.0,0.0,TRUE,0.5,0.5,TRUE,1.0,1.0,TRUE,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,
ok,Chris Mitchell,UC Santa Barbara,2024-25,https://www.sports-reference.com/cbb/players/chris-mitchell-4.html,data/cache/sports_reference_roster_diff_profiles/chris-mitchell-4.html,UCSB,10,10.0,TRUE,8.5,8.5,TRUE,2.4,2.4,TRUE,1.7,1.7,TRUE,0.1,0.1,TRUE,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,
