model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
ridge_alpha_10,ok,19.498625648753553,24.01631092660854,0.08819076122012726,0.34790424780228,15.51816750804288,18.953683531869274,
elastic_net,ok,19.51243217860167,23.892149249226726,0.0975942969021164,0.3400642595104874,16.62407263847405,20.11794153943106,
lightgbm_small_leaf,ok,20.244820789229273,24.626907261897482,0.041237270357904476,0.2823131321418881,7.44803027765212,9.041476042664804,
hist_gradient_boosting_l2,ok,20.76255260631496,24.868112209592145,0.02236435010941651,0.27790634420278343,5.629211524668095,7.001332011863024,
lightgbm_more_regularized,ok,20.817610740860523,24.994135470461337,0.012430583371792037,0.22767353522595019,11.630321653116384,14.153494628008128,
gradient_boosting_shallow,ok,20.902411515273105,24.98829922117528,0.012891733819162754,0.21422044086876427,13.015246605228139,15.650981286666187,
rf_500_depth4_leaf4,ok,21.168630535426125,24.649251445561884,0.03949669539925671,0.20337667314339977,16.329285026346728,18.993653708020737,
rf_300_depth3_leaf5,ok,21.180357434472974,24.743679185864806,0.03212349929144365,0.19705825927950651,16.102370747455964,18.956936704971003,
ridge_alpha_1,ok,21.740388608390376,25.899927124695107,-0.06044580267621047,0.3312915041767228,13.476189783098143,16.441722165429624,
extra_trees_500_leaf4,ok,21.80956268751819,25.210995533261585,-0.004780930734564759,0.075933701007149,19.087760665627304,22.00776035425408,
mean_baseline,baseline,22.04568593935791,25.411098972634708,-0.020794423093565717,-0.19227028703741664,22.04568593935791,25.411098972634708,predicts the training-set mean impact score for every row
