first_wcc_season,destination_school,player_name,source_school_or_label,source_level,source_season,sports_reference_player_url,candidate_action,needed
2022-23,San Diego,Elliyas Delaire,Did not play - non-major team,D2,2021-22,https://www.sports-reference.com/cbb/players/elliyas-delaire-1.html,find_source_stats_or_review,find D2 prior team and source-season stats from school/VC/official pages
2023-24,San Diego,Emmanuel Callas,Did not play - dnp,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/emmanuel-callas-1.html,find_source_stats_or_review,exclude or check earlier playable season before adding
2023-24,San Diego,PJ Hayes,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/pj-hayes-1.html,find_source_stats_or_review,find D2 prior team and source-season stats from school/VC/official pages
2024-25,San Diego,Bendji Pierre,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/bendji-pierre-1.html,find_source_stats_or_review,exclude or check earlier playable season before adding
2024-25,San Diego,Kjay Bradley,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/kjay-bradley-jr-1.html,find_source_stats_or_review,find JUCO prior team and source-season stats from school/VC/official pages
2024-25,San Diego,Kody Clouet,Did not play - non-major team,D2,2023-24,https://www.sports-reference.com/cbb/players/kody-clouet-1.html,find_source_stats_or_review,find D2 prior team and source-season stats from school/VC/official pages
2024-25,San Diego,Neel Beniwal,Did not play - injury,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/neel-beniwal-1.html,find_source_stats_or_review,exclude or check earlier playable season before adding
2024-25,San Francisco,Drew Ardouin,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/drew-ardouin-1.html,find_source_stats_or_review,find JUCO prior team and source-season stats from school/VC/official pages
2024-25,San Francisco,Saba Gigiberia,Did not play - injury,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/saba-gigiberia-1.html,find_source_stats_or_review,exclude or check earlier playable season before adding
2023-24,Santa Clara,Brendan Yarusso,Did not play - dnp,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/brendan-yarusso-1.html,find_source_stats_or_review,exclude or check earlier playable season before adding
2023-24,Santa Clara,Jake Ensminger,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/jake-ensminger-1.html,find_source_stats_or_review,exclude or check earlier playable season before adding
2024-25,Santa Clara,Elijah Mahi,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/elijah-mahi-1.html,find_source_stats_or_review,find JUCO prior team and source-season stats from school/VC/official pages
