Team,Conference,season,missing_players,players
Northern State,Northern Sun Intercollegiate,2025-26,2,Braeden Vanbockern; Marley Baah-Yeboah
Northwest Missouri State,Mid-America Intercollegiate,2025-26,2,Gob Gob; Jack Webb
Ohio Dominican,Great Midwest Athletic,2025-26,2,Tony Ezeonu; Camden Cox
Oklahoma Christian,Lone Star,2025-26,2,Josh Aiken; Emmanuel Haba
Post,Central Athletic,2025-26,2,Brandon Beamon; Cayleb Walters
Roberts Wesleyan College,East Coast,2025-26,2,Hadi Ammar Alshami; Eli Tanner
Roosevelt,Great Lakes Intercollegiate,2025-26,2,"Chase, Ephraim; Gigo, Anderson"
Saint Anselm,Northeast 10,2025-26,2,Myles Kirby; Connor O'Rourke
Saint Michaels,Northeast 10,2025-26,2,Sebastian Andersson; Tay Dzingou
Shaw,Central Intercollegiate Athletic,2025-26,2,Isaac Tatum; Zailan Blue
Shippensburg,Pennsylvania State Athletic,2025-26,2,Parker Smith; Braelin Hardy
South Carolina Aiken,Peach Belt,2025-26,2,Johnniyus Sharpe; Chase Allen
Southern New Hampshire,Northeast 10,2025-26,2,Sam Guerrier; T.J. Berger
St Thomas Aquinas,East Coast,2025-26,2,Ky Panda-Massey; Elhadji Diop
Staten Island,East Coast,2025-26,2,Nowah Hargrow; Michael Oyekanmi
Sul Ross State,Lone Star,2025-26,2,Jackson Thoele; Donato Joseph
Texas AM Kingsville,Lone Star,2025-26,2,Frank Madubuko; Bryce Cook
Texas Permian Basin,Lone Star,2025-26,2,Kainan Thomas; Mouhamadou Cisse
Thomas More,Great Midwest Athletic,2025-26,2,Daviawne Crim; Will Frey
University of Charleston,Mountain East,2025-26,2,Rico Carr-Cole; Logan Phillips
Virginia State,Central Intercollegiate Athletic,2025-26,2,Jaedan Jefferson; John Uzochuwku
Washburn,Mid-America Intercollegiate,2025-26,2,Tyler Salmon; Tayvin Zephier-Murphy
Wayne State NEB,Northern Sun Intercollegiate,2025-26,2,Payson Nietert; Ahmad Artis
West Florida,Gulf South,2025-26,2,Hutson Rowe; Zac Clarke
West Virginia State,Mountain East,2025-26,2,Tyree Davis; Alaja Sanni
Alaska Fairbanks,Great Northwest,2025-26,1,"McCullough, Jett"
Albany State GA,Southern Intercollegiate Athletic,2025-26,1,Bailo Diallo
Arkansas-Monticello,Great American,2025-26,1,"Webb, Tyler"
Augustana College,Northern Sun Intercollegiate,2025-26,1,Hayden Brown
Bentley,Northeast 10,2025-26,1,Andrew Hill
Bowie State,Central Intercollegiate Athletic,2025-26,1,Justin Morrisey
California PA,Pennsylvania State Athletic,2025-26,1,Creston Austin III
Cameron,Lone Star,2025-26,1,Kelen Smith
Clark Atlanta,Southern Intercollegiate Athletic,2025-26,1,Elijah Hargrove
Concord,Mountain East,2025-26,1,John Rose III
Converse,Conference Carolinas,2025-26,1,Zayd Taylor
Dallas Baptist,Lone Star,2025-26,1,Isaiah Dozier
Delta State,Gulf South,2025-26,1,Kolby Horace
District of Columbia,East Coast,2025-26,1,Jalen Bradberry
East Central,Great American,2025-26,1,"Miller, Jaden"
Emporia State,Mid-America Intercollegiate,2025-26,1,Elijah Wilhelm
Flagler,Peach Belt,2025-26,1,M.J. Meurer
Georgia Southwestern State,Peach Belt,2025-26,1,Alaunzo Doctrine
Glenville State,Mountain East,2025-26,1,Julian Kelly
Goldey Beacom,Central Athletic,2025-26,1,Darius Sherman
Illinois Springfield,Great Lakes Valley,2025-26,1,"Olivier, Dezmund"
Indianapolis,Great Lakes Valley,2025-26,1,"Busick, Drew"
Jessup,PacWest,2025-26,1,"Onuaguluchi, Kenechi"
Kentucky State,Southern Intercollegiate Athletic,2025-26,1,Deavion Scales
Kutztown,Pennsylvania State Athletic,2025-26,1,Kameron Roberts
Lane,Southern Intercollegiate Athletic,2025-26,1,Naby Diaw Ngom
Lenoir Rhyne,South Atlantic,2025-26,1,Rogelio Rivera
Malone,Great Midwest Athletic,2025-26,1,DeLan Davis
Mercy College,East Coast,2025-26,1,Derek Long
Minnesota Crookston,Northern Sun Intercollegiate,2025-26,1,Chandler Meeks
Minnesota State  Moorhead,Northern Sun Intercollegiate,2025-26,1,Nic Smith
Minnesota State Mankato,Northern Sun Intercollegiate,2025-26,1,Ganden Gosch
Mount Olive,Conference Carolinas,2025-26,1,Kobe Jones
Ouachita Baptist,Great American,2025-26,1,"Johnson Jr. , Andre"
Pace,Northeast 10,2025-26,1,Promise Opurum
Point Loma,PacWest,2025-26,1,"Moore, Bobby"
Rogers State,Mid-America Intercollegiate,2025-26,1,Bromo Dorn
Shepherd University,Pennsylvania State Athletic,2025-26,1,Asher Rudolph
Shorter,Conference Carolinas,2025-26,1,Cal Rich
Slippery Rock,Pennsylvania State Athletic,2025-26,1,Maceo Austin
Southern Connecticut State,Northeast 10,2025-26,1,Rob Taylor II
Southwestern Oklahoma State,Great American,2025-26,1,"Harris, Landon"
St Cloud State,Northern Sun Intercollegiate,2025-26,1,Treshawn Blissett
St Marys TX,Lone Star,2025-26,1,Enrique Cardnes
Texas Dallas,Lone Star,2025-26,1,Jaden Jefferson
Trevecca Nazarene,Gulf South,2025-26,1,Cade Capps
Tusculum,South Atlantic,2025-26,1,Lorenzo Sedita
Union TN,Gulf South,2025-26,1,Ty Clark
Virginia Union,Central Intercollegiate Athletic,2025-26,1,Jaron Walker
West Alabama,Gulf South,2025-26,1,Tyrese Elliott
West Liberty,Mountain East,2025-26,1,Max Butler
