target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
WCC,Tredyn Christensen,tredyn christensen,Chaminade,PacWest,D2,BYU,2022-23,2021-22,G,6-7,235,26,22.5,0.5625,5.576923076923077,4.230769230769231,2.3076923076923075,0.8461538461538461,0.34615384615384615,2.076923076923077,0.481,0.222,0.52,0.49624060150375937,9.914529914529915,7.521367521367521,4.102564102564102,1.5042735042735043,0.6153846153846154,3.6923076923076925,9,0,4.0,36.0,0.1,1.2,1.1,0.2,0.0,0.0,0.3,0.5703422053231939,10.9,16.7,0.1,0.107,2.5,https://goswords.com/sports/mens-basketball/stats/2021-22,https://www.sports-reference.com/cbb/players/tredyn-christensen-1.html
WCC,Alex Leiba,alex leiba,Penn State Harrisburg,United East,D2,Pepperdine,2024-25,2023-24,C,6-10,245,30,21.8,0.545,8.566666666666666,6.033333333333333,0.9666666666666667,0.4,1.4666666666666666,1.0333333333333334,0.607,0.0,0.582,0.6071428571428571,15.718654434250762,11.070336391437309,1.7737003058103973,0.7339449541284403,2.691131498470948,1.8960244648318043,18,1,4.1,73.8,0.1025,0.8,0.7,0.1,0.2,0.1,0.2,0.546448087431694,7.5,11.5,0.1,0.052,-9.0,https://psuharrisburgsports.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/alex-leiba-1.html
WCC,Noah Jordan,noah jordan,West Virginia State,Mountain East,D2,Portland,2023-24,2022-23,F,6-8,200,24,25.416666666666668,0.6354166666666667,11.5,6.0,1.0416666666666667,0.75,0.8333333333333334,2.0416666666666665,0.48,0.347,0.518,0.5588235294117647,18.098360655737704,9.442622950819672,1.639344262295082,1.180327868852459,1.3114754098360657,3.2131147540983602,12,0,13.4,160.8,0.335,3.3,3.6,0.8,0.5,0.5,0.7,0.4141566265060241,10.6,18.1,0.1,0.028,-7.3,https://wvsuyellowjackets.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/noah-jordan-1.html
WCC,Elliyas Delaire,elliyas delaire,Lewis & Clark,Northwest,D2,San Diego,2022-23,2021-22,G,6-2,175,9,7.888888888888889,0.19722222222222224,1.4444444444444444,1.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.308,0.25,0.571,0.34615384615384615,7.323943661971831,5.070422535211267,1.6901408450704223,1.6901408450704223,0.5633802816901409,0.5633802816901409,3,0,4.7,14.100000000000001,0.11750000000000001,0.7,1.0,1.3,0.3,0.0,0.3,0.2751572327044025,12.1,17.4,0.0,-0.018,-8.5,https://lcpioneers.com/sports/mens-basketball/stats/2021-22,https://www.sports-reference.com/cbb/players/elliyas-delaire-1.html
WCC,PJ Hayes,pj hayes,Black Hills State,RMAC,D2,San Diego,2023-24,2022-23,F,6-6,215,32,26.0625,0.6515625,10.90625,4.8125,1.28125,0.46875,0.34375,0.96875,0.506,0.45,0.786,0.6728395061728395,16.73860911270983,7.386091127098322,1.9664268585131894,0.7194244604316546,0.5275779376498801,1.486810551558753,32,32,25.8,825.6,0.645,10.5,3.1,1.1,0.7,0.2,0.8,0.6087662337662337,15.4,17.9,2.4,0.117,1.1,https://bhsuathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/pj-hayes-1.html
WCC,Kody Clouet,kody clouet,Southeastern Oklahoma State,GAC,D2,San Diego,2024-25,2023-24,G,6-5,210,32,35.5,0.8875,17.6875,5.1875,2.0625,1.5,0.4375,1.25,0.503,0.429,0.806,0.6181318681318682,19.929577464788732,5.845070422535211,2.323943661971831,1.6901408450704225,0.49295774647887325,1.408450704225352,29,14,23.3,675.7,0.5825,8.9,2.7,1.0,1.0,0.3,0.9,0.499326750448833,12.1,20.4,1.1,0.063,-1.3,https://gosoutheastern.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/kody-clouet-1.html
