target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Atlantic 10,2024-25,Dayton,dayton,Jacob Conner,jacob conner,JR,F,6-8,190,https://www.sports-reference.com/cbb/players/jacob-conner-1.html,data/cache/sports_reference_a10_schools/dayton_2025.html,not_on_previous_roster,cached,2023-24,Marshall,Sun Belt,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Dayton,dayton,Jaiun Simon,jaiun simon,SO,F,6-6,220,https://www.sports-reference.com/cbb/players/jaiun-simon-1.html,data/cache/sports_reference_a10_schools/dayton_2025.html,not_on_previous_roster,cached,2023-24,Did not play - redshirt,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Atlantic 10,2024-25,Dayton,dayton,Posh Alexander,posh alexander,SR,G,6-0,205,https://www.sports-reference.com/cbb/players/posh-alexander-1.html,data/cache/sports_reference_a10_schools/dayton_2025.html,not_on_previous_roster,cached,2023-24,Butler,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Dayton,dayton,Zed Key,zed key,SR,F,6-8,245,https://www.sports-reference.com/cbb/players/zed-key-1.html,data/cache/sports_reference_a10_schools/dayton_2025.html,not_on_previous_roster,cached,2023-24,Ohio State,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Dayton,dayton,Adam Njie Jr.,adam njie,FR,G,6-3,175,https://www.sports-reference.com/cbb/players/adam-njie-jr-1.html,data/cache/sports_reference_a10_schools/dayton_2026.html,not_on_previous_roster,cached,2024-25,Iona,MAAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Dayton,dayton,Bryce Heard,bryce heard,SO,G,6-5,170,https://www.sports-reference.com/cbb/players/bryce-heard-1.html,data/cache/sports_reference_a10_schools/dayton_2026.html,not_on_previous_roster,cached,2024-25,NC State,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Dayton,dayton,De'Shayne Montgomery,de shayne montgomery,JR,G,6-4,190,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html,data/cache/sports_reference_a10_schools/dayton_2026.html,not_on_previous_roster,cached,2024-25,Georgia,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Dayton,dayton,Jordan Derkack,jordan derkack,SR,G,6-5,205,https://www.sports-reference.com/cbb/players/jordan-derkack-1.html,data/cache/sports_reference_a10_schools/dayton_2026.html,not_on_previous_roster,cached,2024-25,Rutgers,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Dayton,dayton,Keonte Jones,keonte jones,SR,F,6-6,175,https://www.sports-reference.com/cbb/players/keonte-jones-1.html,data/cache/sports_reference_a10_schools/dayton_2026.html,not_on_previous_roster,cached,2024-25,Cal State Northridge,Big West,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Duquesne,duquesne,Dae Dae Grant,dae dae grant,SR,G,6-2,180,https://www.sports-reference.com/cbb/players/daedae-grant-1.html,data/cache/sports_reference_a10_schools/duquesne_2023.html,not_on_previous_roster,cached,2021-22,Miami (OH),MAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Duquesne,duquesne,Jimmy Clark,jimmy clark,JR,G,6-3,175,https://www.sports-reference.com/cbb/players/jimmy-clarkiii-1.html,data/cache/sports_reference_a10_schools/duquesne_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
Atlantic 10,2022-23,Duquesne,duquesne,Joseph Reece,joseph reece,SR,F,6-8,200,https://www.sports-reference.com/cbb/players/joseph-reece-1.html,data/cache/sports_reference_a10_schools/duquesne_2023.html,not_on_previous_roster,cached,2021-22,Bowling Green,MAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Duquesne,duquesne,Quincy McGriff,quincy mcgriff,SO,G,6-6,200,https://www.sports-reference.com/cbb/players/quincy-mcgriff-1.html,data/cache/sports_reference_a10_schools/duquesne_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
Atlantic 10,2022-23,Duquesne,duquesne,Tevin Brewer,tevin brewer,SR,G,5-8,160,https://www.sports-reference.com/cbb/players/tevin-brewer-1.html,data/cache/sports_reference_a10_schools/duquesne_2023.html,not_on_previous_roster,cached,2021-22,Florida International,CUSA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Duquesne,duquesne,Andrei Savrasov,andrei savrasov,SR,F,6-7,225,https://www.sports-reference.com/cbb/players/andrei-savrasov-1.html,data/cache/sports_reference_a10_schools/duquesne_2024.html,not_on_previous_roster,cached,2022-23,Georgia Southern,Sun Belt,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Duquesne,duquesne,Dusan Mahorcic,dusan mahorcic,SR,F,6-10,230,https://www.sports-reference.com/cbb/players/dusan-mahorcic-1.html,data/cache/sports_reference_a10_schools/duquesne_2024.html,not_on_previous_roster,cached,2022-23,NC State,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Duquesne,duquesne,Fousseyni Drame,fousseyni drame,SR,F,6-7,192,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html,data/cache/sports_reference_a10_schools/duquesne_2024.html,not_on_previous_roster,cached,2022-23,La Salle,A-10,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Duquesne,duquesne,Hassan Drame,hassan drame,SR,F,6-7,190,https://www.sports-reference.com/cbb/players/hassan-drame-1.html,data/cache/sports_reference_a10_schools/duquesne_2024.html,not_on_previous_roster,cached,2022-23,La Salle,A-10,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Duquesne,duquesne,Cameron Crawford,cameron crawford,JR,G,6-5,175,https://www.sports-reference.com/cbb/players/cameron-crawford-2.html,data/cache/sports_reference_a10_schools/duquesne_2025.html,not_on_previous_roster,cached,2023-24,Marshall,Sun Belt,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Duquesne,duquesne,Eli Wilborn,eli wilborn,SO,F,6-8,215,https://www.sports-reference.com/cbb/players/eli-wilborn-1.html,data/cache/sports_reference_a10_schools/duquesne_2025.html,not_on_previous_roster,cached,2023-24,Saint Francis (PA),NEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Duquesne,duquesne,Jahsean Corbett,jahsean corbett,JR,G,6-6,195,https://www.sports-reference.com/cbb/players/jahsean-corbett-1.html,data/cache/sports_reference_a10_schools/duquesne_2025.html,not_on_previous_roster,cached,2023-24,Chicago State,Ind,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Duquesne,duquesne,Lucas Prolla,lucas prolla,SO,G,6-2,170,https://www.sports-reference.com/cbb/players/lucas-prolla-1.html,data/cache/sports_reference_a10_schools/duquesne_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
Atlantic 10,2024-25,Duquesne,duquesne,Maximus Edwards,maximus edwards,SO,G,6-5,215,https://www.sports-reference.com/cbb/players/maximus-edwards-2.html,data/cache/sports_reference_a10_schools/duquesne_2025.html,not_on_previous_roster,cached,2023-24,George Washington,A-10,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Duquesne,duquesne,Tre Dinkins,tre dinkins,SR,G,6-2,190,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html,data/cache/sports_reference_a10_schools/duquesne_2025.html,not_on_previous_roster,cached,2023-24,Canisius,MAAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Duquesne,duquesne,Alex Williams,alex williams,SR,F,6-5,205,https://www.sports-reference.com/cbb/players/alex-williams-3.html,data/cache/sports_reference_a10_schools/duquesne_2026.html,not_on_previous_roster,cached,2023-24,Furman,Southern,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Duquesne,duquesne,Jimmie Williams,jimmie williams,JR,G,6-5,210,https://www.sports-reference.com/cbb/players/jimmie-williams-1.html,data/cache/sports_reference_a10_schools/duquesne_2026.html,not_on_previous_roster,cached,2024-25,South Florida,AAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Duquesne,duquesne,John Hugley,john hugley,SR,F,6-9,240,https://www.sports-reference.com/cbb/players/john-hugley-1.html,data/cache/sports_reference_a10_schools/duquesne_2026.html,not_on_previous_roster,cached,2024-25,Xavier,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Duquesne,duquesne,Stef van Bussel,stef van bussel,JR,C,6-10,255,https://www.sports-reference.com/cbb/players/stef-van-bussel-1.html,data/cache/sports_reference_a10_schools/duquesne_2026.html,not_on_previous_roster,cached,2023-24,Saint Louis,A-10,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Duquesne,duquesne,Tarence Guinyard,tarence guinyard,SR,G,6-2,170,https://www.sports-reference.com/cbb/players/tarence-guinyard-1.html,data/cache/sports_reference_a10_schools/duquesne_2026.html,not_on_previous_roster,cached,2024-25,UT Martin,OVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Fordham,fordham,Khalid Moore,khalid moore,SR,F,6-7,200,https://www.sports-reference.com/cbb/players/khalid-moore-1.html,data/cache/sports_reference_a10_schools/fordham_2023.html,not_on_previous_roster,cached,2021-22,Georgia Tech,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Fordham,fordham,Jackie Johnson,jackie johnson,SR,G,5-11,185,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html,data/cache/sports_reference_a10_schools/fordham_2025.html,not_on_previous_roster,cached,2023-24,UNLV,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Fordham,fordham,Akira Jacobs,akira jacobs,JR,F,6-9,205,https://www.sports-reference.com/cbb/players/akira-jacobs-1.html,data/cache/sports_reference_a10_schools/fordham_2026.html,not_on_previous_roster,cached,2024-25,Hawaii,Big West,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Fordham,fordham,Jack Whitbourn,jack whitbourn,SO,C,6-10,250,https://www.sports-reference.com/cbb/players/jack-whitbourn-1.html,data/cache/sports_reference_a10_schools/fordham_2026.html,not_on_previous_roster,cached,2024-25,UC Riverside,Big West,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
