model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
ridge_alpha_10,ok,19.149763041024617,23.54351362572237,0.12373806173337365,0.3784363262576523,15.535622058472146,18.989430069806968,
elastic_net,ok,19.23869567289244,23.491731009234627,0.1275883991638751,0.36925673310809637,16.65235090483769,20.155851546692876,
lightgbm_small_leaf,ok,20.344898178210986,24.714890317822054,0.03437440619627974,0.2737052341164398,7.5075640499033245,9.317044698268145,
hist_gradient_boosting_l2,ok,20.370477827962663,24.61336366464744,0.042291525814825426,0.3004253070479188,5.775147103293441,7.338921945293093,
lightgbm_more_regularized,ok,20.69916089603576,24.786300927870887,0.02878623391449353,0.24317251585274313,11.694886644987614,14.295057444781449,
ridge_alpha_1,ok,20.699811777299594,24.569396759030575,0.045709983391435616,0.39044551146129075,13.457019380010165,16.473746799809053,
gradient_boosting_shallow,ok,20.743298585238634,24.687941569590013,0.036479065651382925,0.24481737349323446,12.856330911784509,15.538502783802498,
rf_300_depth3_leaf5,ok,21.092437959094173,24.631182654932008,0.04090434643312979,0.21289382333917511,16.254308860266466,19.03223866435266,
rf_500_depth4_leaf4,ok,21.333449771626416,24.72402564540354,0.033660428807747,0.192173518266541,16.50119131806581,19.170166218410476,
extra_trees_500_leaf4,ok,21.789151077107572,25.1636283171223,-0.0010088492073410116,0.08828224448551045,19.171042901122973,22.060092921242035,
mean_baseline,baseline,22.04568593935791,25.411098972634708,-0.020794423093565717,-0.19227028703741664,22.04568593935791,25.411098972634708,predicts the training-set mean impact score for every row
