target_conference,first_target_season,destination_school,player_name,sports_reference_player_url,reason
Missouri Valley,2023-24,UIC,Isaiah Rivera,https://www.sports-reference.com/cbb/players/isaiah-rivera-1.html,target_outcome_row_not_found_on_profile
Missouri Valley,2024-25,UIC,Javon Jackson,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,target_outcome_row_not_found_on_profile
Missouri Valley,2024-25,UIC,Modestas Kancleris,https://www.sports-reference.com/cbb/players/modestas-kancleris-1.html,target_outcome_row_not_found_on_profile
Missouri Valley,2025-26,Murray State,Ben Shtolzberg,https://www.sports-reference.com/cbb/players/ben-shtolzberg-1.html,target_outcome_row_not_found_on_profile
