Player Name,Team,Conference,Position,Height,Year,Season,first_d1_season,d1_school,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,source_url
Kieran Elliott,West Texas A&M,LSC,F,79,So.,2023-24,2024-25,Cal Poly,35,825,23.571428571428573,158,266,0.594,11,28,0.393,108,142,0.761,435,12.428571428571429,98,138,236,6.742857142857143,101,25,46,17,9,0.7142857142857143,0.4857142857142857,3.942857142857143,2.8,0.2571428571428571,1.3142857142857143,0.6146616541353384,0.10526315789473684,0.5434782608695652,0.5338345864661654,0.6621407696054554,0.45391515151515155,21.09090909090909,11.442424242424243,1.2121212121212122,0.8242424242424242,0.43636363636363634,2.2303030303030305,https://gobuffsgo.com/sports/mens-basketball/stats/2023-24
Ethan Menzies,Colorado Mesa,RMAC,F,79,Sr.,2023-24,2024-25,Cal Poly,19,191,10.052631578947368,27,37,0.73,5,10,0.5,5,10,0.5,64,3.3684210526315788,7,32,39,2.0526315789473686,28,29,14,5,8,1.5263157894736843,0.2631578947368421,1.6842105263157894,0.3684210526315789,0.42105263157894735,0.7368421052631579,0.7972972972972973,0.2702702702702703,2.0714285714285716,0.2702702702702703,0.7729468599033816,0.2900523560209424,13.403141361256544,8.167539267015707,6.0732984293193715,1.0471204188481675,1.675392670157068,2.931937172774869,https://cmumavericks.com/sports/mens-basketball/stats/2023-24
Owen Koonce,Colorado Mesa,RMAC,G,77,Sr.,2023-24,2024-25,Cal Poly,34,835,24.558823529411764,167,307,0.544,51,144,0.354,65,72,0.903,450,13.235294117647058,42,91,133,3.911764705882353,72,60,67,40,16,1.7647058823529411,1.1764705882352942,2.676470588235294,1.2352941176470589,0.47058823529411764,1.9705882352941178,0.6270358306188925,0.46905537459283386,0.8955223880597015,0.23452768729641693,0.66434392346758,0.48584431137724554,21.55688622754491,6.37125748502994,2.874251497005988,1.9161676646706587,0.7664670658682635,3.2095808383233533,https://cmumavericks.com/sports/mens-basketball/stats/2023-24
Isaac Jessup,Colorado Mesa,RMAC,G,74,Sr.,2023-24,2024-25,Cal Poly,34,848,24.941176470588236,119,287,0.415,81,219,0.37,26,27,0.963,345,10.147058823529411,40,54,94,2.764705882352941,95,83,55,37,5,2.4411764705882355,1.088235294117647,1.588235294117647,1.1764705882352942,0.14705882352941177,1.6176470588235294,0.5557491289198606,0.7630662020905923,1.509090909090909,0.09407665505226481,0.5771547109207709,0.417311320754717,16.27358490566038,4.433962264150943,3.9150943396226414,1.7452830188679245,0.2358490566037736,2.5943396226415096,https://cmumavericks.com/sports/mens-basketball/stats/2023-24
Mac Riniker,Colorado Mesa,RMAC,G,77,Sr.,2023-24,2024-25,Cal Poly,22,550,25.0,111,174,0.638,25,58,0.431,66,94,0.702,313,14.227272727272727,33,81,114,5.181818181818182,68,53,64,45,22,2.409090909090909,2.0454545454545454,3.6818181818181817,1.5,1.0,2.909090909090909,0.7097701149425287,0.3333333333333333,0.828125,0.5402298850574713,0.7266901931649331,0.5079272727272728,22.763636363636362,8.290909090909091,3.8545454545454545,3.272727272727273,1.6,4.654545454545454,https://cmumavericks.com/sports/mens-basketball/stats/2023-24
Max Jones,Tampa,SSC,G,77,Sr.,2021-22,2022-23,Cal State Fullerton,21,694,33.04761904761905,150,337,0.445,38,117,0.325,122,143,0.853,460,21.904761904761905,29,65,94,4.476190476190476,38,57,48,25,8,2.7142857142857144,1.1904761904761905,3.0952380952380953,1.380952380952381,0.38095238095238093,2.2857142857142856,0.5014836795252225,0.34718100890207715,1.1875,0.42433234421364985,0.5751150230046009,0.6454178674351585,26.512968299711815,5.417867435158501,3.2853025936599423,1.440922190201729,0.4610951008645533,2.76657060518732,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career
Beril Kabamba,Spring Hill,SIAC,G,78,Jr.,2022-23,2023-24,Cal State Fullerton,25,870,34.8,150,357,0.42,31,106,0.292,133,160,0.831,464,18.56,33,184,217,8.68,70,50,67,33,11,2.0,1.32,7.36,1.32,0.44,2.68,0.4635854341736695,0.2969187675070028,0.746268656716418,0.4481792717086835,0.542817033224146,0.5682758620689655,21.333333333333332,9.977011494252874,2.2988505747126435,1.5172413793103448,0.5057471264367817,3.0804597701149423,https://shcbadgers.com/sports/mens-basketball/stats/2022-23
Jalen Cooper,Palm Beach Atlantic,SSC,W,78,Jr.,2022-23,2023-24,Cal State Fullerton,27,850,31.48148148148148,167,323,0.517,21,49,0.429,114,154,0.74,469,17.37037037037037,45,189,234,8.666666666666666,69,51,70,34,37,1.8888888888888888,1.2592592592592593,7.0,1.6666666666666667,1.3703703703703705,2.5925925925925926,0.5495356037151703,0.15170278637770898,0.7285714285714285,0.47678018575851394,0.600112601085065,0.5420705882352941,22.070588235294117,11.011764705882353,2.4,1.6,1.7411764705882353,3.2941176470588234,https://pbasailfish.com/sports/mens-basketball/stats/2022-23
Zion Richardson,Quincy,GLVC,G,76,Sr.,2023-24,2024-25,Cal State Fullerton,26,837,32.19230769230769,155,361,0.429,42,125,0.336,108,128,0.844,460,17.692307692307693,40,147,187,7.1923076923076925,39,47,46,31,5,1.8076923076923077,1.1923076923076923,5.653846153846154,1.5384615384615385,0.19230769230769232,1.7692307692307692,0.48753462603878117,0.3462603878116344,1.0217391304347827,0.3545706371191136,0.5511358190357519,0.5535483870967742,21.983273596176822,8.93667861409797,2.2461170848267624,1.4814814814814814,0.23894862604540024,2.198327359617682,https://quhawks.com/sports/mens-basketball/stats/2023-24
Landon Seaman,Menlo,PacWest,F,81,Sr.,2024-25,2025-26,Cal State Fullerton,26,861,33.11538461538461,202,378,0.534,0,1,0.0,111,149,0.745,515,19.807692307692307,67,119,186,7.153846153846154,63,52,81,34,22,2.0,1.3076923076923077,4.576923076923077,2.576923076923077,0.8461538461538461,3.1153846153846154,0.5343915343915344,0.0026455026455026454,0.6419753086419753,0.3941798941798942,0.5805302552078636,0.6092450638792102,23.925667828106853,8.641114982578397,2.415795586527294,1.5795586527293843,1.0220673635307782,3.7630662020905925,https://menloathletics.com/sports/mens-basketball/stats/2024-25
Jaden Henderson,Concordia Irvine,PacWest,G,75,Sr.,2024-25,2025-26,Cal State Fullerton,28,902,32.214285714285715,173,360,0.481,29,90,0.322,72,84,0.857,447,15.964285714285714,31,86,117,4.178571428571429,46,67,72,37,4,2.392857142857143,1.3214285714285714,3.0714285714285716,1.1071428571428572,0.14285714285714285,2.5714285714285716,0.5208333333333334,0.25,0.9305555555555556,0.23333333333333334,0.5630290205562274,0.5199113082039911,19.822616407982263,5.188470066518847,2.9711751662971175,1.6407982261640799,0.17738359201773837,3.1929046563192904,https://cuigoldeneagles.com/sports/mens-basketball/stats/2024-25
Joshua Ward,Palm Beach Atlantic,SSC,G,73,Sr.,2024-25,2025-26,Cal State Fullerton,29,932,32.13793103448276,161,352,0.457,27,93,0.29,85,100,0.85,434,14.96551724137931,23,123,146,5.0344827586206895,66,117,69,50,14,4.0344827586206895,1.7241379310344827,4.241379310344827,0.7931034482758621,0.4827586206896552,2.3793103448275863,0.49573863636363635,0.26420454545454547,1.6956521739130435,0.2840909090909091,0.547979797979798,0.4989270386266094,18.626609442060087,6.266094420600858,5.021459227467811,2.1459227467811157,0.6008583690987125,2.96137339055794,https://pbasailfish.com/sports/mens-basketball/stats/2024-25
