player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,position,height_in,weight_lbs,source_conf_power,destination_conf_power,conf_power_delta,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_ts_pct,source_three_rate,source_ft_rate,source_per,source_usg_pct,source_ws,source_bpm,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_spg,big_west_bpg,big_west_topg,big_west_ts_pct,big_west_per,big_west_usg_pct,big_west_ws,big_west_ws_per_40,big_west_bpm,big_west_porpag,production_score,impact_score,outcome_tier,source_url,outcome_url
Owen Koonce,owen-koonce,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,2023-24,phase1_school_stats,G,77.0,195.0,14.68,30.41,15.73,34,24.558823529411764,0.6139705882352942,13.235294117647058,3.911764705882353,1.7647058823529411,1.1764705882352942,0.47058823529411764,1.9705882352941178,0.544,0.354,0.903,0.6270358306188925,0.66434392346758,0.46905537459283386,0.23452768729641693,,,,,21.556886227544908,6.37125748502994,2.874251497005988,1.916167664670659,0.7664670658682635,3.2095808383233533,35,35,30.1,1053.5,0.7525000000000001,16.9,4.8,1.8,1.1,0.5,2.6,0.6419021573989667,19.8,24.9,3.6,0.135,2.0,3.24076,21.34,87.08333333333331,Big West impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/owen-koonce-1.html
Petar Majstorović,petar-majstorovi,Syracuse,syracuse,ACC,D1,Long Beach State,long-beach-state,2025-26,2024-25,sports_reference_source_school_cache,F,80.0,215.0,40.65,29.37,-11.279999999999998,31,13.3,0.3325,2.6,3.2,0.7,0.4,0.3,0.8,0.484,0.417,0.538,0.523,0.5301794453507341,0.19047619047619047,0.38095238095238093,10.8,12.4,0.7,0.1,7.819548872180451,9.62406015037594,2.1052631578947367,1.2030075187969924,0.9022556390977443,2.406015037593985,32,32,31.2,998.4,0.78,14.4,6.4,1.8,1.7,0.3,2.2,0.6081081081081081,19.0,22.6,3.2,0.13,2.0,,20.44,87.06597222222223,Big West impact starter,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html
Hayden Gray,hayden-gray,Azusa Pacific,azusa-pacific,PacWest,D2,UC San Diego,uc-san-diego,2023-24,2022-23,phase1_school_stats,G,76.0,185.0,13.16,29.59,16.43,30,26.833333333333332,0.6708333333333333,10.0,3.033333333333333,3.8,1.8333333333333333,0.3,1.5666666666666667,0.443,0.326,0.673,0.5018939393939394,0.5228667038482989,0.35984848484848486,0.19696969696969696,,,,,14.906832298136647,4.521739130434782,5.6645962732919255,2.732919254658385,0.4472049689440994,2.3354037267080745,33,33,32.7,1079.1000000000001,0.8175000000000001,9.0,4.2,3.8,1.7,0.5,1.7,0.5639097744360902,16.1,15.5,3.7,0.136,2.5,2.11879,15.290000000000001,86.89236111111111,Big West impact starter,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/hayden-gray-1.html
Joshua Ward,joshua-ward,Palm Beach Atlantic,palm-beach-atlantic,SSC,D2,Cal State Fullerton,cal-state-fullerton,2025-26,2024-25,phase1_school_stats,G,73.0,175.0,14.22,29.37,15.15,29,32.13793103448276,0.803448275862069,14.96551724137931,5.0344827586206895,4.0344827586206895,1.7241379310344827,0.4827586206896552,2.3793103448275863,0.457,0.29,0.85,0.49573863636363635,0.547979797979798,0.26420454545454547,0.2840909090909091,,,,,18.626609442060083,6.266094420600858,5.021459227467811,2.1459227467811153,0.6008583690987124,2.96137339055794,34,34,30.9,1050.6,0.7725,14.5,4.5,3.5,1.6,0.5,2.0,0.5620155038759691,17.1,22.8,3.2,0.121,2.1,2.1,20.57,86.75347222222221,Big West impact starter,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html
Tom Beattie,tom-beattie,Hawaii,hawaii,Big West,D1,UC San Diego,uc-san-diego,2025-26,2024-25,sports_reference_source_school_cache,G,77.0,195.0,30.41,29.37,-1.0399999999999991,31,26.1,0.6525000000000001,7.4,2.5,1.6,0.5,0.1,1.8,0.443,0.25,0.719,0.477,0.519371139809096,0.27419354838709675,0.33870967741935487,8.2,18.1,0.8,-3.7,11.340996168582375,3.8314176245210727,2.4521072796934864,0.7662835249042145,0.1532567049808429,2.758620689655172,34,34,31.2,1060.8,0.78,10.6,5.3,3.4,1.3,0.2,1.5,0.5488815244407623,15.4,18.0,3.5,0.131,2.8,1.69523,16.99,86.57986111111111,Big West impact starter,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html
Justin McKoy,justin-mckoy,North Carolina,north-carolina,ACC,D1,Hawaii,hawaii,2023-24,2022-23,sports_reference_source_school_cache,F,80.0,220.0,39.87,29.59,-10.279999999999998,11,5.4,0.135,1.7,1.2,0.1,0.0,0.4,0.2,0.462,0.333,1.0,0.538,0.5985915492957746,0.4166666666666667,0.4166666666666667,17.8,14.7,0.2,4.4,12.592592592592592,8.888888888888888,0.7407407407407407,0.0,2.962962962962963,1.4814814814814814,34,34,31.0,1054.0,0.775,12.4,6.1,1.6,0.6,0.5,1.9,0.6195043964828139,17.2,20.5,4.0,0.15,2.0,2.39965,17.610000000000007,86.52777777777779,Big West impact starter,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html
Aidan Mahaney,aidan-mahaney,Connecticut,connecticut,Big East,D1,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,sports_reference_source_school_cache,G,75.0,185.0,43.33,29.37,-13.959999999999997,34,12.4,0.31,4.5,0.8,1.3,0.2,0.0,0.6,0.377,0.359,0.758,0.46,0.4955947136563877,0.4634146341463415,0.24390243902439027,10.2,21.8,0.9,-1.6,14.516129032258064,2.5806451612903225,4.193548387096774,0.6451612903225806,0.0,1.9354838709677418,32,32,33.6,1075.2,0.8400000000000001,14.9,1.9,2.7,0.8,0.1,1.3,0.5625188764723649,14.7,22.4,3.4,0.127,0.2,3.03163,18.1,85.64236111111111,Big West impact starter,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html
Andrew Henderson,andrew-henderson,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,UC Riverside,uc-riverside,2025-26,2024-25,phase1_school_stats,G,77.0,210.0,13.01,29.37,16.36,35,33.8,0.845,17.257142857142856,6.8,1.5142857142857142,1.4285714285714286,0.8857142857142857,2.142857142857143,0.47,0.366,0.789,0.5328389830508474,0.5716232586311326,0.3411016949152542,0.2711864406779661,,,,,20.422654268808113,8.04733727810651,1.7920540997464076,1.69061707523246,1.0481825866441252,2.53592561284869,32,29,33.3,1065.6,0.8324999999999999,18.1,4.9,2.0,0.9,0.8,2.1,0.5311032863849766,16.6,28.5,2.4,0.091,0.6,2.07723,23.069999999999997,85.01736111111111,Big West impact starter,https://csusbathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html
Isaac Jessup,isaac-jessup,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,2023-24,phase1_school_stats,G,74.0,194.0,14.68,30.41,15.73,34,24.941176470588236,0.6235294117647059,10.147058823529411,2.764705882352941,2.4411764705882355,1.088235294117647,0.14705882352941177,1.6176470588235294,0.415,0.37,0.963,0.5557491289198606,0.5771547109207709,0.7630662020905923,0.09407665505226481,,,,,16.27358490566038,4.433962264150944,3.915094339622642,1.7452830188679243,0.2358490566037736,2.594339622641509,31,31,30.6,948.6,0.765,11.7,3.5,2.6,1.5,0.1,1.3,0.6392045454545453,15.9,16.1,3.0,0.127,3.0,2.94292,16.44,83.33333333333334,Big West impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html
Lassina Traoré,lassina-traor,Saint Louis,saint-louis,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,2021-22,sports_reference_source_school_cache,F,81.0,245.0,35.45,29.79,-5.660000000000004,19,7.8,0.195,2.4,2.9,0.3,0.3,0.2,0.9,0.606,0.0,0.75,0.606,0.6396588486140725,0.0,0.23529411764705885,15.7,18.3,0.4,-2.8,12.307692307692308,14.871794871794872,1.5384615384615385,1.5384615384615385,1.0256410256410258,4.615384615384616,33,33,28.1,927.3000000000001,0.7025,12.9,10.5,1.2,0.8,0.6,1.8,0.569385593220339,22.4,22.1,4.0,0.173,1.8,,21.17,82.70833333333333,Big West impact starter,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html
