target_conference,first_target_season,destination_school,player_name,source_school_or_label,source_level,source_season,sports_reference_player_url,candidate_action,needed
Atlantic 10,2022-23,Davidson,Chris Sosnik,Did not play - manager,,2021-22,https://www.sports-reference.com/cbb/players/chris-sosnik-1.html,manual_review_prior_school,manual review prior school/level
Atlantic 10,2024-25,Davidson,Luke Zimmerman,Did not play - manager,,2023-24,https://www.sports-reference.com/cbb/players/luke-zimmerman-1.html,manual_review_prior_school,manual review prior school/level
Atlantic 10,2024-25,Davidson,Zach Laput,Did not play - non-major team,D2,2023-24,https://www.sports-reference.com/cbb/players/zach-laput-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Atlantic 10,2023-24,Dayton,C.J. Napier,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/cj-napier-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
Atlantic 10,2024-25,Dayton,Jaiun Simon,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/jaiun-simon-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Atlantic 10,2022-23,Duquesne,Jimmy Clark,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/jimmy-clarkiii-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Atlantic 10,2022-23,Duquesne,Quincy McGriff,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/quincy-mcgriff-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Atlantic 10,2024-25,Duquesne,Lucas Prolla,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/lucas-prolla-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Atlantic 10,2022-23,George Washington,Maximus Edwards,Did not play - injury/redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/maximus-edwards-2.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
