player_name,d2_school,d2_conference,d2_season,d1_school,first_d1_season,position,heightIn,age,minutesPct,usagePct,ptsPer40,tsPct,astPer40,tovPer40,rebPer40,stlPer40,blkPer40,threePaRate,threePct,ftRate,d1_games,d1_games_started,d1_mpg,d1_minutes,d1_minutes_share,d1_ppg,d1_rpg,d1_apg,d1_spg,d1_bpg,d1_topg,d1_ts_pct,d1_per,d1_usg_pct,d1_ws,d1_ws_per_40,d1_bpm,production_score,impact_score,outcome_tier,d2_source_url,d1_source_url
Nordin Kapić,Lynn,SSC,2023-24,UC San Diego,2024-25,F,80.0,20.8,78.51851851851852,57.20283018867924,24.528301886792452,0.6145409851564716,2.688679245283019,2.9245283018867925,11.69811320754717,1.3679245283018868,1.2264150943396226,0.26822157434402333,0.413,0.5306122448979592,34,33,25.0,850.0,0.625,10.7,5.2,1.2,0.8,0.4,1.3,0.531597774244833,16.1,24.0,3.5,0.163,1.1,15.37,65.92592592592592,D1 starter/plus rotation,https://lynnfightingknights.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/nordin-kapic-1.html
Rob Diaz III,Cal Poly Humboldt,CCAA,2024-25,Long Beach State,2025-26,G,74.0,20.8,82.41379310344827,45.94142259414225,19.456066945606693,0.6035825545171339,2.594142259414226,2.2594142259414225,4.560669456066946,2.217573221757322,1.0878661087866108,0.32857142857142857,0.365,0.22857142857142856,32,14,22.0,704.0,0.55,8.1,3.6,2.6,1.2,0.3,1.0,0.5405766150560598,16.8,19.3,2.1,0.118,2.8,12.99,58.51851851851852,D1 rotation,https://humboldtathletics.com/sports/mens-basketball/roster/rob-diaz-iii/10223,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html
Landon Seaman,Menlo,PacWest,2024-25,Cal State Fullerton,2025-26,F,81.0,21.8,82.78846153846153,60.92450638792102,23.925667828106853,0.5805302552078636,2.415795586527294,3.7630662020905925,8.641114982578397,1.5795586527293843,1.0220673635307782,0.0026455026455026454,0.0,0.3941798941798942,34,6,20.8,707.2,0.52,12.0,3.3,1.2,0.6,0.4,1.1,0.6124948958758676,20.3,24.6,2.5,0.141,2.1,15.299999999999997,56.66666666666667,D1 rotation,https://menloathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/landon-seaman-1.html
Emanuel Prospere II,Missouri-St. Louis,GLVC,2024-25,UC San Diego,2025-26,W,77.0,21.8,80.859375,42.9487922705314,15.61352657004831,0.5863230001161036,5.06280193236715,3.864734299516908,6.299516908212561,1.0434782608695652,0.4251207729468599,0.15034965034965034,0.395,0.46503496503496505,28,22,22.1,618.8000000000001,0.5525,8.0,3.8,3.1,1.7,0.2,2.0,0.5333333333333333,16.2,21.7,1.9,0.122,1.2,13.16,53.33333333333333,D1 rotation,https://umsltritons.com/sports/mens-basketball/roster/emanuel-prospere-ii/4207,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html
Mac Riniker,Colorado Mesa,RMAC,2023-24,Cal Poly,2024-25,G,77.0,21.8,62.5,50.79272727272728,22.763636363636362,0.7266901931649331,3.8545454545454545,4.654545454545454,8.290909090909091,3.272727272727273,1.6,0.3333333333333333,0.431,0.5402298850574713,35,35,24.8,868.0,0.62,9.4,4.6,2.5,1.5,0.6,2.7,0.6016385048643114,14.3,20.2,1.9,0.087,-1.0,14.490000000000002,49.44444444444444,D1 rotation,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/mac-riniker-1.html
"De'Undrae Perteete, Jr.",Westmont,PacWest,2024-25,UC Riverside,2025-26,F,77.0,19.8,86.89655172413794,32.900793650793645,12.142857142857142,0.5695354377605718,2.3412698412698414,2.5,5.396825396825397,1.1507936507936507,0.1984126984126984,0.5540540540540541,0.366,0.4774774774774775,27,21,27.6,745.2,0.6900000000000001,6.7,3.2,2.4,0.9,0.2,0.9,0.6199111769059956,11.9,11.4,1.8,0.097,-1.2,10.940000000000001,48.14814814814814,D1 rotation,https://athletics.westmont.edu/sports/mens-basketball/roster/de-undrae-perteete/9474,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html
Isaiah Kerr,Chico State,CCAA,2024-25,Hawaii,2025-26,G,75.0,20.8,82.24137931034483,42.22641509433963,16.058700209643607,0.5602036040252749,3.857442348008386,2.557651991614256,4.947589098532495,0.9643605870020965,0.5031446540880503,0.40460526315789475,0.35,0.28289473684210525,31,0,20.6,638.6,0.515,6.4,2.4,1.4,0.7,0.3,1.0,0.5215123859191656,10.9,16.8,1.8,0.113,0.4,9.260000000000002,37.03703703703704,Limited D1 role,https://chicowildcats.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/isaiah-kerr-1.html
Zion Richardson,Quincy,GLVC,2023-24,Cal State Fullerton,2024-25,G,76.0,21.8,80.48076923076923,55.35483870967742,21.983273596176822,0.5511358190357519,2.2461170848267624,2.198327359617682,8.93667861409797,1.4814814814814814,0.23894862604540024,0.3462603878116344,0.336,0.3545706371191136,21,4,18.1,380.1,0.4525,7.6,3.3,0.9,0.6,0.0,1.1,0.6217277486910995,16.7,20.6,1.1,0.11,1.0,10.41,34.81481481481481,Limited D1 role,https://quhawks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/zion-richardson-1.html
Jailen Daniel-Dalton,San Francisco State,CCAA,2023-24,UC Riverside,2025-26,W,78.0,21.8,72.58064516129032,43.25333333333333,16.22222222222222,0.5610550909985244,2.2222222222222223,2.8444444444444446,9.155555555555555,1.288888888888889,0.8444444444444444,0.30313588850174217,0.379,0.30313588850174217,26,17,23.2,603.1999999999999,0.58,6.0,4.0,0.9,0.6,0.5,1.0,0.5387931034482759,10.7,14.1,1.1,0.073,-2.6,9.700000000000001,34.81481481481481,Limited D1 role,https://sfstategators.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/jailen-daniel-dalton-1.html
Mahmoud Fofana,Cal State San Bernardino,CCAA,2022-23,Cal State Northridge,2023-24,W,78.0,20.8,57.49999999999999,31.662111801242236,14.608695652173912,0.6655197392249185,1.7391304347826086,1.68944099378882,10.583850931677018,1.391304347826087,1.68944099378882,0.0748663101604278,0.286,0.4117647058823529,31,12,21.8,675.8000000000001,0.545,5.1,5.6,0.7,0.8,0.4,0.9,0.48185941043083896,11.7,13.4,1.7,0.1,-1.8,9.9,34.07407407407407,Limited D1 role,https://csusbathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/mahmoud-fofana-1.html
Jaden Henderson,Concordia Irvine,PacWest,2024-25,Cal State Fullerton,2025-26,G,75.0,21.8,80.53571428571429,51.991130820399114,19.822616407982263,0.5630290205562274,2.9711751662971175,3.1929046563192904,5.188470066518847,1.6407982261640799,0.17738359201773837,0.25,0.322,0.23333333333333334,32,1,17.8,569.6,0.445,7.6,2.5,1.7,0.5,0.1,1.1,0.5413105413105413,13.5,21.3,1.1,0.079,-1.3,10.409999999999998,27.037037037037035,Limited D1 role,https://cuigoldeneagles.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/jaden-henderson-1.html
Maximo Milovich,Biola,PacWest,2023-24,UC San Diego,2024-25,C,80.0,21.8,66.55172413793103,37.31088082901554,13.937823834196891,0.5273682559598495,2.33160621761658,1.7098445595854923,14.55958549222798,0.9326424870466321,0.46632124352331605,0.25116279069767444,0.315,0.4232558139534884,33,2,13.3,438.90000000000003,0.3325,2.3,2.8,0.8,0.2,0.2,0.3,0.6169527896995707,11.7,8.8,1.7,0.159,-1.0,4.949999999999998,19.62962962962963,Limited D1 role,https://athletics.biola.edu/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/maximo-milovich-1.html
Grady Lewis,Cal State East Bay,CCAA,2023-24,Cal State Northridge,2024-25,C,81.0,20.8,74.05172413793103,43.49708963911525,19.837019790454015,0.6705704571212694,1.6298020954598371,2.607683352735739,9.965075669383003,1.071012805587893,1.490104772991851,0.0,0.0,0.39114391143911437,33,13,13.4,442.2,0.335,6.2,3.8,0.5,0.2,0.2,0.8,0.5907012195121951,18.2,21.2,1.7,0.158,-3.1,9.09,16.666666666666664,Limited D1 role,https://eastbaypioneers.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/grady-lewis-1.html
Beril Kabamba,Spring Hill,SIAC,2022-23,Cal State Fullerton,2023-24,G,78.0,20.8,86.99999999999999,56.827586206896555,21.333333333333332,0.542817033224146,2.2988505747126435,3.0804597701149423,9.977011494252874,1.5172413793103448,0.5057471264367817,0.2969187675070028,0.292,0.4481792717086835,29,7,17.1,495.90000000000003,0.42750000000000005,3.6,3.5,0.8,0.4,0.1,1.3,0.4875406283856988,7.5,15.7,0.5,0.04,-4.7,6.31,13.518518518518515,Limited D1 role,https://shcbadgers.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/beril-kabamba-1.html
Miloš Vićentić,McKendree,GLVC,2023-24,UC San Diego,2024-25,W,79.0,21.8,83.92857142857142,58.817021276595746,25.659574468085108,0.6256744417697352,1.0212765957446808,3.021276595744681,6.0,0.6382978723404256,0.5957446808510638,0.3112128146453089,0.412,0.2334096109839817,1,0,20.0,20.0,0.5,3.0,5.0,0.0,0.0,0.0,1.0,0.25,-1.6,18.3,0.0,-0.029,-5.9,6.0,12.592592592592592,Limited D1 role,https://mckbearcats.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/milos-vicentic-1.html
Jalen Cooper,Palm Beach Atlantic,SSC,2022-23,Cal State Fullerton,2023-24,W,78.0,20.8,78.7037037037037,54.20705882352941,22.070588235294117,0.600112601085065,2.4,3.2941176470588234,11.011764705882353,1.6,1.7411764705882353,0.15170278637770898,0.429,0.47678018575851394,20,4,13.6,272.0,0.33999999999999997,3.4,3.1,0.6,0.4,0.2,1.0,0.5570117955439056,11.3,15.7,0.5,0.072,-4.4,5.91,11.11111111111111,Limited D1 role,https://pbasailfish.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/jalen-cooper-1.html
Kieran Elliott,West Texas A&M,LSC,2023-24,Cal Poly,2024-25,F,79.0,19.8,58.92857142857143,45.39151515151516,21.09090909090909,0.6621407696054554,1.2121212121212122,2.2303030303030305,11.442424242424243,0.8242424242424242,0.43636363636363634,0.10526315789473684,0.393,0.5338345864661654,11,2,15.0,165.0,0.375,5.4,3.7,0.5,0.3,0.0,1.4,0.5232558139534884,10.6,20.6,0.2,0.038,-5.5,7.8500000000000005,10.555555555555554,Limited D1 role,https://gobuffsgo.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/kieran-elliott-1.html
Ethan Menzies,Colorado Mesa,RMAC,2023-24,Cal Poly,2024-25,F,79.0,21.8,25.13157894736842,29.005235602094242,13.403141361256544,0.7729468599033816,6.0732984293193715,2.931937172774869,8.167539267015707,1.0471204188481675,1.675392670157068,0.2702702702702703,0.5,0.2702702702702703,26,5,9.7,252.2,0.2425,2.4,1.5,0.7,0.3,0.1,0.8,0.5376344086021505,7.9,14.7,0.2,0.03,-3.0,3.82,6.111111111111111,Limited D1 role,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/ethan-menzies-1.html
