target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Mountain West,2024-25,Colorado State,Keshawn Williams,2024-25,Colorado State,MWC,SR,G,36,0,13.6,489.59999999999997,0.33999999999999997,5.1,1.6,0.7,0.2,0.0,0.6,0.5,0.373,0.679,0.566,0.5859374999999999,0.35,0.2,12.9,0.579,19.8,0.6,0.7,1.3,0.105,1.3,https://www.sports-reference.com/cbb/players/keshawn-williams-1.html
Mountain West,2024-25,Colorado State,Nikola Djapa,2024-25,Colorado State,MWC,SO,F,22,1,7.5,165.0,0.1875,2.4,1.5,0.3,0.1,0.1,0.6,0.7,0.143,0.818,0.717,0.7407407407407408,0.2142857142857143,0.35714285714285715,11.2,0.738,15.7,0.2,0.3,0.5,0.124,-1.1,https://www.sports-reference.com/cbb/players/nikola-djapa-1.html
Mountain West,2025-26,Colorado State,Augustinas Kiudulas,2025-26,Colorado State,MWC,JR,F,34,4,14.6,496.4,0.365,5.9,2.7,0.8,0.5,0.0,1.1,0.534,0.412,0.69,0.593,0.6352282515073213,0.2857142857142857,0.7428571428571429,16.9,0.628,21.4,1.1,0.5,1.6,0.132,1.7,https://www.sports-reference.com/cbb/players/augustinas-kiudulas-1.html
Mountain West,2025-26,Colorado State,Brandon Rechsteiner,2025-26,Colorado State,MWC,JR,G,34,34,27.8,945.2,0.6950000000000001,12.0,2.2,2.5,0.8,0.1,1.7,0.451,0.4,0.809,0.587,0.6050826946349335,0.6774193548387096,0.15053763440860213,15.7,0.605,22.8,1.8,0.7,2.6,0.109,2.9,https://www.sports-reference.com/cbb/players/brandon-rechsteiner-1.html
Mountain West,2025-26,Colorado State,Carey Booth,2025-26,Colorado State,MWC,JR,F,34,30,24.6,836.4000000000001,0.615,10.7,5.6,0.7,0.4,1.0,1.0,0.525,0.407,0.828,0.604,0.6690845422711355,0.38461538461538464,0.5230769230769231,21.2,0.657,20.3,2.3,1.2,3.5,0.166,5.4,https://www.sports-reference.com/cbb/players/carey-booth-2.html
Mountain West,2025-26,Colorado State,Jase Butler,2025-26,Colorado State,MWC,SO,G,34,17,25.8,877.2,0.645,9.3,3.1,1.8,0.6,0.1,1.1,0.454,0.411,0.816,0.571,0.6373355263157896,0.5689655172413793,0.5862068965517241,15.5,0.634,17.8,2.3,0.7,3.0,0.137,3.4,https://www.sports-reference.com/cbb/players/jase-butler-1.html
Mountain West,2025-26,Colorado State,Jevin Muniz,2025-26,Colorado State,MWC,SR,G,34,26,30.5,1037.0,0.7625,9.4,4.0,4.9,0.9,0.2,1.5,0.473,0.359,0.701,0.549,0.5793885601577909,0.4225352112676057,0.323943661971831,16.1,0.574,17.5,2.5,1.0,3.6,0.138,4.2,https://www.sports-reference.com/cbb/players/jevin-muniz-1.html
Mountain West,2025-26,Colorado State,Josh Pascarelli,2025-26,Colorado State,MWC,JR,G,27,25,26.4,712.8,0.6599999999999999,10.2,2.8,1.4,0.6,0.0,0.8,0.458,0.415,0.87,0.601,0.6147540983606556,0.6835443037974683,0.11392405063291139,15.1,0.617,18.7,1.5,0.6,2.1,0.119,2.9,https://www.sports-reference.com/cbb/players/josh-pascarelli-1.html
Mountain West,2022-23,Fresno State,Chuks Isitua,2022-23,Fresno State,MWC,SO,F,5,0,5.0,25.0,0.125,0.4,0.6,0.0,0.4,0.2,0.2,0.25,0.0,0.0,0.25,0.25,0.0,0.0,5.5,0.25,11.1,0.0,0.0,0.0,0.008,-2.7,https://www.sports-reference.com/cbb/players/chuks-isitua-1.html
Mountain West,2022-23,Fresno State,Eduardo Andre,2022-23,Fresno State,MWC,JR,F,29,15,21.1,611.9000000000001,0.5275000000000001,8.3,5.9,0.8,1.0,1.5,1.6,0.582,0.0,0.778,0.582,0.622375524895021,0.017543859649122806,0.3859649122807018,23.7,0.618,22.0,1.2,1.3,2.5,0.166,4.5,https://www.sports-reference.com/cbb/players/eduardo-andre-1.html
Mountain West,2022-23,Fresno State,Isaih Moore,2022-23,Fresno State,MWC,SR,F,20,16,24.4,488.0,0.61,11.5,7.3,0.9,0.9,0.8,1.6,0.536,0.333,0.733,0.56,0.5977130977130977,0.14457831325301204,0.36144578313253006,25.2,0.591,25.7,1.3,0.9,2.1,0.176,5.2,https://www.sports-reference.com/cbb/players/isaih-moore-1.html
Mountain West,2023-24,Fresno State,Enoch Boakye,2023-24,Fresno State,MWC,JR,C,29,26,22.7,658.3,0.5675,7.5,7.7,0.4,0.6,1.2,1.6,0.616,0.0,0.492,0.616,0.607976653696498,0.0,0.4230769230769231,18.6,0.599,18.9,0.8,0.9,1.7,0.102,0.0,https://www.sports-reference.com/cbb/players/enoch-boakye-1.html
Mountain West,2023-24,Fresno State,Isaiah Pope,2023-24,Fresno State,MWC,SR,G,31,20,27.3,846.3000000000001,0.6825,9.2,3.4,1.5,1.0,0.0,1.6,0.401,0.315,0.805,0.473,0.5287356321839081,0.46052631578947373,0.32894736842105265,11.8,0.523,20.8,0.5,0.6,1.1,0.051,-1.0,https://www.sports-reference.com/cbb/players/isaiah-pope-1.html
Mountain West,2023-24,Fresno State,Pierre Geneste,2023-24,Fresno State,MWC,SO,F,15,0,4.5,67.5,0.1125,0.5,0.9,0.0,0.0,0.3,0.2,0.25,0.0,0.5,0.25,0.3698224852071006,0.0,0.8,4.2,0.323,11.2,-0.1,0.0,0.0,-0.008,-8.1,https://www.sports-reference.com/cbb/players/pierre-geneste-jr-1.html
Mountain West,2023-24,Fresno State,Xavier DuSell,2023-24,Fresno State,MWC,JR,G,33,33,32.2,1062.6000000000001,0.805,11.5,2.1,0.5,0.6,0.1,0.7,0.423,0.395,0.827,0.573,0.5987088713036234,0.7640449438202247,0.1797752808988764,12.4,0.596,17.4,1.8,0.3,2.1,0.077,0.2,https://www.sports-reference.com/cbb/players/xavier-dusell-1.html
Mountain West,2024-25,Fresno State,David Douglas,2024-25,Fresno State,MWC,SO,G,6,0,16.0,96.0,0.4,6.3,1.0,0.5,1.0,0.2,0.2,0.314,0.31,0.583,0.443,0.47155688622754494,0.8275862068965517,0.3448275862068966,12.8,0.467,21.4,0.1,0.1,0.2,0.066,2.2,https://www.sports-reference.com/cbb/players/david-douglas-jr-1.html
Mountain West,2024-25,Fresno State,Mor Seck,2024-25,Fresno State,MWC,JR,C,31,21,14.9,461.90000000000003,0.3725,2.9,3.3,0.1,0.2,0.5,0.5,0.425,0.0,0.605,0.425,0.46355498721227617,0.0,0.4615384615384615,8.8,0.464,12.0,0.2,0.3,0.4,0.038,-4.7,https://www.sports-reference.com/cbb/players/mor-seck-1.html
