status,player_name,source_school_dataset,source_season_dataset,destination_school,first_big_west_season,player_in_page,school_in_page,season_in_url_or_page,table_row_found,source_games_dataset,parsed_gp,gp_match,source_mpg_dataset,parsed_mpg,mpg_match,source_ppg_dataset,parsed_ppg,ppg_match,source_url,cache_path,notes
ok,Isaiah Kerr,Chico State,2024-25,Hawaii,2025-26,False,True,True,True,29,29.0,TRUE,32.89655172413793,32.9,TRUE,13.20689655172414,13.2,TRUE,https://chicowildcats.com/sports/mens-basketball/stats/2024-25,data/cache/d2_source_page_audit/https_3A_2F_2Fchicowildcats.com_2Fsports_2Fmens-basketball_2Fstats_2F2024-25.html,
ok,Mahmoud Fofana,Cal State San Bernardino,2022-23,Cal State Northridge,2023-24,False,False,True,True,35,35.0,TRUE,23.0,23.0,TRUE,8.4,8.4,TRUE,https://csusbathletics.com/sports/mens-basketball/stats/2022-23,data/cache/d2_source_page_audit/https_3A_2F_2Fcsusbathletics.com_2Fsports_2Fmens-basketball_2Fstats_2F2022-23.html,
ok,Zion Richardson,Quincy,2023-24,Cal State Fullerton,2024-25,False,True,True,True,26,26.0,TRUE,32.19230769230769,32.2,TRUE,17.692307692307693,17.7,TRUE,https://quhawks.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fquhawks.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Jailen Daniel-Dalton,San Francisco State,2023-24,UC Riverside,2025-26,False,True,True,True,31,31.0,TRUE,29.032258064516128,29.0,TRUE,11.774193548387096,11.8,TRUE,https://sfstategators.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fsfstategators.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Jaden Henderson,Concordia Irvine,2024-25,Cal State Fullerton,2025-26,False,True,True,True,28,28.0,TRUE,32.214285714285715,32.2,TRUE,15.964285714285714,16.0,TRUE,https://cuigoldeneagles.com/sports/mens-basketball/stats/2024-25,data/cache/d2_source_page_audit/https_3A_2F_2Fcuigoldeneagles.com_2Fsports_2Fmens-basketball_2Fstats_2F2024-25.html,
ok,Maximo Milovich,Biola,2023-24,UC San Diego,2024-25,False,True,True,True,29,29.0,TRUE,26.620689655172413,26.6,TRUE,9.275862068965518,9.3,TRUE,https://athletics.biola.edu/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fathletics.biola.edu_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Grady Lewis,Cal State East Bay,2023-24,Cal State Northridge,2024-25,False,True,True,True,29,29.0,TRUE,29.620689655172413,29.6,TRUE,14.689655172413794,14.7,TRUE,https://eastbaypioneers.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Feastbaypioneers.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Beril Kabamba,Spring Hill,2022-23,Cal State Fullerton,2023-24,True,True,True,True,25,25.0,TRUE,34.8,34.8,TRUE,18.56,18.6,TRUE,https://shcbadgers.com/sports/mens-basketball/stats/2022-23,data/cache/d2_source_page_audit/https_3A_2F_2Fshcbadgers.com_2Fsports_2Fmens-basketball_2Fstats_2F2022-23.html,
ok,Lathaniel Bastian,Angelo State,2021-22,Cal State Fullerton,2022-23,True,True,False,False,30,,,21.666666666666668,,,11.4,,,https://angelosports.com/sports/mens-basketball/roster/lathaniel-bastian/7071,data/cache/d2_source_page_audit/https_3A_2F_2Fangelosports.com_2Fsports_2Fmens-basketball_2Froster_2Flathaniel-bastian_2F7071.html,manual_player_roster_source_verified
ok,Miloš Vićentić,McKendree,2023-24,UC San Diego,2024-25,False,True,True,True,28,28.0,TRUE,33.57142857142857,33.6,TRUE,21.535714285714285,21.5,TRUE,https://mckbearcats.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fmckbearcats.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Kieran Elliott,West Texas A&M,2023-24,Cal Poly,2024-25,False,True,True,True,35,35.0,TRUE,23.571428571428573,23.6,TRUE,12.428571428571429,12.4,TRUE,https://gobuffsgo.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fgobuffsgo.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Jalen Cooper,Palm Beach Atlantic,2022-23,Cal State Fullerton,2023-24,False,True,True,True,27,27.0,TRUE,31.48148148148148,31.5,TRUE,17.37037037037037,17.4,TRUE,https://pbasailfish.com/sports/mens-basketball/stats/2022-23,data/cache/d2_source_page_audit/https_3A_2F_2Fpbasailfish.com_2Fsports_2Fmens-basketball_2Fstats_2F2022-23.html,
ok,Ethan Menzies,Colorado Mesa,2023-24,Cal Poly,2024-25,False,True,True,True,19,19.0,TRUE,10.052631578947368,10.1,TRUE,3.3684210526315788,3.4,TRUE,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fcmumavericks.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Sydney Shipp,Occidental,2022-23,Cal State Fullerton,2023-24,True,True,False,False,25,,,33.84,,,13.28,,,https://oxyathletics.com/sports/mens-basketball/roster/sydney-shipp/7664,data/cache/d2_source_page_audit/https_3A_2F_2Foxyathletics.com_2Fsports_2Fmens-basketball_2Froster_2Fsydney-shipp_2F7664.html,manual_player_roster_source_verified
ok,Chris Mitchell,Cal State San Bernardino,2023-24,UC Santa Barbara,2024-25,True,False,False,False,35,,,31.3,,,16.3,,,https://csusbathletics.com/sports/mens-basketball/roster/chris-mitchell/4103,data/cache/d2_source_page_audit/https_3A_2F_2Fcsusbathletics.com_2Fsports_2Fmens-basketball_2Froster_2Fchris-mitchell_2F4103.html,manual_player_roster_source_verified
