target,validation,feature_set,rows_used,best_model,best_status,cv_mae,baseline_mae,mae_improvement_vs_baseline,cv_rmse,baseline_rmse,cv_r2,baseline_r2,cv_corr,baseline_corr,massey_power_source
impact_score,random_kfold,all,145,ridge_alpha_10,ok,19.498625648753553,22.04568593935791,2.5470602906043567,24.01631092660854,25.411098972634708,0.08819076122012726,-0.020794423093565717,0.34790424780228,-0.19227028703741664,data/massey_conference_power.csv
bpm,random_kfold,all,145,elastic_net,ok,2.90251698868215,2.918513674197384,0.015996685515234255,4.9437596598680145,4.832359401375956,-0.0595515090489902,-0.012338676573659724,0.07540206822890515,-0.14810612755669422,data/massey_conference_power.csv
bpm,random_kfold,common_box,145,elastic_net,ok,2.8591731640634075,2.918513674197384,0.059340510133976565,4.908775279994282,4.832359401375956,-0.04460879315589783,-0.012338676573659724,0.09025692742762263,-0.14810612755669422,data/massey_conference_power.csv
bpm,random_kfold,per40_core,145,elastic_net_a1_00_l10_05,ok,2.841577110572997,2.918513674197384,0.07693656362438706,4.844201962156464,4.832359401375956,-0.017306590387852427,-0.012338676573659724,0.031235312111587362,-0.14810612755669422,data/massey_conference_power.csv
bpm,season_holdout,all,145,rf_500_depth4_leaf4,ok,2.867605428439,2.9397782620865116,0.07217283364751159,4.844537774551236,4.821852166920006,-0.0174476398346477,-0.007941108099108085,0.023630317135579903,-0.09795013226518642,data/massey_conference_power.csv
bpm,season_holdout,common_box,145,elastic_net,ok,2.8546086134001873,2.9397782620865116,0.08516964868632426,4.757031710897285,4.821852166920006,0.01897636985250184,-0.007941108099108085,0.18911553753403929,-0.09795013226518642,data/massey_conference_power.csv
bpm,season_holdout,per40_core,145,ridge_alpha_100,ok,2.834644884164995,2.9397782620865116,0.10513337792151667,4.751673800215392,4.821852166920006,0.02118500633851661,-0.007941108099108085,0.15105488078063423,-0.09795013226518642,data/massey_conference_power.csv
impact_score,random_kfold,common_box,145,ridge_alpha_10,ok,19.149763041024617,22.04568593935791,2.8959228983332927,23.54351362572237,25.411098972634708,0.12373806173337365,-0.020794423093565717,0.3784363262576523,-0.19227028703741664,data/massey_conference_power.csv
impact_score,random_kfold,per40_core,145,elastic_net_a0_10_l10_50,ok,19.014670205861353,22.04568593935791,3.031015733496556,23.361294804648608,25.411098972634708,0.13724951278755282,-0.020794423093565717,0.3942423440920875,-0.19227028703741664,data/massey_conference_power.csv
porpag,random_kfold,all,125,rf_300_depth3_leaf5,ok,0.9764260456388957,0.9915229678976,0.015096922258704293,1.193390940985108,1.206377916085959,-0.011255078052728074,-0.03338463212956144,0.09474035987967465,-0.2436194924861726,data/massey_conference_power.csv
porpag,random_kfold,common_box,125,rf_300_depth3_leaf5,ok,0.9687237783115843,0.9915229678976,0.022799189586015678,1.184009821828102,1.206377916085959,0.0045811698592221894,-0.03338463212956144,0.13213477617160452,-0.2436194924861726,data/massey_conference_power.csv
porpag,random_kfold,per40_core,125,xgboost_depth4_slow,ok,0.9594866227809632,0.9915229678976,0.03203634511663678,1.1882944739166073,1.206377916085959,-0.0026362372047874505,-0.03338463212956144,0.17155680762702114,-0.2436194924861726,data/massey_conference_power.csv
porpag,season_holdout,all,125,rf_500_depth4_leaf4,ok,0.9638073943348127,0.9820751968767852,0.018267802541972578,1.1809331052984895,1.1906924214679324,0.009747752626455775,-0.0066869082113101275,0.12671234963477368,-0.1138214221688321,data/massey_conference_power.csv
porpag,season_holdout,common_box,125,elastic_net,ok,0.9586741259993246,0.9820751968767852,0.023401070877460683,1.1877891200735584,1.1906924214679324,-0.0017836230659471486,-0.0066869082113101275,0.1487883408005725,-0.1138214221688321,data/massey_conference_power.csv
porpag,season_holdout,per40_core,125,extra_trees_800_depth_none_leaf5,ok,0.9556049651647451,0.9820751968767852,0.026470231712040104,1.1890392394872389,1.1906924214679324,-0.0038934389717733,-0.0066869082113101275,0.12657300633786106,-0.1138214221688321,data/massey_conference_power.csv
impact_score,season_holdout,all,145,ridge_alpha_10,ok,19.535981037125346,22.317319954231685,2.781338917106339,23.961628490901713,25.606390808374194,0.09233820813507243,-0.036544931152206805,0.340705467788991,-0.19882288598427056,data/massey_conference_power.csv
impact_score,season_holdout,common_box,145,ridge_alpha_10,ok,18.87954640209299,22.317319954231685,3.437773552138694,23.268241658450236,25.606390808374194,0.1441088721004905,-0.036544931152206805,0.39541911266763735,-0.19882288598427056,data/massey_conference_power.csv
impact_score,season_holdout,per40_core,145,elastic_net_a0_05_l10_15,ok,18.395755070366825,22.317319954231685,3.9215648838648605,22.738614665678966,25.606390808374194,0.1826286756039357,-0.036544931152206805,0.4411432321026069,-0.19882288598427056,data/massey_conference_power.csv
