target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Mountain West,2024-25,Colorado State,Nikola Djapa,nikola djapa,LIU,NEC,D1,2023-24,FR,F,7-0,230,29,21.4,6.1,5.6,0.4,0.6,0.6,1.3,.568,.286,.585,.583,https://www.sports-reference.com/cbb/players/nikola-djapa-1.html,https://www.sports-reference.com/cbb/players/nikola-djapa-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Colorado State,Augustinas Kiudulas,augustinas kiudulas,VMI,Southern,D1,2024-25,SO,F,6-8,215,31,29.3,15.2,6.3,1.6,0.9,0.5,2.2,.439,.303,.810,.484,https://www.sports-reference.com/cbb/players/augustinas-kiudulas-1.html,https://www.sports-reference.com/cbb/players/augustinas-kiudulas-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Colorado State,Brandon Rechsteiner,brandon rechsteiner,Virginia Tech,ACC,D1,2024-25,SO,G,6-1,185,32,22.2,7.0,1.0,2.8,0.6,0.0,2.2,.365,.299,.815,.455,https://www.sports-reference.com/cbb/players/brandon-rechsteiner-1.html,https://www.sports-reference.com/cbb/players/brandon-rechsteiner-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Colorado State,Carey Booth,carey booth,Illinois,Big Ten,D1,2024-25,SO,F,6-10,203,21,5.1,1.2,1.0,0.0,0.0,0.2,0.3,.273,.240,.500,.364,https://www.sports-reference.com/cbb/players/carey-booth-2.html,https://www.sports-reference.com/cbb/players/carey-booth-2.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Colorado State,Jase Butler,jase butler,Washington,Big Ten,D1,2024-25,FR,G,6-4,180,18,10.7,1.9,1.4,0.7,0.2,0.1,0.1,.250,.286,.600,.350,https://www.sports-reference.com/cbb/players/jase-butler-1.html,https://www.sports-reference.com/cbb/players/jase-butler-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Colorado State,Jevin Muniz,jevin muniz,Florida Gulf Coast,A-Sun,D1,2024-25,JR,G,6-6,215,34,33.9,10.6,5.8,4.2,0.6,0.0,2.1,.401,.328,.778,.468,https://www.sports-reference.com/cbb/players/jevin-muniz-1.html,https://www.sports-reference.com/cbb/players/jevin-muniz-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Colorado State,Josh Pascarelli,josh pascarelli,Marist,MAAC,D1,2024-25,SO,G,6-3,195,30,34.5,15.9,3.6,2.3,0.7,0.2,1.7,.448,.393,.768,.551,https://www.sports-reference.com/cbb/players/josh-pascarelli-1.html,https://www.sports-reference.com/cbb/players/josh-pascarelli-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Fresno State,Chuks Isitua,chuks isitua,IUPUI,Horizon,D1,2021-22,FR,F,6-10,220,29,21.7,5.6,4.6,0.3,0.5,0.8,1.6,.520,,.574,.520,https://www.sports-reference.com/cbb/players/chuks-isitua-1.html,https://www.sports-reference.com/cbb/players/chuks-isitua-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Fresno State,Eduardo Andre,eduardo andre,Nebraska,Big Ten,D1,2021-22,SO,F,6-11,228,30,11.5,3.1,3.2,0.3,0.6,0.5,1.1,.571,.000,.524,.571,https://www.sports-reference.com/cbb/players/eduardo-andre-1.html,https://www.sports-reference.com/cbb/players/eduardo-andre-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Fresno State,Isaih Moore,isaih moore,Southern Mississippi,CUSA,D1,2021-22,JR,F,6-10,205,27,28.5,13.1,6.9,1.2,0.5,1.1,1.7,.531,.309,.685,.565,https://www.sports-reference.com/cbb/players/isaih-moore-1.html,https://www.sports-reference.com/cbb/players/isaih-moore-1.html,add_transfer_row_and_d1_source_stats
