model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
rf_300_depth3_leaf5,ok,0.9687237783115843,1.184009821828102,0.0045811698592221894,0.13213477617160452,0.7608886911851245,0.9262246496570229,
lightgbm_small_leaf,ok,0.9744940917561227,1.2312899167051299,-0.0765045946145555,0.1658238953747696,0.3368227397970814,0.43938273241630793,
rf_500_depth4_leaf4,ok,0.9745601486789752,1.1898379473242242,-0.0052425733504724015,0.09174343147833089,0.7613200550733588,0.9248906073513508,
elastic_net,ok,0.984952810601609,1.2066084583237828,-0.033779635331298685,0.0665087781150594,0.9019906518220207,1.0945147784697769,
lightgbm_more_regularized,ok,0.9898143500031283,1.2254909168753823,-0.06638845642795332,0.1283782070595673,0.5635184454829344,0.7042136936404109,
mean_baseline,baseline,0.9915229678976,1.206377916085959,-0.03338463212956144,-0.2436194924861726,0.9915229678976,1.206377916085959,predicts the training-set mean impact score for every row
hist_gradient_boosting_l2,ok,0.99155376021839,1.2277373257255944,-0.07030156591227366,0.17797437767479704,0.256185598197067,0.33817357250325614,
ridge_alpha_10,ok,0.9938477388963307,1.2325302586746252,-0.07867452443523049,0.13882229859574902,0.7705647098921001,0.9510061493431236,
gradient_boosting_shallow,ok,0.9939700236228172,1.2177987739287788,-0.05304348799776104,0.12117082135386568,0.6278430121948347,0.7655043886848902,
extra_trees_500_leaf4,ok,0.9960365362429536,1.2145845258681025,-0.04749203527818602,-0.02786430457598299,0.8674324051020107,1.0570941738315878,
ridge_alpha_1,ok,1.1941504001045502,1.4513612302471934,-0.4957061428976479,0.06602281160338518,0.6760340846593086,0.8013362050646035,
