priority,player_name,player_slug,source_school,source_school_slug,source_level,destination_school,destination_school_slug,first_big_west_season,expected_source_season,has_big_west_outcome,model_training_window,local_cache_status,recommended_next_step,current_missing_reason,source_url
2,Joel Armotrading,joel-armotrading,College of Southern Idaho,college-of-southern-idaho,JUCO,Cal Poly,cal-poly,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/joel-armotrading
2,Corey Stephenson,corey-stephenson,Northeast Mississippi Community College,northeast-mississippi-community-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/corey-stephenson
2,Keonte Jones,keonte-jones,Midland College,midland-college2,JUCO,Cal State Northridge,cal-state-northridge,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/keonte-jones
2,Chip Brunt,chris-brunt,Gulf Coast State College,gulf-coast-state-college2,JUCO,UC Riverside,uc-riverside,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/chris-brunt
2,Gloire Goma,gloire-goma,Clarendon College,clarendon-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/gloire-goma
2,Jemel Jones,jemel-jones,South Suburban College,south-suburban-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jemel-jones
2,Marvin McGhee IV,marvin-mcghee-iv,Bishop State Community College,bishop-state-community-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/marvin-mcghee-iv
2,Shakiru Odunewu,shakiru-odunewu,West Valley College,west-valley-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/shakiru-odunewu
2,Freddie Cooper,freddie-cooper,Moberly Area Community College,moberly-area-community-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/freddie-cooper
2,Christian Richardson,christian-richardson,Butler Community College,butler-community-college,JUCO,Long Beach State,long-beach-state,2024-25,2023-24,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/christian-richardson
