Player Name,Team,Conference,season,reason,candidate_urls
"Brian Carter, Jr.",Belmont Abbey,Conference Carolinas,2025-26,no school domain or URL override found,
Zayd Taylor,Converse,Conference Carolinas,2025-26,no school domain or URL override found,
Kolby Watson,Emmanuel GA,Conference Carolinas,2025-26,no school domain or URL override found,
Jamaal Leggett,Emmanuel GA,Conference Carolinas,2025-26,no school domain or URL override found,
Curtis Bowser,Erskine,Conference Carolinas,2025-26,no school domain or URL override found,
Raquavian Jones,Erskine,Conference Carolinas,2025-26,no school domain or URL override found,
A.J. Woodard,Ferrum,Conference Carolinas,2025-26,https://ferrumpanthers.com/sports/mens-basketball/stats: html_with_tables; parsed 23 HTML tables but no matching player row found,https://ferrumpanthers.com/sports/mens-basketball/stats
Oliver Peterson,King,Conference Carolinas,2025-26,no school domain or URL override found,
Kalen Shemwell,King,Conference Carolinas,2025-26,no school domain or URL override found,
Jackson Davidson,King,Conference Carolinas,2025-26,no school domain or URL override found,
Kobe Jones,Mount Olive,Conference Carolinas,2025-26,no school domain or URL override found,
West Kellett,North Greenville,Conference Carolinas,2025-26,no school domain or URL override found,
Philip Layne,North Greenville,Conference Carolinas,2025-26,no school domain or URL override found,
Nick McConnell,North Greenville,Conference Carolinas,2025-26,no school domain or URL override found,
Cal Rich,Shorter,Conference Carolinas,2025-26,no school domain or URL override found,
Pat Rouse,Daemen College,East Coast,2025-26,no school domain or URL override found,
Ayden Harrison,Daemen College,East Coast,2025-26,no school domain or URL override found,
Ivan Yhomby,Daemen College,East Coast,2025-26,no school domain or URL override found,
Jalen Bradberry,District of Columbia,East Coast,2025-26,no school domain or URL override found,
Derek Long,Mercy College,East Coast,2025-26,no school domain or URL override found,
Darius Coleman,Molloy,East Coast,2025-26,no school domain or URL override found,
Joshua Malcolm,Molloy,East Coast,2025-26,no school domain or URL override found,
Hadi Ammar Alshami,Roberts Wesleyan College,East Coast,2025-26,no school domain or URL override found,
Eli Tanner,Roberts Wesleyan College,East Coast,2025-26,no school domain or URL override found,
