Player Name,Team,Conference,Position,Height,Year,Season,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,source_url
Aniwaniwa Tait-Jones,Hawaii Hilo,PacWest,F,78,Jr.,2022-23,23,753,32.73913043478261,144,309,0.466,7,27,0.259,110,157,0.701,405,17.608695652173914,36,175,211,9.173913043478262,43,80,77,27,9,3.4782608695652173,1.173913043478261,7.608695652173913,1.565217391304348,0.391304347826087,3.347826086956522,0.4773462783171521,0.08737864077669903,1.0389610389610389,0.5080906148867314,0.53560093101989,0.6043559096945551,21.51394422310757,11.208499335989377,4.249667994687915,1.4342629482071714,0.47808764940239046,4.090305444887118,https://hiloathletics.com/sports/mens-basketball/stats/2022-23
Hayden Gray,Azusa Pacific,PacWest,G,76,So.,2022-23,30,805,26.833333333333332,117,264,0.443,31,95,0.326,35,52,0.673,300,10.0,28,63,91,3.033333333333333,54,114,47,55,9,3.8,1.8333333333333333,2.1,0.9333333333333333,0.3,1.5666666666666667,0.5018939393939394,0.35984848484848486,2.425531914893617,0.19696969696969696,0.5228667038482989,0.4147577639751553,14.906832298136646,4.521739130434782,5.6645962732919255,2.732919254658385,0.4472049689440994,2.3354037267080745,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23
Tyler McGhie,Southern Nazarene,GAC,G/W,77,So.,2022-23,32,1021,31.90625,170,354,0.48,95,212,0.448,96,110,0.873,531,16.59375,13,106,119,3.71875,35,41,38,27,7,1.28125,0.84375,3.3125,0.40625,0.21875,1.1875,0.614406779661017,0.5988700564971752,1.0789473684210527,0.3107344632768362,0.6597912524850895,0.4313418217433888,20.80313418217434,4.662095984329089,1.6062683643486777,1.0577864838393731,0.2742409402546523,1.4887365328109696,https://snuathletics.com/sports/mens-basketball/stats/2022-23
Nordin Kapic,Lynn,Sunshine State,F,80,Fr.,2023-24,27,848,31.40740740740741,172,343,0.501,38,92,0.413,138,182,0.758,520,19.25925925925926,85,163,248,9.185185185185185,71,57,62,29,26,2.111111111111111,1.0740740740740742,6.037037037037037,3.1481481481481484,0.9629629629629629,2.2962962962962963,0.5568513119533528,0.26822157434402333,0.9193548387096774,0.5306122448979592,0.6145409851564716,0.5720283018867924,24.528301886792452,11.69811320754717,2.688679245283019,1.3679245283018868,1.2264150943396226,2.9245283018867925,https://lynnfightingknights.com/sports/mens-basketball/stats/2023-24
