first_big_west_season,destination_school,destination_school_slug,player_name,class,position,height,weight,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,candidate_action,sports_reference_player_url,already_in_inbound_transfers,already_in_inbound_same_program,inbound_matched_first_big_west_season,inbound_source_school,inbound_source_level,model_ready_playable,audit_status
2024-25,Cal State Northridge,cal-state-northridge,PJ Fuller,SR,G,6-4,175,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/pj-fuller-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Northridge,cal-state-northridge,Robert Thibiant,JR,G,6-2,185,2023-24,Did not play - manager,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/robert-thibiant-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Cal State Northridge,cal-state-northridge,Aleksander Szymczyk,JR,F,6-10,240,2024-25,Charlotte,AAC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/aleksander-szymczyk-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Cal State Northridge,cal-state-northridge,Joshua O'Garro,SR,G,6-5,175,2024-25,Texas State,Sun Belt,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/josh-ogarro-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Hawaii,hawaii,Osa Obasohan,SO,G,6-4,220,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/osa-obasohan-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Hawaii,hawaii,Quandre Bullock,SR,G,6-6,195,2024-25,South Dakota,Summit,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/quandre-bullock-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,Long Beach State,long-beach-state,Isael Silva,JR,G,6-4,190,2022-23,Stanford,Pac-12,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/isa-silva-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Long Beach State,long-beach-state,Grant Martin,JR,F,6-8,180,2023-24,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/grant-martin-3.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Long Beach State,long-beach-state,TJ Wainwright,JR,G,6-3,180,2023-24,Robert Morris,Horizon,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Long Beach State,long-beach-state,Demarshay Johnson,SR,F,6-9,210,2024-25,San Diego State,MWC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/demarshay-johnsonjr-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Long Beach State,long-beach-state,JJ Chaikovsky,JR,F,6-7,205,2023-24,NJIT,AmEast,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/jj-chaikovsky-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Davis,uc-davis,DeAndre Henry,JR,F,6-7,225,2021-22,Nevada,MWC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/deandre-henry-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Davis,uc-davis,Niko Rocak,SO,F,6-9,220,2021-22,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/niko-rocak-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Davis,uc-davis,Robby Beasley,JR,G,6-3,190,2021-22,Montana,Big Sky,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/robby-beasley-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,UC Davis,uc-davis,Carl Daugherty,JR,G,6-3,170,2023-24,Central Arkansas,A-Sun,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/carl-daugherty-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Irvine,uc-irvine,Akiva McBirney-Griffin,FR,F,6-9,220,2021-22,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/akiva-mcbirney-griffin-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Irvine,uc-irvine,Chazz Hutchison,JR,F,6-9,215,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/chazz-hutchison-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Riverside,uc-riverside,Anthony Bell,JR,G,6-1,165,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/anthony-bell-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,UC Riverside,uc-riverside,Vladimer Salaridze,SO,F,6-7,225,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/vladimer-salaridze-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,UC Riverside,uc-riverside,Benjamin Griscti,JR,C,6-11,220,2022-23,Incarnate Word,Southland,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/benjamin-griscti-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,UC Santa Barbara,uc-santa-barbara,Konner Baroni,JR,F,6-8,210,2022-23,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/konner-baroni-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,UC Santa Barbara,uc-santa-barbara,Chris Mitchell,SR,G,6-4,200,2023-24,Did not play - non-major team,,D2,add_transfer_row_and_find_d2_source_stats,https://www.sports-reference.com/cbb/players/chris-mitchell-4.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,UC Santa Barbara,uc-santa-barbara,Deuce Turner,SR,G,6-2,181,2023-24,San Diego,WCC,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/deuce-turner-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,UC Santa Barbara,uc-santa-barbara,Elia Bongiorno,SO,G,6-2,190,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/elia-bongiorno-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,UC Santa Barbara,uc-santa-barbara,Koat Keat Tong,JR,F,6-9,215,2023-24,Did not play - injury/redshirt,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/koat-keat-tong-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
