target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Atlantic 10,2023-24,Duquesne,Hassan Drame,2023-24,Duquesne,A-10,SR,F,13,0,11.7,152.1,0.2925,3.4,3.2,0.5,0.4,0.1,0.6,0.409,0.316,0.4,0.477,0.47539149888143173,0.4411764705882353,0.11764705882352942,12.1,0.474,18.5,0.1,0.3,0.4,0.097,-1.3,https://www.sports-reference.com/cbb/players/hassan-drame-1.html
Atlantic 10,2024-25,Duquesne,Cameron Crawford,2024-25,Duquesne,A-10,JR,G,29,22,23.1,669.9000000000001,0.5775,8.6,2.5,1.1,0.9,0.1,1.5,0.445,0.431,0.788,0.555,0.5823401950162513,0.5072463768115941,0.15942028985507248,13.1,0.575,20.1,0.8,0.9,1.7,0.099,0.5,https://www.sports-reference.com/cbb/players/cameron-crawford-2.html
Atlantic 10,2024-25,Duquesne,Eli Wilborn,2024-25,Duquesne,A-10,SO,F,28,13,12.8,358.40000000000003,0.32,5.0,3.5,0.4,0.4,0.9,0.8,0.594,0.0,0.521,0.594,0.6027000964320155,0.0,0.5,20.6,0.585,20.4,0.7,0.7,1.4,0.155,-0.5,https://www.sports-reference.com/cbb/players/eli-wilborn-1.html
Atlantic 10,2024-25,Duquesne,Jahsean Corbett,2024-25,Duquesne,A-10,JR,G,31,22,25.4,787.4,0.635,8.3,5.2,1.7,0.8,0.2,1.1,0.415,0.263,0.438,0.435,0.44318667236223835,0.15,0.3875,13.6,0.439,21.5,0.5,1.2,1.7,0.086,-1.0,https://www.sports-reference.com/cbb/players/jahsean-corbett-1.html
Atlantic 10,2024-25,Duquesne,Maximus Edwards,2024-25,Duquesne,A-10,SO,G,32,10,19.7,630.4,0.4925,8.3,3.6,1.1,0.6,0.2,1.5,0.437,0.31,0.754,0.519,0.5539241857981848,0.5223880597014925,0.26865671641791045,15.4,0.55,23.8,0.6,1.0,1.6,0.104,1.7,https://www.sports-reference.com/cbb/players/maximus-edwards-2.html
Atlantic 10,2024-25,Duquesne,Tre Dinkins,2024-25,Duquesne,A-10,SR,G,32,30,29.2,934.4,0.73,12.9,2.3,3.1,0.9,0.1,1.8,0.409,0.379,0.782,0.524,0.5581516095534786,0.6,0.22857142857142856,16.2,0.554,23.9,1.9,1.1,3.0,0.129,3.2,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html
Atlantic 10,2025-26,Duquesne,Alex Williams,2025-26,Duquesne,A-10,SR,F,31,1,17.8,551.8000000000001,0.445,9.2,3.5,0.9,0.5,0.2,1.1,0.44,0.396,0.81,0.545,0.5983350676378771,0.5230769230769231,0.4153846153846154,18.8,0.596,24.6,1.3,0.7,2.0,0.147,4.3,https://www.sports-reference.com/cbb/players/alex-williams-3.html
Atlantic 10,2025-26,Duquesne,Jimmie Williams,2025-26,Duquesne,A-10,JR,G,33,33,29.7,980.1,0.7424999999999999,15.1,4.5,2.6,1.6,0.1,1.7,0.463,0.339,0.757,0.545,0.5804120541205412,0.47413793103448276,0.27586206896551724,19.2,0.574,24.8,2.1,1.5,3.6,0.145,3.8,https://www.sports-reference.com/cbb/players/jimmie-williams-1.html
Atlantic 10,2025-26,Duquesne,John Hugley,2025-26,Duquesne,A-10,SR,F,27,10,16.0,432.0,0.4,7.7,3.5,1.3,0.2,0.2,1.4,0.493,0.273,0.747,0.525,0.5956064356435644,0.23529411764705882,0.607843137254902,17.0,0.583,24.8,0.8,0.5,1.3,0.122,-0.7,https://www.sports-reference.com/cbb/players/john-hugley-1.html
Atlantic 10,2025-26,Duquesne,Stef van Bussel,2025-26,Duquesne,A-10,JR,C,17,0,5.9,100.30000000000001,0.14750000000000002,1.4,1.8,0.4,0.1,0.1,0.8,0.833,0.0,0.3,0.833,0.7261410788381742,0.0,0.8571428571428572,8.1,0.687,15.3,-0.1,0.1,0.1,0.027,-7.1,https://www.sports-reference.com/cbb/players/stef-van-bussel-1.html
