player_name,player_slug,source_school,source_school_slug,source_level,destination_school,destination_school_slug,first_big_west_season,expected_source_season,reason
"Cory Curtis, Jr.",cory-curtis-jr,Independence Community College,independence-community-college2,JUCO,Long Beach State,long-beach-state,2024-25,2023-24,source_level_not_yet_supported
"Ramel Lloyd, Jr.",ramel-lloyd-jr,Nebraska,nebraska,D1,Long Beach State,long-beach-state,2024-25,2023-24,sports_reference_source_row_not_in_local_cache
Jamaal Unuakhalu,jamal-unuakhalu,Moorpark College,moorpark-college,JUCO,UC Davis,uc-davis,2024-25,2023-24,source_level_not_yet_supported
Parker Strauss,parker-strauss,Northwestern,northwestern,D1,UC Riverside,uc-riverside,2024-25,2023-24,sports_reference_source_row_not_in_local_cache
Jake Davis,jake-davis2,West Valley College,west-valley-college,JUCO,Cal Poly,cal-poly,2025-26,2024-25,source_level_not_yet_supported
Davis White,davis-white,College of the Sequoias,college-of-the-sequoias,JUCO,Cal State Fullerton,cal-state-fullerton,2025-26,2024-25,source_level_not_yet_supported
Davius Loury,davius-loury,John A. Logan College,john-a.-logan-college,JUCO,Cal State Northridge,cal-state-northridge,2025-26,2024-25,source_level_not_yet_supported
Jai Chisolm,jai-chisolm,University of South Carolina Salkehatchie,university-of-south-carolina-salkehatchie,JUCO,Cal State Northridge,cal-state-northridge,2025-26,2024-25,source_level_not_yet_supported
"James Evans, Jr.",james-evans,UNLV,unlv,D1,Cal State Northridge,cal-state-northridge,2025-26,2024-25,sports_reference_source_row_not_in_local_cache
Naceiar Kirksey,naceiar-kirksey,Monroe College,monroe-college2,JUCO,Cal State Northridge,cal-state-northridge,2025-26,2024-25,source_level_not_yet_supported
Isaac Finlinson,isaac-finlinson,Snow College,snow-college2,JUCO,Hawaii,hawaii,2025-26,2024-25,source_level_not_yet_supported
Christian Jones,christian-jones,Angelina College,angelina-college2,JUCO,Long Beach State,long-beach-state,2025-26,2024-25,source_level_not_yet_supported
Immanuel Lewis,immanuel-lewis,Atlantic Cape Community College,atlantic-cape-community-college,JUCO,Long Beach State,long-beach-state,2025-26,2024-25,source_level_not_yet_supported
J.J. Chaikovsky,jj-chaikovsky,Cal State Northridge,cal-state-northridge,D1,Long Beach State,long-beach-state,2025-26,2024-25,sports_reference_source_row_not_in_local_cache
"Cyril Franklin, Jr.",cyril-franklin,College of Southern Nevada,college-of-southern-nevada,JUCO,UC Davis,uc-davis,2025-26,2024-25,source_level_not_yet_supported
Jonathan Noudjihidi,jonathan-noudjihidi,Coahoma Community College,coahoma-community-college,JUCO,UC Davis,uc-davis,2025-26,2024-25,source_level_not_yet_supported
Ylan Esso-Essis,ylan-esso-essis,Modesto Junior College,modesto-junior-college,JUCO,UC Davis,uc-davis,2025-26,2024-25,source_level_not_yet_supported
E.J. Spillman,ej-spillman,College of the Sequoias,college-of-the-sequoias,JUCO,UC Riverside,uc-riverside,2025-26,2024-25,source_level_not_yet_supported
Dimitrije Vukićević,dimitrije-vukievi,Washington State,washington-state,D1,UC San Diego,uc-san-diego,2025-26,2024-25,sports_reference_source_row_not_in_local_cache
Trap Johnson,trap-johnson,Montana State,montana-state,D1,UC San Diego,uc-san-diego,2025-26,2024-25,sports_reference_source_row_not_in_local_cache
Hosana Kitenge,hosana-kitenge,Louisiana,louisiana,D1,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,sports_reference_source_row_not_in_local_cache
Anthony Moore,anthony-moore3,Weber State,weber-state,D1,Cal Poly,cal-poly,2026-27,2025-26,sports_reference_source_row_not_in_local_cache
Zach Lee,zach-lee2,Loyola University New Orleans,loyola-university-new-orleans,NAIA,Cal State Bakersfield,cal-state-bakersfield,2026-27,2025-26,source_level_not_yet_supported
Andrew McConnell,andrew-mcconnell,Cumberland University,cumberland-university,NAIA,Cal State Fullerton,cal-state-fullerton,2026-27,2025-26,source_level_not_yet_supported
Marley Zeller,marley-zeller,Loyola Marymount,loyola-marymount,D1,Cal State Fullerton,cal-state-fullerton,2026-27,2025-26,sports_reference_source_row_not_in_local_cache
Rockwell Reynolds,rockwell-reynolds,Citrus College,citrus-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2026-27,2025-26,source_level_not_yet_supported
Daniel Culberson,daniel-culberson,Howard College,howard-college2,JUCO,Cal State Northridge,cal-state-northridge,2026-27,2025-26,source_level_not_yet_supported
Blake Bahr,blake-bahr,Snow College,snow-college2,JUCO,Long Beach State,long-beach-state,2026-27,2025-26,source_level_not_yet_supported
Henry Lau,henry-cody-lau,Pittsburgh,pittsburgh,D1,Long Beach State,long-beach-state,2026-27,2025-26,sports_reference_source_row_not_in_local_cache
McCaden Adams,mccaden-adams,Snow College,snow-college2,JUCO,Long Beach State,long-beach-state,2026-27,2025-26,source_level_not_yet_supported
Jordan Johnson,jordan-johnson8,Calhoun Community College,calhoun-community-college,JUCO,UC San Diego,uc-san-diego,2026-27,2025-26,source_level_not_yet_supported
