Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct
"Moore, Bobby",Point Loma,PacWest,https://plnusealions.com/sports/mens-basketball/stats,official_school_stats_page,"32.0 Moore, Bobby  32 Moore, Bobby 4 0.0 7 1 1 1.0 0 0 0.0 0 0 0.0 2 0.5 || 32.0 Moore, Bobby  32 Moore, Bobby 4 1.8 1.0 0.0 0.0 0.3 1.0 1.3 0.0 0.0 0.5 0.5",4.0,1.8,0.45,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.3,1.0,1.3,0.325,,0.0,,0.0,0.5,0.0,,0.0,0.125,11.11111111111111,28.88888888888889,0.0,0.0,11.11111111111111,,,,,,
"Schayes, Logan",Westmont,PacWest,https://athletics.westmont.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"5.0 Schayes, Logan  05 Schayes, Logan 6 0.0 14 1 6 0.167 1 5 0.2 0 0 0.0 3 0.5 || 5.0 Schayes, Logan  05 Schayes, Logan 6 2.3 0.167 0.2 0.0 0.0 0.2 0.2 0.0 0.2 0.0 0.5",6.0,2.3,0.3833333333333333,0.167,6.0,0.167,0.2,5.0,0.2,0.0,0.0,0.0,0.5,0.0833333333333333,0.0,0.2,0.2,0.0333333333333333,,0.0,,0.2,0.0,0.0,,0.0333333333333333,0.0,8.695652173913043,3.4782608695652173,0.0,3.4782608695652173,0.0,,,,,,
"Onuaguluchi, Kenechi",Jessup,PacWest,https://jessupathletics.com/sports/mens-basketball/stats?path=mbball,official_school_stats_page,"23.0 Onuaguluchi, Kenechi  23 Onuaguluchi, Kenechi 1 0.0 6 2 3 0.667 0 0 0.0 0 0 0.0 4 4.0 || 23.0 Onuaguluchi, Kenechi  23 Onuaguluchi, Kenechi 1 6.0 0.667 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 4.0",1.0,6.0,6.0,0.667,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,0.0,0.0,26.666666666666668,0.0,13.333333333333334,0.0,0.0,,,,,,
"McCullough, Jett",Alaska Fairbanks,Great Northwest,https://alaskananooks.com/sports/mens-basketball/stats,official_school_stats_page,"10.0 McCullough, Jett  10 McCullough, Jett 1 0.0 10 2 4 0.5 1 2 0.5 1 2 0.5 6 6.0 || 10.0 McCullough, Jett  10 McCullough, Jett 1 10.0 0.5 0.5 0.5 1.0 1.0 2.0 0.0 3.0 0.0 6.0",1.0,10.0,10.0,0.5,4.0,0.5,0.5,2.0,0.5,0.5,2.0,0.5,6.0,6.0,1.0,1.0,2.0,2.0,,0.0,,3.0,0.0,0.0,,3.0,0.0,24.0,8.0,0.0,12.0,0.0,,,,,,
"Chase, Ephraim",Roosevelt,Great Lakes Intercollegiate,https://rooseveltlakers.com/sports/mens-basketball/stats,official_school_stats_page,"14.0 Chase, Ephraim  14 Chase, Ephraim 1 0.0 4 1 2 0.5 0 0 0.0 2 2 1.0 4 4.0 || 14.0 Chase, Ephraim  14 Chase, Ephraim 1 4.0 0.5 0.0 1.0 0.0 0.0 0.0 1.0 1.0 0.0 4.0",1.0,4.0,4.0,0.5,2.0,0.5,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,1.0,,1.0,0.0,1.0,,1.0,0.0,40.0,0.0,10.0,10.0,0.0,,,,,,
"Gigo, Anderson",Roosevelt,Great Lakes Intercollegiate,https://rooseveltlakers.com/sports/mens-basketball/stats,official_school_stats_page,"30.0 Gigo, Anderson  30 Gigo, Anderson 3 0.0 11 2 4 0.5 0 1 0.0 0 0 0.0 4 1.3 || 30.0 Gigo, Anderson  30 Gigo, Anderson 3 3.7 0.5 0.0 0.0 0.0 0.7 0.7 0.0 0.0 0.0 1.3",3.0,3.7,1.2333333333333334,0.5,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.4333333333333333,0.0,0.7,0.7,0.2333333333333333,,0.0,,0.0,0.0,0.0,,0.0,0.0,14.054054054054056,7.567567567567567,0.0,0.0,0.0,,,,,,
Malikai Delgado,Bridgeport,Central Athletic,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport?view=lineup,official_school_stats_page,5 Malikai  Delgado RS-Jr. G/F 4 2 67 12-31 38.7 3-6 50.0 0-1 0.0 27 || 5 Malikai  Delgado RS-Jr. G/F 4 2 4 9 13 11 8 7 1 || 5 Malikai  Delgado RS-Jr. G/F 4 2 7 0 1.4,4.0,67.0,16.75,12.0,31.0,38.7,3.0,6.0,50.0,0.0,1.0,0.0,27.0,6.75,4.0,9.0,13.0,3.25,7.0,11.0,8.0,7.0,1.0,2.75,2.0,1.75,0.25,16.119402985074625,7.761194029850747,6.567164179104478,4.17910447761194,0.5970149253731343,4.776119402985074,,,,,
Javelle Epps,Bridgeport,Central Athletic,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport?view=lineup,official_school_stats_page,25 Javelle  Epps Fr. 4 0 12 2-4 50.0 2-2 100.0 0-0 - 6 || 25 Javelle  Epps Fr. 4 0 0 1 1 0 1 0 0 || 25 Javelle  Epps Fr. 4 0 1 0 0.0,4.0,12.0,3.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,0.0,,6.0,1.5,0.0,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,20.0,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335,,,,,
"Turone Kelley, Jr.",Bridgeport,Central Athletic,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport?view=lineup,official_school_stats_page,"7 Turone  Kelley, Jr. Jr. F 5 0 12 1-4 25.0 0-1 0.0 0-0 - 2 || 7 Turone  Kelley, Jr. Jr. F 5 0 1 2 3 0 1 0 0 || 7 Turone  Kelley, Jr. Jr. F 5 0 0 0 0.0",5.0,12.0,2.4,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.4,1.0,2.0,3.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,6.666666666666667,10.0,0.0,0.0,0.0,3.3333333333333335,,,,,
Glenn Manigault III,Bridgeport,Central Athletic,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport?view=lineup,official_school_stats_page,12 Glenn  Manigault III RS-So. G 5 1 14 0-4 0.0 0-1 0.0 0-0 - 0 || 12 Glenn  Manigault III RS-So. G 5 1 0 0 0 0 0 0 1 || 12 Glenn  Manigault III RS-So. G 5 1 4 0 -,5.0,14.0,2.8,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.857142857142857,0.0,,,,,
