bucket,first_target_season,count
d1_source_stats_found,2023-24,2
d1_source_stats_found,2024-25,7
d1_source_stats_found,2025-26,4
exclude or check earlier playable season before adding,2024-25,1
find JUCO prior team and source-season stats from school/VC/official pages,2022-23,3
