player_name,team,conference,gp,min,mpg,ppg,rpg,raw_apg,raw_topg,raw_spg,raw_bpg,raw_ast_per_40,raw_tov_per_40,raw_stl_per_40,raw_blk_per_40,assist_stats_suspicious,turnover_stats_suspicious,steal_stats_suspicious,block_stats_suspicious
Jett McCullough,Alaska Fairbanks,Great Northwest,1.0,10.0,10.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0,8.0,12.0,0.0,False,False,True,False
Daviawne Crim,Thomas More,Great Midwest Athletic,1.0,19.0,19.0,12.0,3.0,1.0,46.0,2.0,0.0,2.1052631578947367,96.84210526315789,4.2105263157894735,0.0,False,True,False,False
Aaron Murphy,Newman University,Mid-America Intercollegiate,1.0,19.0,19.0,2.0,3.0,0.0,23.0,1.0,0.0,0.0,48.421052631578945,2.1052631578947367,0.0,False,True,False,False
Ganden Gosch,Minnesota State Mankato,Northern Sun Intercollegiate,1.0,11.0,11.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,83.63636363636364,0.0,0.0,False,True,False,False
