first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2025-26,Oregon State,Stephen Olowoniyi,2025-26,Oregon State,WCC,JR,F,8,0,4.6,36.8,0.11499999999999999,1.4,0.5,0.0,0.0,0.3,0.3,0.417,0.0,0.5,0.417,0.4289215686274509,0.0,0.19999999999999998,5.3,0.425,21.7,-0.1,0.0,0.0,-0.039,-8.5,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html
2025-26,Oregon State,Yaak Yaak,2025-26,Oregon State,WCC,JR,F,25,9,15.1,377.5,0.3775,6.6,2.2,0.4,0.3,0.5,1.0,0.51,0.273,0.829,0.526,0.632183908045977,0.10256410256410257,0.7692307692307693,16.3,0.619,22.5,0.8,0.3,1.1,0.113,0.7,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html
2022-23,Pacific,Donovan Williams,2022-23,Pacific,WCC,JR,G,30,27,23.0,690.0,0.575,7.1,3.6,1.0,0.5,0.1,0.8,0.381,0.315,0.697,0.429,0.4916897506925207,0.30508474576271183,0.5084745762711864,11.3,0.488,17.9,0.8,0.3,1.1,0.063,-2.0,https://www.sports-reference.com/cbb/players/donovan-williams-4.html
2022-23,Pacific,Jordan Ivy-Curry,2022-23,Pacific,WCC,JR,G,33,7,20.0,660.0,0.5,10.3,2.6,1.5,0.5,0.0,1.2,0.422,0.341,0.864,0.5,0.5537634408602151,0.451219512195122,0.30487804878048785,17.6,0.551,26.9,1.4,0.3,1.8,0.107,0.5,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html
2022-23,Pacific,Judson Martindale,2022-23,Pacific,WCC,JR,G,33,19,20.4,673.1999999999999,0.51,6.5,2.4,1.1,0.4,0.4,1.4,0.475,0.4,0.761,0.563,0.6000738552437224,0.43750000000000006,0.2916666666666667,11.4,0.592,17.1,0.6,0.4,1.0,0.057,-1.1,https://www.sports-reference.com/cbb/players/judson-martindale-1.html
2022-23,Pacific,Keylan Boone,2022-23,Pacific,WCC,SR,G,27,20,23.1,623.7,0.5775,13.9,4.2,0.8,0.6,0.4,1.1,0.477,0.41,0.814,0.582,0.6113652357494722,0.5096153846153846,0.21153846153846154,23.1,0.607,27.6,2.0,0.5,2.5,0.159,4.4,https://www.sports-reference.com/cbb/players/keylan-boone-1.html
2022-23,Pacific,Tyler Beard,2022-23,Pacific,WCC,SO,G,32,11,22.2,710.4,0.5549999999999999,9.1,2.6,2.6,0.7,0.1,1.7,0.481,0.429,0.75,0.537,0.5833333333333333,0.26865671641791045,0.3731343283582089,16.8,0.575,21.8,1.4,0.4,1.7,0.098,1.1,https://www.sports-reference.com/cbb/players/tyler-beard-1.html
2023-24,Pacific,Burke Smith,2023-24,Pacific,WCC,JR,F,30,1,11.4,342.0,0.28500000000000003,4.2,2.0,0.5,0.4,0.2,0.4,0.515,0.333,0.5,0.559,0.553213909378293,0.2647058823529412,0.2647058823529412,15.2,0.556,19.5,0.4,0.1,0.6,0.065,-2.6,https://www.sports-reference.com/cbb/players/burke-smith-1.html
2023-24,Pacific,Lesown Hallums,2023-24,Pacific,WCC,SR,G,31,18,17.9,554.9,0.44749999999999995,6.2,1.6,0.9,0.7,0.0,1.0,0.457,0.28,0.622,0.5,0.5201342281879194,0.30188679245283023,0.2830188679245283,11.1,0.518,20.5,0.1,0.1,0.1,0.011,-6.1,https://www.sports-reference.com/cbb/players/lesown-hallums-1.html
2024-25,Pacific,Elijah Fisher,2024-25,Pacific,WCC,JR,G,33,33,33.7,1112.1000000000001,0.8425,15.7,4.8,1.5,0.7,0.3,2.7,0.483,0.297,0.748,0.51,0.5789085545722714,0.17757009345794392,0.6074766355140188,15.5,0.572,24.9,1.6,0.7,2.3,0.082,-1.1,https://www.sports-reference.com/cbb/players/elijah-fisher-1.html
