status,player_name,source_school_dataset,source_season_dataset,source_profile_team_same_season,source_match,destination_school_dataset,first_big_west_season_dataset,destination_profile_team_same_season,destination_match,profile_url,profile_cache_path,source_url,outcome_url,notes
review,DeSean Allen-Eikens,New Orleans,2021-22,,,Cal State Northridge,2022-23,,,,,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html,no_player_profile_link_found_in_cached_school_pages
review,Josh O'Garro,Texas State,2024-25,,,Cal State Northridge,2025-26,,,,,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,no_player_profile_link_found_in_cached_school_pages
review,Yohan Traore,Auburn,2022-23,,,UC Santa Barbara,2023-24,,,https://www.sports-reference.com/cbb/players/yohan-traore-1.html,,https://www.sports-reference.com/cbb/schools/auburn/men/2023.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2024.html,player_profile_not_cached
review,Trevon Taylor,James Madison,2020-21,,,Cal Poly,2021-22,,,https://www.sports-reference.com/cbb/players/trevon-taylor-1.html,,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html,player_profile_not_cached
review,Ty Johnson,Loyola Chicago,2021-22,,,UC Davis,2022-23,,,,,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2023.html,no_player_profile_link_found_in_cached_school_pages
review,Dailin Smith,Alabama A&M,2022-23,,,Cal State Bakersfield,2025-26,,,,,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,no_player_profile_link_found_in_cached_school_pages
review,J.P. Moorman II,Temple,2020-21,,,UC Riverside,2021-22,,,,,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,no_player_profile_link_found_in_cached_school_pages
review,Kyle Owens,Montana,2021-22,,,UC Riverside,2022-23,,,https://www.sports-reference.com/cbb/players/kyle-owens-1.html,,https://www.sports-reference.com/cbb/schools/montana/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,player_profile_not_cached
review,Dre Bullock,South Dakota,2024-25,,,Hawaii,2025-26,,,,,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html,https://hawaiiathletics.com/sports/mens-basketball/stats/2025-26,no_player_profile_link_found_in_cached_school_pages
review,Kane Milling,Nevada,2020-21,,,UC Davis,2021-22,,,https://www.sports-reference.com/cbb/players/kane-milling-1.html,,https://www.sports-reference.com/cbb/schools/nevada/men/2021.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2022.html,player_profile_not_cached
review,Marvin McGhee IV,Cal State Bakersfield,2024-25,,,UC Santa Barbara,2025-26,,,https://www.sports-reference.com/cbb/players/marvin-mcghee-iv-1.html,,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,player_profile_not_cached
review,Harrison Carrington,Colorado,2024-25,,,UC Irvine,2025-26,,,https://www.sports-reference.com/cbb/players/harrison-carrington-1.html,,https://www.sports-reference.com/cbb/schools/colorado/men/2025.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2026.html,player_profile_not_cached
review,Osiris Grady,Utah Valley,2024-25,,,UC Riverside,2025-26,,,https://www.sports-reference.com/cbb/players/osiris-grady-1.html,,https://www.sports-reference.com/cbb/schools/utah-valley/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,player_profile_not_cached
review,Onyi Eyisi,Fordham,2020-21,,,Cal State Northridge,2021-22,,,https://www.sports-reference.com/cbb/players/onyi-eyisi-1.html,,https://www.sports-reference.com/cbb/schools/fordham/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2022.html,player_profile_not_cached
review,Ronald Jessamy,Tennessee State,2024-25,,,Cal State Bakersfield,2025-26,,,,,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html,https://gorunners.com/sports/mens-basketball/stats/2025-26,no_player_profile_link_found_in_cached_school_pages
review,Joel Armotrading,Cal Poly,2023-24,,,UC Riverside,2024-25,,,https://www.sports-reference.com/cbb/players/joel-armotrading-1.html,,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2025.html,player_profile_not_cached
review,Jarred Hyder,California,2021-22,,,Cal Poly,2023-24,,,https://www.sports-reference.com/cbb/players/jarred-hyder-1.html,,https://www.sports-reference.com/cbb/schools/california/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,player_profile_not_cached
review,Marcus Tsohonis,VCU,2021-22,,,Long Beach State,2022-23,,,,,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,no_player_profile_link_found_in_cached_school_pages
review,Jordan Brinson,Fresno State,2022-23,,,Cal State Northridge,2023-24,,,https://www.sports-reference.com/cbb/players/jordan-brinson-1.html,,https://www.sports-reference.com/cbb/schools/fresno-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,player_profile_not_cached
review,Jamal Hartwell II,George Mason,2021-22,,,UC Riverside,2022-23,,,https://www.sports-reference.com/cbb/players/jamal-hartwell-ii-1.html,,https://www.sports-reference.com/cbb/schools/george-mason/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,player_profile_not_cached
review,Kyle Evans,Colorado State,2023-24,,,UC Irvine,2024-25,,,https://www.sports-reference.com/cbb/players/kyle-evans-1.html,,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2025.html,player_profile_not_cached
review,Justin Rochelin,Oregon State,2023-24,,,UC San Diego,2024-25,,,https://www.sports-reference.com/cbb/players/justin-rochelin-2.html,,https://www.sports-reference.com/cbb/schools/oregon-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html,player_profile_not_cached
review,B.J. Kolly,Montana State,2024-25,,,UC Riverside,2025-26,,,,,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,no_player_profile_link_found_in_cached_school_pages
review,Pierre Crockrell II,Pacific,2021-22,,,UC Irvine,2022-23,,,https://www.sports-reference.com/cbb/players/pierre-crockrellii-1.html,,https://www.sports-reference.com/cbb/schools/pacific/men/2022.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2023.html,player_profile_not_cached
review,Derrick Michael Xzavierro,GCU,2023-24,,,Long Beach State,2024-25,,,,,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,no_player_profile_link_found_in_cached_school_pages
review,Jacob Davison,Eastern Washington,2020-21,,,Cal Poly,2021-22,,,https://www.sports-reference.com/cbb/players/jacob-davison-1.html,,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html,player_profile_not_cached
review,Tyler Beard,Pacific,2023-24,,,Cal State Northridge,2024-25,,,https://www.sports-reference.com/cbb/players/tyler-beard-1.html,,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,player_profile_not_cached
review,Luke Turner,Wofford,2021-22,,,UC Riverside,2022-23,,,https://www.sports-reference.com/cbb/players/luke-turner-1.html,,https://www.sports-reference.com/cbb/schools/wofford/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,player_profile_not_cached
review,Donovan Oday,McNeese,2022-23,,,Cal State Fullerton,2023-24,,,,,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,no_player_profile_link_found_in_cached_school_pages
review,Emmanuel Tshimanga,UC Irvine,2021-22,,,UC San Diego,2022-23,,,,,https://www.sports-reference.com/cbb/schools/california-irvine/men/2022.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2023.html,no_player_profile_link_found_in_cached_school_pages
review,Kieves Turner,San Diego,2023-24,,,UC Santa Barbara,2024-25,,,,,https://www.sports-reference.com/cbb/schools/san-diego/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,no_player_profile_link_found_in_cached_school_pages
review,Max Murrell,Stanford,2023-24,,,UC Santa Barbara,2024-25,,,https://www.sports-reference.com/cbb/players/max-murrell-1.html,,https://www.sports-reference.com/cbb/schools/stanford/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,player_profile_not_cached
review,Shaquil Bender,Manhattan,2024-25,,,Long Beach State,2025-26,,,https://www.sports-reference.com/cbb/players/shaquil-bender-1.html,,https://www.sports-reference.com/cbb/schools/manhattan/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,player_profile_not_cached
review,Isaiah Lewis,Little Rock,2024-25,,,Long Beach State,2025-26,,,https://www.sports-reference.com/cbb/players/isaiah-lewis-4.html,,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,player_profile_not_cached
review,A.J. George,SMU,2024-25,,,Cal State Bakersfield,2025-26,,,,,https://www.sports-reference.com/cbb/schools/southern-methodist/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,no_player_profile_link_found_in_cached_school_pages
review,Marcus Greene,Houston Christian,2023-24,,,Hawaii,2024-25,,,https://www.sports-reference.com/cbb/players/marcus-greene-1.html,,https://www.sports-reference.com/cbb/schools/houston-baptist/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,player_profile_not_cached
review,Ben Griscti,Incarnate Word,2022-23,,,UC Riverside,2023-24,,,,,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html,https://gohighlanders.com/sports/mens-basketball/stats/2023-24,no_player_profile_link_found_in_cached_school_pages
