first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2025-26,San Diego,Toneari Lane,Georgia State,Sun Belt,D1,2024-25,SR,G,33,35.1,13.8,2.9,1.6,0.6,0.1,0.9,.379,.353,.870,.491,https://www.sports-reference.com/cbb/players/toneari-lane-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Diego,Ty-Laur Johnson,Wake Forest,ACC,D1,2024-25,SO,G,29,23.5,6.1,1.9,2.7,1.5,0.3,2.3,.350,.241,.831,.393,https://www.sports-reference.com/cbb/players/ty-laur-johnson-2.html,add_transfer_row_and_d1_source_stats
2022-23,San Francisco,Marcus Williams,Texas A&M,SEC,D1,2021-22,SO,G,27,24.5,7.9,2.2,3.4,1.3,0.1,2.7,.362,.283,.610,.425,https://www.sports-reference.com/cbb/players/marcus-williams-24.html,add_transfer_row_and_d1_source_stats
2022-23,San Francisco,Saba Gigiberia,Georgia Tech,ACC,D1,2021-22,SO,F,15,7.9,2.5,2.3,0.7,0.3,0.4,0.7,.485,,.600,.485,https://www.sports-reference.com/cbb/players/saba-gigiberia-1.html,add_transfer_row_and_d1_source_stats
2022-23,San Francisco,Toni Rocak,UC San Diego,Big West,D1,2021-22,SR,F,27,26.9,15.2,6.5,2.0,1.1,0.6,3.8,.465,.250,.671,.480,https://www.sports-reference.com/cbb/players/toni-rocak-1.html,add_transfer_row_and_d1_source_stats
2022-23,San Francisco,Tyrell Roberts,Washington State,Pac-12,D1,2021-22,JR,G,36,29.3,11.4,2.6,2.0,0.7,0.0,1.5,.355,.344,.925,.460,https://www.sports-reference.com/cbb/players/tyrell-roberts-1.html,add_transfer_row_and_d1_source_stats
2023-24,San Francisco,Jonathan Mogbo,Missouri State,MVC,D1,2022-23,JR,F,30,24.4,8.0,7.0,1.4,1.3,1.1,1.7,.589,,.432,.589,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,add_transfer_row_and_d1_source_stats
2023-24,San Francisco,Malik Thomas,Southern California,Pac-12,D1,2022-23,SO,G,27,8.1,2.4,1.0,0.3,0.4,0.0,0.5,.365,.263,.737,.405,https://www.sports-reference.com/cbb/players/malik-thomas-2.html,add_transfer_row_and_d1_source_stats
2023-24,San Francisco,Mike Sharavjamts,Dayton,A-10,D1,2022-23,FR,F,32,23.1,5.6,1.9,2.6,0.4,0.3,1.5,.388,.315,.677,.476,https://www.sports-reference.com/cbb/players/mike-sharavjamts-1.html,add_transfer_row_and_d1_source_stats
2023-24,San Francisco,Robby Beasley,UC Davis,Big West,D1,2022-23,JR,G,24,27.1,9.4,3.0,1.2,0.7,0.1,1.1,.420,.424,.725,.540,https://www.sports-reference.com/cbb/players/robby-beasley-1.html,add_transfer_row_and_d1_source_stats
2023-24,San Francisco,Stefan Todorovic,SMU,AAC,D1,2022-23,SO,F,31,16.6,5.5,2.4,0.4,0.5,0.2,0.6,.352,.316,.822,.459,https://www.sports-reference.com/cbb/players/stefan-todorovic-1.html,add_transfer_row_and_d1_source_stats
2024-25,San Francisco,Carlton Linguard,UTSA,AAC,D1,2023-24,SR,F,32,25.3,9.3,6.2,0.8,0.2,1.5,0.8,.418,.306,.792,.490,https://www.sports-reference.com/cbb/players/carlton-linguardjr-1.html,add_transfer_row_and_d1_source_stats
2024-25,San Francisco,Jason Rivera-Torres,Vanderbilt,SEC,D1,2023-24,FR,G,29,15.4,6.4,3.1,0.6,0.9,0.2,0.9,.333,.241,.764,.391,https://www.sports-reference.com/cbb/players/jason-rivera-torres-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Francisco,Aidan Braccia,Belmont,MVC,D1,2024-25,SO,G,2,4.0,1.5,0.0,0.5,0.0,0.0,0.0,.500,.500,,.750,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Francisco,David Fuchs,Rhode Island,A-10,D1,2024-25,SO,F,29,20.7,7.4,7.5,0.9,0.6,0.4,1.4,.587,.294,.594,.607,https://www.sports-reference.com/cbb/players/david-fuchs-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Francisco,Guillermo Diaz Graham,Pittsburgh,ACC,D1,2024-25,JR,F,32,23.2,6.2,5.0,1.5,0.5,0.7,0.9,.423,.316,.676,.534,https://www.sports-reference.com/cbb/players/guillermo-diaz-graham-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Francisco,Isa Silva,Long Beach State,Big West,D1,2023-24,JR,G,36,12.5,2.4,1.1,1.2,0.5,0.1,0.7,.340,.250,.550,.380,https://www.sports-reference.com/cbb/players/isa-silva-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Francisco,Mookie Cook,Oregon,Big Ten,D1,2024-25,SO,F,24,4.3,1.1,0.5,0.1,0.2,0.2,0.0,.588,.444,.500,.706,https://www.sports-reference.com/cbb/players/mookie-cook-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Francisco,Vukasin Masic,Portland,WCC,D1,2024-25,SR,G,27,27.9,10.5,3.2,3.3,0.6,0.0,1.4,.417,.362,.787,.518,https://www.sports-reference.com/cbb/players/vukasin-masic-1.html,add_transfer_row_and_d1_source_stats
2022-23,Santa Clara,Brandin Podziemski,Illinois,Big Ten,D1,2021-22,FR,G,16,4.3,1.4,0.9,0.3,0.1,0.0,0.3,.421,.231,.750,.500,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html,add_transfer_row_and_d1_source_stats
2022-23,Santa Clara,Carlos Marshall,Tennessee State,OVC,D1,2021-22,SR,G,30,26.9,12.8,3.4,1.4,1.0,0.3,2.4,.432,.406,.831,.523,https://www.sports-reference.com/cbb/players/carlos-marshalljr-1.html,add_transfer_row_and_d1_source_stats
2023-24,Santa Clara,Adama Bal,Arizona,Pac-12,D1,2022-23,SO,G,26,8.2,2.5,1.0,0.5,0.3,0.0,0.5,.392,.353,.706,.510,https://www.sports-reference.com/cbb/players/adama-bal-1.html,add_transfer_row_and_d1_source_stats
2023-24,Santa Clara,Francisco Caffaro,Virginia,ACC,D1,2022-23,SR,C,20,8.2,2.0,1.8,0.2,0.1,0.1,0.5,.750,,.556,.750,https://www.sports-reference.com/cbb/players/francisco-caffaro-1.html,add_transfer_row_and_d1_source_stats
2023-24,Santa Clara,Jalen Benjamin,Mount St. Mary's,MAAC,D1,2022-23,SR,G,31,31.5,16.0,2.8,3.8,0.6,0.1,2.8,.418,.368,.791,.478,https://www.sports-reference.com/cbb/players/jalen-benjamin-1.html,add_transfer_row_and_d1_source_stats
2023-24,Santa Clara,Johnny O'Neil,American,Patriot,D1,2022-23,JR,F,30,32.0,11.3,6.6,1.4,0.9,1.7,1.8,.447,.392,.614,.557,https://www.sports-reference.com/cbb/players/johnny-oneil-1.html,add_transfer_row_and_d1_source_stats
2023-24,Santa Clara,Tyeree Bryan,Charleston Southern,Big South,D1,2022-23,SO,G,29,31.4,10.5,5.5,1.8,0.6,0.4,1.1,.452,.421,.757,.529,https://www.sports-reference.com/cbb/players/tyeree-bryan-1.html,add_transfer_row_and_d1_source_stats
2024-25,Santa Clara,Carlos Stewart,Louisiana State,SEC,D1,2023-24,JR,G,13,19.5,4.7,2.2,1.0,0.8,0.1,0.5,.328,.278,.700,.403,https://www.sports-reference.com/cbb/players/carlos-stewart-1.html,add_transfer_row_and_d1_source_stats
2025-26,Santa Clara,Aleksandar Gavalyugov,Villanova,Big East,D1,2024-25,FR,G,4,4.8,2.0,0.0,0.3,0.5,0.0,0.3,.500,.667,,.667,https://www.sports-reference.com/cbb/players/aleksandar-gavalyugov-1.html,add_transfer_row_and_d1_source_stats
2025-26,Santa Clara,Chris Tadjo,Iowa,Big Ten,D1,2024-25,FR,F,11,5.0,1.7,1.2,0.0,0.1,0.2,0.5,.500,.500,.500,.536,https://www.sports-reference.com/cbb/players/chris-tadjo-1.html,add_transfer_row_and_d1_source_stats
2025-26,Santa Clara,Gehrig Normand,Michigan State,Big Ten,D1,2024-25,SO,G,13,2.0,0.6,0.1,0.2,0.0,0.0,0.1,.375,.333,,.500,https://www.sports-reference.com/cbb/players/gehrig-normand-1.html,add_transfer_row_and_d1_source_stats
2025-26,Santa Clara,Juan Reyna,Jackson State,SWAC,D1,2024-25,SR,G,27,15.1,4.1,1.9,0.9,0.4,0.0,0.6,.233,.244,.875,.318,https://www.sports-reference.com/cbb/players/juan-reyna-1.html,add_transfer_row_and_d1_source_stats
2025-26,Washington State,Eemeli Yalaho,Texas Tech,Big 12,D1,2024-25,SO,F,8,11.3,3.3,2.4,0.8,0.3,0.1,0.5,.556,.500,.429,.639,https://www.sports-reference.com/cbb/players/eemeli-yalaho-1.html,add_transfer_row_and_d1_source_stats
2025-26,Washington State,Emmanuel Ugbo,Boise State,MWC,D1,2024-25,SO,F,36,10.0,3.1,2.3,0.2,0.1,0.4,0.5,.482,.227,.788,.512,https://www.sports-reference.com/cbb/players/emmanuel-ugbo-1.html,add_transfer_row_and_d1_source_stats
2025-26,Washington State,Jerone Morton,Morehead State,OVC,D1,2024-25,SO,G,26,29.5,10.4,3.2,3.4,1.3,0.2,1.9,.450,.377,.720,.513,https://www.sports-reference.com/cbb/players/jerone-morton-1.html,add_transfer_row_and_d1_source_stats
2025-26,Washington State,Simon Hildebrandt,High Point,Big South,D1,2024-25,JR,F,25,13.4,5.5,3.0,0.4,0.2,0.2,1.0,.466,.339,.742,.558,https://www.sports-reference.com/cbb/players/simon-hildebrandt-1.html,add_transfer_row_and_d1_source_stats
