first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2024-25,Loyola Marymount,Caleb Stone-Carrawell,Utah Valley,WAC,D1,2023-24,SR,G,32,27.7,11.7,3.4,1.6,0.3,0.2,1.6,.397,.339,.702,.458,https://www.sports-reference.com/cbb/players/caleb-stone-carrawell-1.html,add_transfer_row_and_d1_source_stats
2024-25,Loyola Marymount,Jan Vide,UCLA,Pac-12,D1,2023-24,FR,G,24,7.3,1.9,0.8,0.5,0.2,0.0,0.4,.380,.667,.750,.400,https://www.sports-reference.com/cbb/players/jan-vide-1.html,add_transfer_row_and_d1_source_stats
2024-25,Loyola Marymount,Jevon Porter,Pepperdine,WCC,D1,2023-24,SO,F,21,31.5,16.2,5.9,1.7,0.8,1.0,1.7,.425,.298,.772,.474,https://www.sports-reference.com/cbb/players/jevon-porter-1.html,add_transfer_row_and_d1_source_stats
2024-25,Loyola Marymount,Matar Diop,Nebraska,Big Ten,D1,2023-24,FR,F,19,3.8,0.8,0.9,0.3,0.2,0.2,0.3,.500,.500,.333,.542,https://www.sports-reference.com/cbb/players/matar-diop-1.html,add_transfer_row_and_d1_source_stats
2024-25,Loyola Marymount,MJ Amey,San Jose State,MWC,D1,2023-24,JR,G,32,32.8,15.7,5.1,3.1,1.6,0.3,1.9,.425,.362,.792,.510,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html,add_transfer_row_and_d1_source_stats
2025-26,Loyola Marymount,Jalen Shelley,Southern California,Big Ten,D1,2024-25,FR,F,22,7.6,2.0,1.4,0.5,0.2,0.3,0.2,.385,.176,.550,.423,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html,add_transfer_row_and_d1_source_stats
2025-26,Loyola Marymount,Nakyel Shelton,Eastern Illinois,OVC,D1,2024-25,SR,G,29,34.0,17.0,4.6,2.0,1.6,0.8,2.6,.432,.363,.820,.496,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html,add_transfer_row_and_d1_source_stats
2025-26,Loyola Marymount,Rodney Brown,Virginia Tech,ACC,D1,2024-25,SO,G,18,15.1,4.1,2.1,1.8,0.2,0.1,0.9,.375,.424,.545,.472,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html,add_transfer_row_and_d1_source_stats
2025-26,Loyola Marymount,Rokas Jocius,UCF,Big 12,D1,2024-25,JR,C,25,8.6,2.0,1.6,0.3,0.0,0.2,0.4,.420,.154,.714,.440,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html,add_transfer_row_and_d1_source_stats
2025-26,Loyola Marymount,Tanner Thomas,Sacred Heart,MAAC,D1,2024-25,SR,F,28,30.3,14.5,6.1,1.4,0.6,0.5,1.5,.454,.377,.725,.512,https://www.sports-reference.com/cbb/players/tanner-thomas-1.html,add_transfer_row_and_d1_source_stats
2025-26,Oregon State,Dez White,Missouri State,MVC,D1,2024-25,SO,G,31,34.3,14.0,2.8,2.5,1.0,0.3,1.5,.383,.371,.823,.492,https://www.sports-reference.com/cbb/players/dez-white-1.html,add_transfer_row_and_d1_source_stats
2025-26,Oregon State,Jorge Diaz Graham,Pittsburgh,ACC,D1,2024-25,JR,F,29,7.2,3.1,0.9,0.2,0.3,0.1,0.1,.519,.476,.813,.704,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html,add_transfer_row_and_d1_source_stats
2025-26,Oregon State,Malcolm Christie,Oakland,Horizon,D1,2024-25,SR,G,32,20.0,8.3,1.2,0.4,0.3,0.1,0.6,.328,.321,.698,.477,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html,add_transfer_row_and_d1_source_stats
2025-26,Oregon State,Noah Amenhauser,Coastal Carolina,Sun Belt,D1,2024-25,SO,C,31,22.3,10.8,6.0,0.8,0.3,0.8,1.9,.557,.400,.636,.566,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html,add_transfer_row_and_d1_source_stats
