player_name,d2_school,d1_school,first_d1_season,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Isaiah Kerr,Chico State,Hawaii,2025-26,2025-26,Hawaii,Big West,JR,G,31,0,20.6,638.6,0.515,6.4,2.4,1.4,0.7,0.3,1.0,0.409,0.273,0.707,0.482,0.5215123859191656,0.5283018867924528,0.3584905660377358,10.9,0.519,16.8,0.5,1.3,1.8,0.113,0.4,https://www.sports-reference.com/cbb/players/isaiah-kerr-1.html
Joel Murray,West Texas A&M,Long Beach State,2021-22,2021-22,Long Beach State,Big West,JR,G,33,30,32.1,1059.3,0.8025,16.7,3.0,2.8,1.5,0.1,2.5,0.449,0.371,0.853,0.479,0.5509369226708893,0.16153846153846155,0.37692307692307697,19.2,0.543,27.4,2.2,1.2,3.5,0.131,1.3,https://www.sports-reference.com/cbb/players/joel-murray-1.html
Rob Diaz III,Cal Poly Humboldt,Long Beach State,2025-26,2025-26,Long Beach State,Big West,,G,32,14,22.0,704.0,0.55,8.1,3.6,2.6,1.2,0.3,1.0,0.446,0.329,0.807,0.5,0.5405766150560598,0.3283582089552239,0.26865671641791045,16.8,0.539,19.3,1.0,1.1,2.1,0.118,2.8,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html
Jailen Daniel-Dalton,San Francisco State,UC Riverside,2025-26,2025-26,UC Riverside,Big West,SR,F,26,17,23.2,603.1999999999999,0.58,6.0,4.0,0.9,0.6,0.5,1.0,0.458,0.179,0.684,0.488,0.5387931034482759,0.32608695652173914,0.47826086956521746,10.7,0.53,14.1,0.5,0.6,1.1,0.073,-2.6,https://www.sports-reference.com/cbb/players/jailen-daniel-dalton-1.html
"De'Undrae Perteete, Jr.",Westmont,UC Riverside,2025-26,2025-26,UC Riverside,Big West,,G,27,21,27.6,745.2,0.6900000000000001,6.7,3.2,2.4,0.9,0.2,0.9,0.46,0.416,0.727,0.587,0.6199111769059956,0.6170212765957447,0.3404255319148936,11.9,0.613,11.4,1.1,0.7,1.8,0.097,-1.2,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html
Andrew Henderson,Cal State San Bernardino,UC Riverside,2025-26,2025-26,UC Riverside,Big West,SR,G,32,29,33.3,1065.6,0.8324999999999999,18.1,4.9,2.0,0.9,0.8,2.1,0.408,0.339,0.795,0.495,0.5311032863849766,0.5096774193548387,0.22580645161290322,16.6,0.528,28.5,1.3,1.1,2.4,0.091,0.6,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html
Aniwaniwa Tait-Jones,Hawaii–Hilo,UC San Diego,2023-24,2023-24,UC San Diego,Big West,JR,F,33,33,29.6,976.8000000000001,0.74,13.8,5.8,2.9,1.1,0.3,2.2,0.561,0.346,0.731,0.577,0.631868131868132,0.09411764705882353,0.6470588235294118,22.7,0.622,23.5,3.0,1.5,4.5,0.186,3.3,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html
Tyler McGhie,Southern Nazarene,UC San Diego,2023-24,2023-24,UC San Diego,Big West,JR,G,23,0,28.6,657.8000000000001,0.7150000000000001,13.9,2.9,1.3,0.5,0.2,0.3,0.44,0.414,0.647,0.575,0.5811036789297659,0.6460176991150441,0.1327433628318584,19.2,0.582,22.6,2.0,0.7,2.7,0.162,4.0,https://www.sports-reference.com/cbb/players/tyler-mcghie-1.html
Hayden Gray,Azusa Pacific,UC San Diego,2023-24,2023-24,UC San Diego,Big West,JR,G,33,33,32.7,1079.1000000000001,0.8175000000000001,9.0,4.2,3.8,1.7,0.5,1.7,0.472,0.343,0.831,0.521,0.5639097744360902,0.28169014084507044,0.28169014084507044,16.1,0.563,15.5,2.0,1.7,3.7,0.136,2.5,https://www.sports-reference.com/cbb/players/hayden-gray-1.html
Nordin Kapić,Lynn,UC San Diego,2024-25,2024-25,UC San Diego,Big West,JR,F,34,33,25.0,850.0,0.625,10.7,5.2,1.2,0.8,0.4,1.3,0.39,0.307,0.748,0.481,0.531597774244833,0.5977011494252874,0.35632183908045983,16.1,0.526,24.0,1.3,2.1,3.5,0.163,1.1,https://www.sports-reference.com/cbb/players/nordin-kapic-1.html
Miloš Vićentić,McKendree,UC San Diego,2024-25,2024-25,UC San Diego,Big West,SR,F,1,0,20.0,20.0,0.5,3.0,5.0,0.0,0.0,0.0,1.0,0.167,1.0,0.0,0.25,0.25,0.16666666666666666,0.0,-1.6,0.25,18.3,-0.1,0.0,0.0,-0.029,-5.9,https://www.sports-reference.com/cbb/players/milos-vicentic-1.html
Maximo Milovich,Biola,UC San Diego,2024-25,2024-25,UC San Diego,Big West,SR,C,33,2,13.3,438.90000000000003,0.3325,2.3,2.8,0.8,0.2,0.2,0.3,0.604,0.25,0.5,0.623,0.6169527896995707,0.125,0.37499999999999994,11.7,0.608,8.8,0.8,1.0,1.7,0.159,-1.0,https://www.sports-reference.com/cbb/players/maximo-milovich-1.html
Leo Beath,Lynn,UC San Diego,2025-26,2025-26,UC San Diego,Big West,JR,F,34,33,30.1,1023.4000000000001,0.7525000000000001,12.2,5.1,1.6,1.2,0.4,1.5,0.429,0.329,0.74,0.5,0.538298623367455,0.4356435643564357,0.2772277227722772,15.0,0.533,21.5,1.0,2.0,3.0,0.118,0.0,https://www.sports-reference.com/cbb/players/leo-beath-1.html
Emanuel Prospere II,Missouri–St. Louis,UC San Diego,2025-26,2025-26,UC San Diego,Big West,,F,28,22,22.1,618.8000000000001,0.5525,8.0,3.8,3.1,1.7,0.2,2.0,0.494,0.206,0.609,0.514,0.5333333333333333,0.18749999999999997,0.390625,16.2,0.534,21.7,0.4,1.5,1.9,0.122,1.2,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html
