first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2022-23,BYU,brigham-young,Noah Waterman,noah waterman,JR,F,6-11,210,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Detroit Mercy,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Richie Saunders,richie saunders,FR,G,6-5,200,https://www.sports-reference.com/cbb/players/richie-saunders-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Rudi Williams,rudi williams,SR,G,6-3,182,https://www.sports-reference.com/cbb/players/rudi-williams-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Coastal Carolina,Sun Belt,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Spencer Johnson,spencer johnson,SR,G,6-5,175,https://www.sports-reference.com/cbb/players/spencer-johnson-2.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,returning_same_roster,cached,2021-22,Brigham Young,WCC,D1,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Tanner Toolson,tanner toolson,FR,G,6-5,195,https://www.sports-reference.com/cbb/players/tanner-toolson-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Tredyn Christensen,tredyn christensen,SR,G,6-7,235,https://www.sports-reference.com/cbb/players/tredyn-christensen-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,TRUE,find_source_stats_or_review,possible_transfer
2022-23,BYU,brigham-young,Trey Stewart,trey stewart,SO,G,6-2,189,https://www.sports-reference.com/cbb/players/trey-stewart-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,returning_same_roster,cached,2021-22,Brigham Young,WCC,D1,FALSE,,returning_or_freshman
2021-22,Gonzaga,gonzaga,Andrew Nembhard,andrew nembhard,SR,G,6-5,193,https://www.sports-reference.com/cbb/players/andrew-nembhard-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Anton Watson,anton watson,JR,F,6-8,225,https://www.sports-reference.com/cbb/players/anton-watson-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,2020-21,Gonzaga,WCC,D1,FALSE,,needs_prior_roster_cache
2021-22,Gonzaga,gonzaga,Ben Gregg,ben gregg,FR,F,6-10,225,https://www.sports-reference.com/cbb/players/ben-gregg-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,cached,2020-21,Gonzaga,WCC,D1,FALSE,,needs_prior_roster_cache
