model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
elastic_net,ok,2.90251698868215,4.9437596598680145,-0.0595515090489902,0.07540206822890515,2.5673504599157906,4.377123551514303,
mean_baseline,baseline,2.918513674197384,4.832359401375956,-0.012338676573659724,-0.14810612755669422,2.918513674197384,4.832359401375956,predicts the training-set mean impact score for every row
rf_500_depth4_leaf4,ok,2.9434042598530477,4.964079607153511,-0.06827939183145282,-0.12538504130865263,2.3089522791486443,4.001200192353204,
extra_trees_500_leaf4,ok,2.962403731701749,4.923372403697022,-0.05083069359213299,-0.12029893399613012,2.645445125396629,4.362912211582323,
rf_300_depth3_leaf5,ok,2.9903279222456143,4.991118157102508,-0.07994858057731657,-0.06393495614358269,2.4470373000149563,4.096370908730408,
ridge_alpha_10,ok,3.068641093063502,5.1779705487072105,-0.1623221854448269,0.0434003706371472,2.422150964834011,4.198741185908369,
lightgbm_more_regularized,ok,3.250541631139729,5.16591769306739,-0.15691736650106147,-0.009730704124466262,1.91230498833972,3.365961583219179,
gradient_boosting_shallow,ok,3.2714996587103164,5.216855975147202,-0.17984530755865702,-0.07443782963297982,2.226014381898979,3.5363525013099815,
lightgbm_small_leaf,ok,3.3808099120349198,5.385707705633299,-0.2574563972160697,-0.06992152216262386,1.4027386285052685,2.7307727170789753,
hist_gradient_boosting_l2,ok,3.381989456975222,5.402224886591736,-0.26518109551732794,-0.0965895390558621,1.1651122426396654,2.602579674855569,
ridge_alpha_1,ok,3.8267253748004233,6.09340514181338,-0.609635289451602,-0.01816391727869887,2.2761080101531213,4.002552290322988,
