target_conference,first_target_season,destination_school,player_name,source_school_or_label,source_level,source_season,sports_reference_player_url,candidate_action,needed
Missouri Valley,2024-25,Belmont,Aidan Braccia,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Missouri Valley,2022-23,Evansville,Yacine Toumi,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/yacine-toumi-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Missouri Valley,2022-23,Missouri State,Jonathan Mogbo,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
Missouri Valley,2022-23,Valparaiso,Jerome Palm,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/jerome-palm-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
