player_name,source_school,source_season,source_conference_raw,source_level,likely_massey_name,massey_search_note,destination_school,target_conference
Sydney Shipp,Occidental,2022-23,SCIAC,D2,Southern California Intercollegiate Athletic Conference,Massey often abbreviates this as Southern Cal IAC,Cal State Fullerton,Big West
Jaden Clayton,Maine,2024-25,AmEast,D1,America East,Also search America East / America E / Am East,Pacific,WCC
Tim Moore,NJIT,2024-25,AmEast,D1,America East,Also search America East / America E / Am East,San Diego,WCC
Vukasin Masic,Maine,2021-22,AmEast,D1,America East,Also search America East / America E / Am East,Portland,WCC
Alex Leiba,Penn State Harrisburg,2023-24,United East,D2,United East,May appear as United East,Pepperdine,WCC
Noah Jordan,West Virginia State,2022-23,Mountain East,D2,Mountain East Conference,May appear as Mountain East,Portland,WCC
Elliyas Delaire,Lewis & Clark,2021-22,Northwest,D2,Northwest Conference or Great Northwest Athletic Conference,"Need verify source school: if Western Oregon, likely GNAC/Great Northwest, not Northwest",San Diego,WCC
