first_big_west_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,already_in_inbound_transfers,already_in_inbound_same_program,inbound_matched_first_big_west_season,inbound_source_school,inbound_source_level,model_ready_playable,model_source_level,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2022-23,Cal Poly,cal-poly,Bryan Penn-Johnson,bryan penn johnson,JR,C,7-0,260,https://www.sports-reference.com/cbb/players/bryan-penn-johnson-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2020-21,Louisiana State,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_missing_transfer
2022-23,Cal Poly,cal-poly,Chance Hunter,chance hunter,SR,G,6-6,190,https://www.sports-reference.com/cbb/players/chance-hunter-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,California Baptist,D1,TRUE,D1,cached,2021-22,California Baptist,WAC,D1,TRUE,already_in_transfer_table,already_in_transfer_table
2022-23,Cal Poly,cal-poly,Cole Haller,cole haller,FR,F,6-7,185,https://www.sports-reference.com/cbb/players/cole-haller-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal Poly,cal-poly,Isaac Spears,isaac spears,SO,G,6-4,170,https://www.sports-reference.com/cbb/players/isaac-spears-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,Montana State,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2022-23,Cal Poly,cal-poly,Martin Cohen,martin cohen,FR,G,,,https://www.sports-reference.com/cbb/players/martin-cohen-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal Poly,cal-poly,Nick Fleming,nick fleming,SR,G,6-1,165,https://www.sports-reference.com/cbb/players/nick-fleming-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,Southern Utah,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Cam Malray,cam malray,JR,F,6-8,220,https://www.sports-reference.com/cbb/players/cam-malray-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,TRUE,TRUE,2023-24,Dodge City Community College,JUCO,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Jackson Mosley,jackson mosley,FR,G,5-10,170,https://www.sports-reference.com/cbb/players/jackson-mosley-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2023-24,Cal Poly,cal-poly,Jarred Hyder,jarred hyder,SR,G,6-3,180,https://www.sports-reference.com/cbb/players/jarred-hyder-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,TRUE,TRUE,2023-24,California,D1,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Joel Armotrading,joel armotrading,JR,C,6-10,225,https://www.sports-reference.com/cbb/players/joel-armotrading-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,TRUE,TRUE,2023-24,College of Southern Idaho,JUCO,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Justin Page,justin page,FR,G,6-5,185,https://www.sports-reference.com/cbb/players/justin-page-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2023-24,Cal Poly,cal-poly,Paul Bizimana,paul bizimana,JR,F,6-8,185,https://www.sports-reference.com/cbb/players/paul-bizimana-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,TRUE,TRUE,2023-24,Eastern Illinois,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Quentin Jones,quentin jones,FR,G,6-5,170,https://www.sports-reference.com/cbb/players/quentin-jones-3.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2023-24,Cal Poly,cal-poly,Tuukka Jaakkola,tuukka jaakkola,SR,F,6-10,240,https://www.sports-reference.com/cbb/players/tuukka-jaakkola-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2022-23,Did not play - dnp,,NO_STATS,TRUE,do_not_use_as_source_stat_row_without_earlier_playable_season,possible_missing_transfer
2024-25,Cal Poly,cal-poly,Cayden Ward,cayden ward,FR,G,6-5,185,https://www.sports-reference.com/cbb/players/cayden-ward-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2024-25,Cal Poly,cal-poly,Eric Brown,eric brown,SO,F,6-8,225,https://www.sports-reference.com/cbb/players/eric-brown-5.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2023-24,Did not play - dnp,,NO_STATS,TRUE,do_not_use_as_source_stat_row_without_earlier_playable_season,possible_missing_transfer
2024-25,Cal Poly,cal-poly,Ethan Menzies,ethan menzies,SR,F,6-7,215,https://www.sports-reference.com/cbb/players/ethan-menzies-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,Colorado Mesa,D2,TRUE,D2,cached,2023-24,Did not play - non-major team,,D2,TRUE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Guzman Vasilic,guzman vasilic,FR,G,6-4,200,https://www.sports-reference.com/cbb/players/guzman-vasilic-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,Southeastern Oklahoma State,D2,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Isaac Jessup,isaac jessup,SR,G,6-2,195,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,Colorado Mesa,D2,TRUE,D2,cached,2023-24,Did not play - non-major team,,D2,TRUE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Kieran Elliott,kieran elliott,SO,G,6-6,215,https://www.sports-reference.com/cbb/players/kieran-elliott-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,West Texas A&M,D2,TRUE,D2,cached,2023-24,Did not play - non-major team,,D2,TRUE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Logan McLaughlin,logan mclaughlin,JR,G,6-2,185,https://www.sports-reference.com/cbb/players/logan-mclaughlin-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,FALSE,TRUE,2022-23,Abilene Christian,D1,FALSE,,cached,2023-24,Did not play - injury/redshirt,,NO_STATS,TRUE,already_in_transfer_table_check_lagged_outcome,already_in_transfer_table_different_first_season
2024-25,Cal Poly,cal-poly,Luka Tarlac,luka tarlac,JR,G,6-7,212,https://www.sports-reference.com/cbb/players/luka-tarlac-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,Utah,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Mac Riniker,mac riniker,SR,G,6-5,210,https://www.sports-reference.com/cbb/players/mac-riniker-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,Colorado Mesa,D2,TRUE,D2,cached,2023-24,Did not play - non-major team,,D2,TRUE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Owen Koonce,owen koonce,SR,G,6-5,195,https://www.sports-reference.com/cbb/players/owen-koonce-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,TRUE,TRUE,2024-25,Colorado Mesa,D2,TRUE,D2,cached,2023-24,Did not play - non-major team,,D2,TRUE,already_in_transfer_table,already_in_transfer_table
2024-25,Cal Poly,cal-poly,Peter Bandelj,peter bandelj,FR,G,6-4,210,https://www.sports-reference.com/cbb/players/peter-bandelj-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Ali Assran,ali assran,FR,F,6-9,210,https://www.sports-reference.com/cbb/players/ali-assran-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Austin Goode,austin goode,FR,F,6-7,200,https://www.sports-reference.com/cbb/players/austin-goode-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Braden Freeman,braden freeman,FR,F,6-6,200,https://www.sports-reference.com/cbb/players/braden-freeman-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Hamad Mousa,hamad mousa,SO,G,6-8,190,https://www.sports-reference.com/cbb/players/hamad-mousa-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,TRUE,TRUE,2025-26,Dayton,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2025-26,Cal Poly,cal-poly,Jackson Mosley,jackson mosley,JR,G,5-10,170,https://www.sports-reference.com/cbb/players/jackson-mosley-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2023-24,Cal Poly,Big West,D1,FALSE,add_transfer_row_and_d1_source_stats,new_roster_player_no_prior_school_on_cached_profile
2025-26,Cal Poly,cal-poly,Jake Davis,jake davis,JR,G,6-4,175,https://www.sports-reference.com/cbb/players/jake-davis-3.html,data/cache/sports_reference_big_west_schools/cal-poly_2026.html,had_previous_team_cache,TRUE,TRUE,2025-26,West Valley College,JUCO,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
