player_name,player_slug,destination_school,destination_school_slug,destination_conference,destination_level,source_school,source_school_slug,source_conference,source_level,transfer_year,first_big_west_season,commit_date,signed_date,enrolled_date,target_event_type,target_event_date,source_event_type,source_event_date,pathway_type,position,height,weight,class,hs_grad_year,juco_flag,redshirt_flag,model_training_window,phase1_d2_transfer_match,phase1_model_training_eligible,phase1_review_status,source_url
Osiris Grady,osiris-grady,UC Riverside,uc-riverside,Big West,D1,Utah Valley,utah-valley,WAC,D1,2025,2025-26,2025-05-22,2025-06-25,2025-09-20,COMMITMENT,2025-05-22,TRANSFER,2025-03-28,d1_big_west,Power Forward,81,215,COLLEGE_JUNIOR,2023,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/osiris-grady
Alex Chaikin,alex-chaikin,UC San Diego,uc-san-diego,Big West,D1,Lafayette,lafayette,Patriot League,D1,2025,2025-26,2025-05-03,2025-07-21,2025-09-20,COMMITMENT,2025-05-03,TRANSFER,2025-03-19,d1_big_west,Shooting Guard,77,170,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/alex-chaikin
Bol Dengdit,bol-dengdit,UC San Diego,uc-san-diego,Big West,D1,Portland,portland,West Coast,D1,2025,2025-26,2025-04-29,2025-07-21,2025-09-20,COMMITMENT,2025-04-29,TRANSFER,2025-03-24,d1_big_west,Power Forward,83,200,COLLEGE_JUNIOR,2022,FALSE,TRUE,TRUE,FALSE,,,https://www.verbalcommits.com/players/bol-dengdit
Dimitrije Vukićević,dimitrije-vukievi,UC San Diego,uc-san-diego,Big West,D1,Washington State,washington-state,West Coast,D1,2025,2025-26,2025-06-05,2025-07-21,2025-09-20,COMMITMENT,2025-06-05,TRANSFER,2025-04-23,d1_big_west,Center,84,0,COLLEGE_FRESHMAN,2024,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/dimitrije-vukievi
Emanuel Prospere II,emanuel-prospere-ii,UC San Diego,uc-san-diego,Big West,D1,Missouri–St. Louis,missouri–st.-louis,GLVC,D2,2025,2025-26,2025-05-06,2025-07-21,2025-09-20,COMMITMENT,2025-05-06,TRANSFER,2025-03-25,d2_big_west,Small Forward,77,212,COLLEGE_SENIOR,2020,TRUE,FALSE,TRUE,TRUE,TRUE,reviewed_include,https://www.verbalcommits.com/players/emanuel-prospere-ii
Leo Beath,leo-beath,UC San Diego,uc-san-diego,Big West,D1,Lynn,lynn,SSC,D2,2025,2025-26,2025-05-03,2025-07-21,2025-09-20,COMMITMENT,2025-05-03,TRANSFER,2025-03-25,d2_big_west,Power Forward,80,215,COLLEGE_JUNIOR,2022,FALSE,TRUE,TRUE,TRUE,TRUE,auto_include,https://www.verbalcommits.com/players/leo-beath
Tom Beattie,tom-beattie,UC San Diego,uc-san-diego,Big West,D1,Hawaii,hawaii,Big West,D1,2025,2025-26,2025-05-12,2025-07-21,2025-09-20,COMMITMENT,2025-05-12,TRANSFER,2025-04-17,d1_big_west,Shooting Guard,77,195,COLLEGE_JUNIOR,2023,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/tom-beattie
Trap Johnson,trap-johnson,UC San Diego,uc-san-diego,Big West,D1,Montana State,montana-state,Big Sky,D1,2025,2025-26,2025-04-27,2025-07-21,2025-09-20,COMMITMENT,2025-04-27,TRANSFER,2025-03-25,d1_big_west,Point Guard,78,200,COLLEGE_FRESHMAN,2024,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/trap-johnson
Tyson Dunn,tyson-dunn,UC San Diego,uc-san-diego,Big West,D1,Buffalo,buffalo,MAC,D1,2025,2025-26,2025-04-24,2025-07-21,2025-09-20,COMMITMENT,2025-04-24,TRANSFER,2025-03-22,d1_big_west,Point Guard,75,190,COLLEGE_SENIOR,2020,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/tyson-dunn
Aidan Mahaney,aidan-mahaney,UC Santa Barbara,uc-santa-barbara,Big West,D1,Connecticut,connecticut,Big East,D1,2025,2025-26,2025-04-29,2025-07-11,2025-09-20,COMMITMENT,2025-04-29,TRANSFER,2025-04-01,d1_big_west,Point Guard,75,185,COLLEGE_SENIOR,2022,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/aidan-mahaney
