target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Atlantic 10,2024-25,Dayton,Zed Key,zed key,Ohio State,Big Ten,D1,2023-24,SR,F,6-8,245,36,15.4,6.6,4.1,0.5,0.4,0.6,0.8,.509,.250,.710,.519,https://www.sports-reference.com/cbb/players/zed-key-1.html,https://www.sports-reference.com/cbb/players/zed-key-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Dayton,Adam Njie Jr.,adam njie,Iona,MAAC,D1,2024-25,FR,G,6-3,175,33,29.3,12.4,2.8,4.2,1.7,0.1,2.9,.413,.292,.774,.454,https://www.sports-reference.com/cbb/players/adam-njie-jr-1.html,https://www.sports-reference.com/cbb/players/adam-njie-jr-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Dayton,Bryce Heard,bryce heard,NC State,ACC,D1,2024-25,FR,G,6-5,170,24,6.3,1.2,0.8,0.3,0.2,0.0,0.1,.318,.200,.667,.364,https://www.sports-reference.com/cbb/players/bryce-heard-1.html,https://www.sports-reference.com/cbb/players/bryce-heard-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Dayton,De'Shayne Montgomery,de shayne montgomery,Georgia,SEC,D1,2024-25,SO,G,6-4,190,17,15.5,6.5,2.1,0.8,1.1,0.2,1.7,.409,.250,.711,.446,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Dayton,Jordan Derkack,jordan derkack,Rutgers,Big Ten,D1,2024-25,JR,G,6-5,205,31,17.0,5.7,2.8,1.5,0.7,0.2,1.4,.363,.250,.735,.407,https://www.sports-reference.com/cbb/players/jordan-derkack-1.html,https://www.sports-reference.com/cbb/players/jordan-derkack-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Dayton,Keonte Jones,keonte jones,Cal State Northridge,Big West,D1,2024-25,SR,F,6-6,175,33,30.8,13.1,9.0,4.1,1.8,1.3,2.6,.506,.382,.675,.528,https://www.sports-reference.com/cbb/players/keonte-jones-1.html,https://www.sports-reference.com/cbb/players/keonte-jones-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,Duquesne,Dae Dae Grant,dae dae grant,Miami (OH),MAC,D1,2021-22,JR,G,6-2,180,32,33.0,17.5,4.7,4.1,0.9,0.1,1.9,.423,.343,.853,.497,https://www.sports-reference.com/cbb/players/daedae-grant-1.html,https://www.sports-reference.com/cbb/players/daedae-grant-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,Duquesne,Joseph Reece,joseph reece,Bowling Green,MAC,D1,2021-22,JR,F,6-8,200,23,19.0,11.2,5.1,0.7,1.0,0.4,1.2,.534,.444,.701,.546,https://www.sports-reference.com/cbb/players/joseph-reece-1.html,https://www.sports-reference.com/cbb/players/joseph-reece-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,Duquesne,Tevin Brewer,tevin brewer,Florida International,CUSA,D1,2021-22,SR,G,5-8,160,30,32.1,15.2,3.5,5.6,0.9,0.0,2.8,.426,.398,.829,.513,https://www.sports-reference.com/cbb/players/tevin-brewer-1.html,https://www.sports-reference.com/cbb/players/tevin-brewer-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Duquesne,Andrei Savrasov,andrei savrasov,Georgia Southern,Sun Belt,D1,2022-23,SR,F,6-7,225,29,30.4,14.3,7.3,1.2,1.3,0.3,1.6,.498,.359,.693,.550,https://www.sports-reference.com/cbb/players/andrei-savrasov-1.html,https://www.sports-reference.com/cbb/players/andrei-savrasov-1.html,add_transfer_row_and_d1_source_stats
