first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,source_school,source_conference,source_season,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,model_recommendation
2025-26,Gonzaga,gonzaga,Jalen Warley,jalen warley,SR,G,6-6,200,https://www.sports-reference.com/cbb/players/jalen-warley-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2023-24,Florida State,ACC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Florida State,ACC,2023-24,33,24.1,7.5,2.6,2.8,1.3,0.3,1.1,0.424,0.143,0.725,0.426,https://www.sports-reference.com/cbb/players/jalen-warley-1.html,include_d1_transfer_after_outcome_stats
2025-26,Gonzaga,gonzaga,Steele Venters,steele venters,SR,G,6-7,175,https://www.sports-reference.com/cbb/players/steele-venters-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2022-23,Eastern Washington,Big Sky,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Eastern Washington,Big Sky,2022-23,34,31.5,15.3,2.8,1.5,0.8,0.4,1.9,0.457,0.371,0.845,0.553,https://www.sports-reference.com/cbb/players/steele-venters-1.html,include_d1_transfer_after_outcome_stats
2025-26,Gonzaga,gonzaga,Tyon Grant-Foster,tyon grant foster,SR,G,6-7,210,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2024-25,Grand Canyon,WAC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Grand Canyon,WAC,2024-25,26,27.5,14.8,5.9,2.1,1.7,1.5,2.7,0.399,0.232,0.686,0.438,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html,include_d1_transfer_after_outcome_stats
2022-23,Loyola Marymount,loyola-marymount,Justin Ahrens,justin ahrens,SR,F,6-6,195,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2023.html,not_on_previous_roster,cached,2021-22,Ohio State,Big Ten,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Ohio State,Big Ten,2021-22,32,20.1,4.8,2.3,0.8,0.3,0.0,0.7,0.346,0.354,0.75,0.515,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html,include_d1_transfer_after_outcome_stats
2022-23,Loyola Marymount,loyola-marymount,Michael Graham,michael graham,JR,F,6-8,214,https://www.sports-reference.com/cbb/players/michael-graham-2.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2023.html,not_on_previous_roster,cached,2021-22,Elon,CAA,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Elon,CAA,2021-22,32,20.6,9.3,6.8,0.8,0.4,1.3,1.3,0.609,,0.621,0.609,https://www.sports-reference.com/cbb/players/michael-graham-2.html,include_d1_transfer_after_outcome_stats
2022-23,Loyola Marymount,loyola-marymount,Rick Issanza,rick issanza,JR,C,7-1,245,https://www.sports-reference.com/cbb/players/rick-issanza-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2023.html,not_on_previous_roster,cached,2021-22,Oklahoma,Big 12,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Oklahoma,Big 12,2021-22,12,4.1,0.7,0.8,0.1,0.0,0.1,0.2,0.375,,0.333,0.375,https://www.sports-reference.com/cbb/players/rick-issanza-1.html,include_d1_transfer_after_outcome_stats
2023-24,Loyola Marymount,loyola-marymount,Dominick Harris,dominick harris,JR,G,6-3,190,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Gonzaga,WCC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Gonzaga,WCC,2022-23,13,4.5,1.5,0.6,0.5,0.1,0.1,0.2,0.389,0.273,1.0,0.472,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,include_d1_transfer_after_outcome_stats
2023-24,Loyola Marymount,loyola-marymount,Justice Hill,justice hill,SR,G,6-0,170,https://www.sports-reference.com/cbb/players/justice-hill-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Louisiana State,SEC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Louisiana State,SEC,2022-23,30,22.7,5.6,1.6,2.7,0.9,0.1,1.4,0.29,0.257,0.576,0.355,https://www.sports-reference.com/cbb/players/justice-hill-1.html,include_d1_transfer_after_outcome_stats
2023-24,Loyola Marymount,loyola-marymount,Justin Wright,justin wright,SR,G,6-1,210,https://www.sports-reference.com/cbb/players/justin-wright-2.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,North Carolina Central,MEAC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,North Carolina Central,MEAC,2022-23,30,33.4,16.1,5.1,2.2,1.3,0.1,2.6,0.473,0.414,0.776,0.524,https://www.sports-reference.com/cbb/players/justin-wright-2.html,include_d1_transfer_after_outcome_stats
2023-24,Loyola Marymount,loyola-marymount,Lars Thiemann,lars thiemann,SR,F,7-0,248,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,California,Pac-12,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,California,Pac-12,2022-23,31,25.1,9.5,5.4,0.6,0.5,0.6,1.8,0.485,0.0,0.74,0.485,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html,include_d1_transfer_after_outcome_stats
