target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Mountain West,2024-25,Boise State,boise-state,Emmanuel Ugbo,emmanuel ugbo,SO,F,6-8,235,https://www.sports-reference.com/cbb/players/emmanuel-ugbo-1.html,data/cache/sports_reference_mwc_schools/boise-state_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2024-25,Boise State,boise-state,Javan Buchanan,javan buchanan,JR,F,6-7,230,https://www.sports-reference.com/cbb/players/javan-buchanan-1.html,data/cache/sports_reference_mwc_schools/boise-state_2025.html,not_on_previous_roster,cached,2023-24,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
Mountain West,2025-26,Boise State,boise-state,Dominic Parolin,dominic parolin,SR,F,6-8,230,https://www.sports-reference.com/cbb/players/dominic-parolin-1.html,data/cache/sports_reference_mwc_schools/boise-state_2026.html,not_on_previous_roster,cached,2023-24,Lehigh,Patriot,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Boise State,boise-state,Drew Fielder,drew fielder,JR,F,6-10,216,https://www.sports-reference.com/cbb/players/drew-fielder-1.html,data/cache/sports_reference_mwc_schools/boise-state_2026.html,not_on_previous_roster,cached,2024-25,Georgetown,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Boise State,boise-state,Dylan Andrews,dylan andrews,SR,G,6-2,170,https://www.sports-reference.com/cbb/players/dylan-andrews-1.html,data/cache/sports_reference_mwc_schools/boise-state_2026.html,not_on_previous_roster,cached,2024-25,UCLA,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Colorado State,colorado-state,Joe Palmer,joe palmer,SR,G,6-4,190,https://www.sports-reference.com/cbb/players/joe-palmer-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
Mountain West,2022-23,Colorado State,colorado-state,Josiah Strong,josiah strong,SR,G,6-3,194,https://www.sports-reference.com/cbb/players/josiah-strong-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2023.html,not_on_previous_roster,cached,2021-22,Illinois State,MVC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Colorado State,colorado-state,Patrick Cartier,patrick cartier,SR,F,6-8,220,https://www.sports-reference.com/cbb/players/patrick-cartier-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
Mountain West,2023-24,Colorado State,colorado-state,Javonte Johnson,javonte johnson,SR,G,6-6,190,https://www.sports-reference.com/cbb/players/javonte-johnson-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2024.html,not_on_previous_roster,cached,2022-23,New Mexico,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2023-24,Colorado State,colorado-state,Joel Scott,joel scott,SR,F,6-7,225,https://www.sports-reference.com/cbb/players/joel-scott-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2024.html,not_on_previous_roster,cached,2022-23,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
