status,player_name,source_school_dataset,source_season_dataset,source_profile_team_same_season,source_match,destination_school_dataset,first_big_west_season_dataset,destination_profile_team_same_season,destination_match,profile_url,profile_cache_path,source_url,outcome_url,notes
ok,Isaac Johnson,Utah State,2024-25,Utah St.,TRUE,Hawaii,2025-26,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/isaac-johnson-23.html,data/cache/sports_reference_d1_profile_audit/isaac-johnson-23.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,
ok,Derin Saran,Stanford,2024-25,Stanford,TRUE,UC Irvine,2025-26,UC Irvine,TRUE,https://www.sports-reference.com/cbb/players/derin-saran-1.html,data/cache/sports_reference_d1_profile_audit/derin-saran-1.html,https://www.sports-reference.com/cbb/players/derin-saran-1.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2026.html,
ok,Hunter Erickson,Utah,2024-25,Utah,TRUE,Hawaii,2025-26,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/hunter-erickson-1.html,data/cache/sports_reference_d1_profile_audit/hunter-erickson-1.html,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,
ok,Josiah Davis,Niagara,2024-25,Niagara,TRUE,Cal State Northridge,2025-26,Cal St Northridge,TRUE,https://www.sports-reference.com/cbb/players/josiah-davis-1.html,data/cache/sports_reference_d1_profile_audit/josiah-davis-1.html,https://www.sports-reference.com/cbb/schools/niagara/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,
ok,Gytis Nemeikša,Xavier,2023-24,Xavier,TRUE,Hawaii,2024-25,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/gytis-nemeiksa-1.html,data/cache/sports_reference_d1_profile_audit/gytis-nemeiksa-1.html,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,
ok,Kenny Pohto,Wichita State,2023-24,Wichita St.,TRUE,UC Santa Barbara,2024-25,UCSB,TRUE,https://www.sports-reference.com/cbb/players/kenny-pohto-1.html,data/cache/sports_reference_d1_profile_audit/kenny-pohto-1.html,https://www.sports-reference.com/cbb/schools/wichita-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,
ok,Tanner Christensen,Utah Tech,2023-24,Utah Tech,TRUE,Hawaii,2024-25,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/tanner-christensen-1.html,data/cache/sports_reference_d1_profile_audit/tanner-christensen-1.html,https://www.sports-reference.com/cbb/schools/dixie-state/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,
ok,Jefferson De La Cruz Monegro,Valparaiso,2024-25,Valparaiso,TRUE,Cal State Fullerton,2025-26,Cal St Fullerton,TRUE,https://www.sports-reference.com/cbb/players/jefferson-de-la-cruz-monegro-1.html,data/cache/sports_reference_d1_profile_audit/jefferson-de-la-cruz-monegro-1.html,https://www.sports-reference.com/cbb/schools/valparaiso/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,
ok,T.J. Wainwright,Robert Morris,2023-24,Robert Morris,TRUE,Long Beach State,2024-25,Long Beach State,TRUE,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html,data/cache/sports_reference_roster_diff_profiles/tj-wainwright-1.html,https://www.sports-reference.com/cbb/schools/robert-morris/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,
ok,Marcus Wilson,Washington State,2024-25,Washington St.,TRUE,UC Davis,2025-26,UC Davis,TRUE,https://www.sports-reference.com/cbb/players/marcus-wilson-3.html,data/cache/sports_reference_d1_profile_audit/marcus-wilson-3.html,https://www.sports-reference.com/cbb/schools/washington-state/men/2025.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2026.html,
ok,Kamaka Hepa,Texas,2020-21,Texas,TRUE,Hawaii,2021-22,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/kamaka-hepa-1.html,data/cache/sports_reference_d1_profile_audit/kamaka-hepa-1.html,https://www.sports-reference.com/cbb/schools/texas/men/2021.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2022.html,
ok,Myles Che,Chattanooga,2023-24,Chattanooga,TRUE,UC Irvine,2024-25,UC Irvine,TRUE,https://www.sports-reference.com/cbb/players/myles-che-1.html,data/cache/sports_reference_d1_profile_audit/myles-che-1.html,https://www.sports-reference.com/cbb/schools/chattanooga/men/2024.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2025.html,
ok,DeSean Allen-Eikens,New Orleans,2021-22,New Orleans,TRUE,Cal State Northridge,2022-23,Cal St Northridge,TRUE,https://www.sports-reference.com/cbb/players/desean-allen-eikens-1.html,data/cache/sports_reference_d1_profile_audit/desean-allen-eikens-1.html,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html,
ok,Josh O'Garro,Texas State,2024-25,Texas St.,TRUE,Cal State Northridge,2025-26,Cal St Northridge,TRUE,https://www.sports-reference.com/cbb/players/josh-ogarro-1.html,data/cache/sports_reference_d1_profile_audit/josh-ogarro-1.html,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,
ok,Yohan Traore,Auburn,2022-23,Auburn,TRUE,UC Santa Barbara,2023-24,UCSB,TRUE,https://www.sports-reference.com/cbb/players/yohan-traore-1.html,data/cache/sports_reference_d1_profile_audit/yohan-traore-1.html,https://www.sports-reference.com/cbb/schools/auburn/men/2023.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2024.html,
