player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,pathway_type,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
A.J. George,aj-george,SMU,smu,ACC,D1,Cal State Bakersfield,cal-state-bakersfield,2025-26,d1_big_west,,,,,F,30,29,28.1,843.0,0.7025,8.2,3.5,1.5,0.3,0.3,1.7,0.393,0.208,0.65,0.413,0.44181034482758613,0.19047619047619047,0.23809523809523808,7.0,0.44,18.6,-0.4,0.2,-0.2,-0.007,-6.7,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html
Caleb McCarty,caleb-mccarty,South Carolina State,south-carolina-state,MEAC,D1,Cal State Bakersfield,cal-state-bakersfield,2025-26,d1_big_west,,,,,F,6,0,8.7,52.199999999999996,0.21749999999999997,3.2,2.5,0.3,0.0,0.2,0.2,0.615,0.0,0.75,0.615,0.6379585326953748,0.0,0.3181818181818181,16.8,0.638,14.5,0.1,0.0,0.2,0.141,-1.6,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html
Dailin Smith,dailin-smith,Alabama A&M,alabama-a-m,SWAC,D1,Cal State Bakersfield,cal-state-bakersfield,2025-26,d1_big_west,,,,,G,30,27,29.3,879.0,0.7325,16.5,2.4,0.9,1.1,0.3,1.6,0.351,0.28,0.806,0.412,0.522946247464503,0.43902439024390244,0.6422764227642276,15.4,0.514,28.5,1.3,0.4,1.8,0.081,-1.9,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html
"Pierre Geneste, Jr.",pierre-geneste-jr,Fresno State,fresno-state,Mountain West,D1,Cal State Bakersfield,cal-state-bakersfield,2025-26,d1_big_west,,,,,F,26,19,18.8,488.8,0.47000000000000003,3.0,7.0,0.3,0.5,1.4,0.8,0.611,0.0,0.367,0.611,0.5707762557077626,0.0,0.5714285714285714,13.7,0.564,8.7,0.3,0.7,1.0,0.082,-2.6,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html
E.J. Anosike,ej-anosike,Tennessee,tennessee,SEC,D1,Cal State Fullerton,cal-state-fullerton,2021-22,d1_big_west,,,,,F,32,32,32.7,1046.4,0.8175000000000001,16.3,8.3,1.8,0.8,0.3,1.9,0.516,0.267,0.777,0.527,0.58972503617945,0.07894736842105263,0.4824561403508772,24.8,0.581,25.3,3.7,1.5,5.3,0.201,3.3,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html
Garrison Wade,garrison-wade,Dartmouth,dartmouth,Ivy,D1,Cal State Fullerton,cal-state-fullerton,2022-23,d1_big_west,,,,,F,23,2,16.7,384.09999999999997,0.4175,4.4,3.3,0.4,0.3,0.2,0.4,0.337,0.375,0.833,0.464,0.5273250239693192,0.6666666666666666,0.3611111111111111,12.3,0.524,15.1,0.5,0.7,1.2,0.129,-0.1,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html
Lathaniel Bastian,lathaniel-bastian,Angelo State,angelo-state,LSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,d2_big_west,,,,,G,33,1,9.6,316.8,0.24,2.0,2.6,0.2,0.5,0.2,0.7,0.511,0.0,0.444,0.511,0.49603174603174605,0.0,1.0,11.3,0.497,15.2,0.1,0.7,0.8,0.104,-2.3,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html
Dominic Brewton,dominic-brewton,Alcorn State,alcorn-state,SWAC,D1,Cal State Fullerton,cal-state-fullerton,2023-24,d1_big_west,,,,,G,31,28,33.1,1026.1000000000001,0.8275,17.0,4.8,2.4,1.5,0.2,2.1,0.453,0.33,0.682,0.489,0.5185456320156174,0.21379310344827587,0.296551724137931,19.8,0.517,29.7,1.5,1.6,3.1,0.12,2.0,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html
Donovan Oday,donovan-oday,McNeese,mcneese,Southland,D1,Cal State Fullerton,cal-state-fullerton,2023-24,d1_big_west,,,,,G,32,0,18.3,585.6,0.4575,7.1,2.0,0.7,1.0,0.2,1.0,0.421,0.298,0.766,0.469,0.5333533653846154,0.32142857142857145,0.4285714285714286,14.7,0.527,22.2,0.6,0.9,1.5,0.101,-0.4,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html
Sydney Shipp,sydney-shipp,Occidental,occidental,SCIAC,D2,Cal State Fullerton,cal-state-fullerton,2023-24,d2_big_west,,,,,G,2,0,4.0,8.0,0.1,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,6.6,0.0,0.0,0.0,-0.004,-3.3,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html
Freddie Cooper,freddie-cooper,Moberly Area Community College,moberly-area-community-college2,,JUCO,Cal State Fullerton,cal-state-fullerton,2024-25,juco_big_west,,,,,G,8,3,9.3,74.4,0.2325,2.9,0.9,0.4,0.9,0.1,0.8,0.269,0.308,0.833,0.346,0.3970427163198248,0.4848484848484849,0.24242424242424246,5.6,0.399,24.1,-0.1,0.1,0.0,-0.018,-4.8,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html
Kaleb Brown,kaleb-brown,Missouri,missouri,SEC,D1,Cal State Fullerton,cal-state-fullerton,2024-25,d1_big_west,,,,,G,29,11,21.1,611.9000000000001,0.5275000000000001,6.2,3.1,1.7,0.6,0.1,2.1,0.367,0.286,0.746,0.43,0.49363057324840764,0.4444444444444444,0.37037037037037035,8.1,0.484,20.8,-0.5,0.4,-0.1,-0.007,-6.0,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html
Kobe Young,kobe-young,Boise State,boise-state,Mountain West,D1,Cal State Fullerton,cal-state-fullerton,2024-25,d1_big_west,,,,,G,26,19,25.6,665.6,0.64,7.7,5.8,0.8,0.5,0.2,2.0,0.389,0.224,0.609,0.424,0.4583333333333333,0.30136986301369867,0.3424657534246575,9.1,0.454,20.9,-0.5,0.4,-0.1,-0.003,-6.7,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html
Bailey Nunn,bailey-nunn,Sacramento State,sacramento-state,Big Sky,D1,Cal State Fullerton,cal-state-fullerton,2025-26,d1_big_west,,,,,G,22,4,19.0,418.0,0.475,5.4,2.1,1.5,0.7,0.0,0.6,0.376,0.426,0.893,0.547,0.6037567084078713,0.7948717948717949,0.33333333333333337,10.9,0.6,12.4,0.6,0.5,1.1,0.102,-1.4,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html
Davis White,davis-white,College of the Sequoias,college-of-the-sequoias,,JUCO,Cal State Fullerton,cal-state-fullerton,2025-26,juco_big_west,,,,,G,28,12,13.3,372.40000000000003,0.3325,3.3,1.7,0.4,0.3,0.1,0.6,0.357,0.297,0.643,0.488,0.5124223602484471,0.8666666666666667,0.16666666666666666,5.8,0.502,13.5,0.0,0.4,0.3,0.037,-5.1,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html
Jefferson De La Cruz Monegro,jefferson-monegro,Valparaiso,valparaiso,Missouri Valley,D1,Cal State Fullerton,cal-state-fullerton,2025-26,d1_big_west,,,,,G,33,33,29.0,957.0,0.725,11.9,4.6,2.3,1.0,0.4,1.0,0.407,0.286,0.89,0.469,0.5611090154658619,0.43181818181818177,0.46590909090909083,15.2,0.554,19.0,1.8,1.1,3.0,0.125,-0.3,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html
Christian Gray,christian-gray,Fresno State,fresno-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2021-22,d1_big_west,,,,,F,28,19,21.0,588.0,0.525,5.2,4.8,1.1,0.9,0.3,1.9,0.441,0.0,0.583,0.441,0.4865269461077844,0.0,0.6190476190476191,12.3,0.48,18.5,0.0,0.5,0.5,0.036,-6.1,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2022.html
Onyi Eyisi,onyi-eyisi,Fordham,fordham,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2021-22,d1_big_west,,,,,F,27,22,21.7,585.9,0.5425,9.5,4.2,0.4,0.6,0.5,0.9,0.566,0.0,0.682,0.566,0.6040183112919634,0.0,0.47692307692307695,21.1,0.594,21.7,1.6,0.5,2.0,0.14,0.1,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2022.html
DeSean Allen-Eikens,desean-allen-eikens,New Orleans,new-orleans,Southland,D1,Cal State Northridge,cal-state-northridge,2022-23,d1_big_west,,,,,G,32,32,31.2,998.4,0.78,11.1,5.0,1.3,0.8,0.6,1.7,0.454,0.315,0.702,0.496,0.5456154148643334,0.27058823529411763,0.44705882352941173,15.6,0.539,20.3,1.4,1.0,2.4,0.096,-1.1,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Dearon Tucker,dearon-tucker2,Indiana State,indiana-state,Missouri Valley,D1,Cal State Northridge,cal-state-northridge,2022-23,d1_big_west,,,,,F,32,22,17.9,572.8,0.44749999999999995,5.2,3.6,0.3,0.2,0.7,1.0,0.396,0.0,0.721,0.396,0.46132008516678497,0.0,0.3958333333333333,10.3,0.454,19.9,0.0,0.6,0.6,0.044,-7.1,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Dionte Bostick,dionte-bostick,Murray State,murray-state,Missouri Valley,D1,Cal State Northridge,cal-state-northridge,2022-23,d1_big_west,,,,,G,21,21,30.6,642.6,0.765,12.4,3.6,2.7,1.2,0.3,2.7,0.38,0.293,0.69,0.414,0.4606240713224369,0.23931623931623933,0.3418803418803419,12.7,0.458,28.1,-0.1,0.7,0.6,0.036,-2.9,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Ethan Igbanugo,ethan-igbanugo,North Dakota,north-dakota,Summit League,D1,Cal State Northridge,cal-state-northridge,2022-23,d1_big_west,,,,,G,32,14,26.0,832.0,0.65,6.1,2.3,1.8,0.6,0.1,1.3,0.369,0.388,0.676,0.483,0.5059721300597212,0.5818181818181819,0.21818181818181817,8.3,0.504,14.9,0.3,0.6,0.9,0.046,-4.5,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html
Gianni Hunt,gianni-hunt,Sacramento State,sacramento-state,Big Sky,D1,Cal State Northridge,cal-state-northridge,2023-24,d1_big_west,,,,,G,23,21,31.8,731.4,0.795,10.2,4.4,4.0,1.1,0.2,2.6,0.346,0.287,0.698,0.421,0.45486978237602566,0.5196078431372549,0.22549019607843138,9.8,0.451,20.4,0.0,1.1,1.1,0.061,-2.7,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html
Jared Barnett,jared-barnett2,San Diego State,san-diego-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2023-24,d1_big_west,,,,,G,32,6,14.8,473.6,0.37,2.1,2.4,2.4,0.5,0.0,1.3,0.275,0.219,0.526,0.313,0.3426892950391645,0.35714285714285715,0.2142857142857143,4.9,0.335,13.9,-0.6,0.8,0.2,0.018,-7.2,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html
Jasman Sangha,jasman-sangha,Texas A&M–Corpus Christi,texas-a-m–corpus-christi,Southland,D1,Cal State Northridge,cal-state-northridge,2023-24,d1_big_west,,,,,F,32,7,14.8,473.6,0.37,6.4,2.3,0.1,0.3,0.2,1.0,0.567,0.5,0.711,0.57,0.589535740604274,0.02040816326530612,0.24489795918367344,12.8,0.588,20.6,0.6,0.6,1.2,0.101,-4.3,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html
Jordan Brinson,jordan-brinson,Fresno State,fresno-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2023-24,d1_big_west,,,,,G,12,8,26.3,315.6,0.6575,8.2,4.8,3.7,1.2,0.3,1.5,0.43,0.206,0.647,0.468,0.4871673003802281,0.358974358974359,0.1794871794871795,14.2,0.485,17.7,0.3,0.6,0.9,0.108,-1.7,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html
Keonte Jones,keonte-jones,Midland College,midland-college2,,JUCO,Cal State Northridge,cal-state-northridge,2023-24,juco_big_west,,,,,F,34,31,29.4,999.5999999999999,0.735,11.4,6.9,2.2,1.6,1.5,1.9,0.536,0.333,0.646,0.563,0.5969836614997905,0.15584415584415584,0.5454545454545454,19.4,0.587,18.6,1.7,2.3,4.0,0.159,3.5,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html
Festus Ndumanya,festus-ndumanya,Southern,southern,SWAC,D1,Cal State Northridge,cal-state-northridge,2024-25,d1_big_west,,,,,F,26,0,5.8,150.79999999999998,0.145,2.3,1.2,0.2,0.2,0.1,0.4,0.411,0.0,0.591,0.411,0.45062695924764884,0.0,0.36363636363636365,8.0,0.444,23.8,0.0,0.2,0.2,0.059,-7.2,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
Judson Martindale,judson-martindale,Pacific,pacific,West Coast,D1,Cal State Northridge,cal-state-northridge,2024-25,d1_big_west,,,,,G,26,0,9.2,239.2,0.22999999999999998,2.7,1.2,0.2,0.2,0.2,0.4,0.442,0.286,0.75,0.519,0.5739795918367347,0.55,0.4,9.6,0.561,14.0,0.3,0.3,0.6,0.102,-1.2,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
"Marcus Adams, Jr.",marcus-adams-jr,Brigham Young,brigham-young,Big XII,D1,Cal State Northridge,cal-state-northridge,2024-25,d1_big_west,,,,,F,32,20,28.9,924.8,0.7224999999999999,16.1,4.9,1.5,1.0,0.3,1.6,0.526,0.395,0.735,0.607,0.6277292576419214,0.411764705882353,0.17647058823529413,21.0,0.62,23.5,2.6,1.5,4.1,0.179,4.3,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
Scotty Washington,scotty-washington,California Baptist,california-baptist,WAC,D1,Cal State Northridge,cal-state-northridge,2024-25,d1_big_west,,,,,G,33,33,29.2,963.6,0.73,14.6,3.2,1.3,0.9,0.2,1.8,0.426,0.351,0.855,0.496,0.5542058912845429,0.39999999999999997,0.33043478260869563,14.7,0.55,24.1,1.6,1.4,3.1,0.128,0.3,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
Tyler Beard,tyler-beard,Pacific,pacific,West Coast,D1,Cal State Northridge,cal-state-northridge,2024-25,d1_big_west,,,,,G,33,3,20.7,683.1,0.5175,6.0,2.8,3.3,0.7,0.1,1.8,0.392,0.378,0.737,0.47,0.497677504976775,0.4,0.21818181818181817,10.8,0.497,17.8,0.3,1.1,1.4,0.082,-1.0,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
Davius Loury,davius-loury,John A. Logan College,john-a.-logan-college,,JUCO,Cal State Northridge,cal-state-northridge,2025-26,juco_big_west,,,,,F,33,22,16.9,557.6999999999999,0.4225,4.9,2.2,0.8,0.6,0.2,0.8,0.333,0.294,0.647,0.424,0.45036764705882354,0.62,0.2,7.3,0.447,16.8,0.0,0.7,0.7,0.051,-4.6,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
Jai Chisolm,jai-chisolm,University of South Carolina Salkehatchie,university-of-south-carolina-salkehatchie,,JUCO,Cal State Northridge,cal-state-northridge,2025-26,juco_big_west,,,,,G,33,1,8.8,290.40000000000003,0.22000000000000003,2.9,1.4,0.2,0.5,0.2,0.4,0.368,0.203,0.6,0.429,0.4351740696278511,0.5937499999999999,0.09374999999999999,9.2,0.438,19.0,-0.1,0.5,0.4,0.054,-2.2,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
"James Evans, Jr.",james-evans,UNLV,unlv,Mountain West,D1,Cal State Northridge,cal-state-northridge,2025-26,d1_big_west,,,,,G,34,10,15.2,516.8,0.38,6.0,1.9,1.2,0.6,0.2,0.8,0.371,0.33,0.588,0.446,0.4716981132075471,0.45614035087719296,0.2631578947368421,11.0,0.465,21.3,0.2,0.7,0.9,0.07,-1.8,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
Josiah Davis,josiah-davis,Niagara,niagara,MAAC,D1,Cal State Northridge,cal-state-northridge,2025-26,d1_big_west,,,,,G,34,34,33.4,1135.6,0.835,15.9,4.6,7.4,1.1,0.3,4.7,0.459,0.167,0.7,0.466,0.523577449947313,0.08800000000000001,0.488,15.1,0.517,27.1,0.7,1.4,2.2,0.077,-1.6,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
"Larry Hughes, Jr.",larry-hughes-jr,Saint Louis,saint-louis,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2025-26,d1_big_west,,,,,G,33,33,31.5,1039.5,0.7875,17.7,2.9,0.9,1.5,0.2,1.4,0.421,0.395,0.86,0.533,0.5811662726556344,0.5735294117647058,0.2720588235294118,16.2,0.576,23.9,2.1,1.4,3.5,0.135,2.2,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
Jérôme Desrosiers,jrme-desrosiers,Princeton,princeton,Ivy,D1,Hawaii,hawaii,2021-22,d1_big_west,,,,,F,28,26,31.7,887.6,0.7925,10.9,6.6,1.5,0.5,0.0,1.6,0.493,0.33,0.763,0.57,0.5973257343270496,0.4634146341463415,0.25609756097560976,16.5,0.595,18.1,1.9,1.5,3.4,0.152,2.1,https://www.sports-reference.com/cbb/schools/hawaii/men/2022.html
Kamaka Hepa,kamaka-hepa,Texas,texas,Big XII,D1,Hawaii,hawaii,2021-22,d1_big_west,,,,,F,27,27,28.1,758.7,0.7025,9.4,5.0,1.4,0.4,0.7,2.0,0.44,0.396,0.804,0.55,0.5857427716849453,0.5492957746478874,0.295774647887324,14.2,0.586,19.0,1.1,1.3,2.4,0.126,1.5,https://www.sports-reference.com/cbb/schools/hawaii/men/2022.html
Matija Svetozarević,matija-svetozarevi,Portland,portland,West Coast,D1,Hawaii,hawaii,2022-23,d1_big_west,,,,,G,7,0,1.6,11.200000000000001,0.04,0.3,0.3,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.25,0.25,0.16666666666666669,0.0,-4.8,0.25,24.4,0.0,0.0,0.0,-0.106,-25.6,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html
Ryan Rapp,ryan-rapp,Washington State,washington-state,PAC 12,D1,Hawaii,hawaii,2022-23,d1_big_west,,,,,G,3,0,3.3,9.899999999999999,0.08249999999999999,0.7,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.1363636363636362,0,0,22.9,1.053,5.1,0.0,0.0,0.1,0.269,35.2,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html
Justin McKoy,justin-mckoy,North Carolina,north-carolina,ACC,D1,Hawaii,hawaii,2023-24,d1_big_west,,,,,F,34,34,31.0,1054.0,0.775,12.4,6.1,1.6,0.6,0.5,1.9,0.474,0.368,0.872,0.558,0.6195043964828139,0.4534883720930233,0.372093023255814,17.2,0.612,20.5,2.2,1.8,4.0,0.15,2.0,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html
Matthue Cotton,matthue-cotton,Yale,yale,Ivy,D1,Hawaii,hawaii,2023-24,d1_big_west,,,,,G,23,12,17.5,402.5,0.4375,3.6,2.0,0.7,0.4,0.1,0.5,0.315,0.237,0.867,0.393,0.42775665399239543,0.6666666666666667,0.1794871794871795,6.8,0.432,14.1,0.1,0.5,0.6,0.063,-1.8,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html
Gytis Nemeikša,gytis-nemeika,Xavier,xavier,Big East,D1,Hawaii,hawaii,2024-25,d1_big_west,,,,,F,31,14,22.8,706.8000000000001,0.5700000000000001,12.3,5.6,1.0,0.5,0.5,1.3,0.488,0.32,0.784,0.55,0.6113320079522863,0.38554216867469876,0.48192771084337344,23.6,0.602,26.5,2.3,1.0,3.3,0.189,4.8,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html
Jerome Palm,jerome-palm,Valparaiso,valparaiso,Missouri Valley,D1,Hawaii,hawaii,2024-25,d1_big_west,,,,,F,29,0,9.4,272.6,0.23500000000000001,2.4,2.0,0.3,0.0,0.2,0.7,0.574,0.0,0.5,0.574,0.5660377358490566,0.0,0.2631578947368421,9.5,0.569,15.7,0.0,0.3,0.3,0.046,-5.0,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html
Marcus Greene,marcus-greene2,Houston Christian,houston-christian,Southland,D1,Hawaii,hawaii,2024-25,d1_big_west,,,,,G,31,8,20.5,635.5,0.5125,7.3,1.7,1.5,0.4,0.1,1.3,0.394,0.302,0.767,0.464,0.49890650628758887,0.4626865671641791,0.208955223880597,9.4,0.495,22.2,0.3,0.6,0.9,0.055,-2.8,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html
Tanner Christensen,tanner-christensen,Utah Tech,utah-tech,WAC,D1,Hawaii,hawaii,2024-25,d1_big_west,,,,,F,31,31,25.1,778.1,0.6275000000000001,10.8,6.9,1.2,0.2,0.8,1.8,0.599,0.429,0.681,0.615,0.6566147859922179,0.08064516129032258,0.7419354838709676,20.8,0.641,21.3,2.1,1.1,3.2,0.163,1.9,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html
Hunter Erickson,hunter-erickson,Utah,utah,Big XII,D1,Hawaii,hawaii,2025-26,d1_big_west,,,,,G,33,33,31.4,1036.2,0.7849999999999999,8.4,3.8,3.9,0.8,0.5,2.4,0.441,0.35,0.71,0.538,0.5657327586206896,0.5384615384615384,0.3230769230769231,10.7,0.566,15.0,0.7,2.1,2.8,0.106,0.4,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Isaac Finlinson,isaac-finlinson,Snow College,snow-college2,,JUCO,Hawaii,hawaii,2025-26,juco_big_west,,,,,F,33,16,22.7,749.1,0.5675,9.2,3.6,0.8,0.6,0.2,1.2,0.488,0.391,0.657,0.57,0.6002087682672234,0.41269841269841273,0.4920634920634921,14.0,0.593,19.0,1.1,1.5,2.6,0.139,1.4,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Isaac Johnson,isaac-johnson,Utah State,utah-state,Mountain West,D1,Hawaii,hawaii,2025-26,d1_big_west,,,,,C,33,33,21.2,699.6,0.53,14.1,5.8,1.0,0.6,1.0,1.8,0.502,0.322,0.885,0.562,0.638124547429399,0.3804347826086957,0.4565217391304348,26.3,0.628,29.6,2.4,1.7,4.1,0.234,7.0,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Jalen Myers,jalen-myers,Norfolk State,norfolk-state,MEAC,D1,Hawaii,hawaii,2025-26,d1_big_west,,,,,F,7,0,9.0,63.0,0.225,2.9,0.9,0.6,0.1,0.0,0.3,0.35,0.0,0.6,0.35,0.4124004550625711,0.13793103448275862,0.48275862068965514,6.3,0.404,20.4,0.0,0.1,0.1,0.061,-6.5,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Yacine Toumi,yacine-toumi,Seton Hall,seton-hall,Big East,D1,Hawaii,hawaii,2025-26,d1_big_west,,,,,G,30,0,10.3,309.0,0.2575,4.3,2.5,0.4,0.3,0.4,0.8,0.581,0.0,0.581,0.581,0.5972222222222222,0.0,1.0,16.6,0.591,20.9,0.5,0.7,1.2,0.153,-0.3,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html
Amari Stroud,amari-stroud,Allan Hancock College,allan-hancock-college2,,JUCO,Long Beach State,long-beach-state,2022-23,juco_big_west,,,,,F,29,0,13.5,391.5,0.3375,5.2,3.2,0.6,0.4,0.3,0.6,0.548,0.0,0.605,0.548,0.5579399141630901,0.025,0.375,18.1,0.561,18.4,0.8,0.6,1.4,0.147,1.3,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html
Chayce Polynice,chayce-polynice,College of Southern Idaho,college-of-southern-idaho2,,JUCO,Long Beach State,long-beach-state,2022-23,juco_big_west,,,,,C,23,0,8.4,193.20000000000002,0.21000000000000002,3.3,1.6,0.3,0.1,0.3,0.5,0.456,0.231,0.417,0.478,0.47965116279069764,0.19999999999999998,0.3333333333333333,11.3,0.472,22.1,0.1,0.3,0.3,0.067,-6.8,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html
Lassina Traoré,lassina-traor,Saint Louis,saint-louis,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,d1_big_west,,,,,F,33,33,28.1,927.3000000000001,0.7025,12.9,10.5,1.2,0.8,0.6,1.8,0.534,0.0,0.683,0.534,0.569385593220339,0.0,0.3814432989690722,22.4,0.563,22.1,2.2,1.8,4.0,0.173,1.8,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html
Marcus Tsohonis,marcus-tsohonis,VCU,vcu,Atlantic 10,D1,Long Beach State,long-beach-state,2022-23,d1_big_west,,,,,G,28,21,26.3,736.4,0.6575,14.1,3.4,2.0,0.9,0.1,2.5,0.39,0.264,0.703,0.427,0.4681274900398406,0.2857142857142857,0.3007518796992481,13.4,0.466,31.4,0.3,0.9,1.2,0.067,-4.0,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html
Messiah Thompson,messiah-thompson,Alabama A&M,alabama-a-m,SWAC,D1,Long Beach State,long-beach-state,2023-24,d1_big_west,,,,,G,35,19,18.3,640.5,0.4575,5.8,0.9,1.9,0.7,0.0,1.2,0.358,0.284,0.607,0.43,0.4494730316181029,0.5081967213114754,0.13114754098360656,7.4,0.442,19.9,-0.1,0.5,0.4,0.023,-5.4,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2024.html
Cam Denson,cam-denson,Pacific,pacific,West Coast,D1,Long Beach State,long-beach-state,2024-25,d1_big_west,,,,,F,30,15,18.6,558.0,0.465,4.8,3.2,0.8,0.3,0.3,1.2,0.47,0.353,0.382,0.521,0.5115089514066495,0.2820512820512821,0.46153846153846156,8.4,0.5,16.9,0.0,0.3,0.3,0.024,-5.5,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
Christian Richardson,christian-richardson,Butler Community College,butler-community-college,,JUCO,Long Beach State,long-beach-state,2024-25,juco_big_west,,,,,C,27,1,8.0,216.0,0.2,2.2,1.2,0.2,0.1,0.3,0.8,0.69,0.0,0.633,0.69,0.6944444444444444,0.0,1.0,8.7,0.682,16.1,0.1,0.1,0.2,0.033,-10.5,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
"Cory Curtis, Jr.",cory-curtis-jr,Independence Community College,independence-community-college2,,JUCO,Long Beach State,long-beach-state,2024-25,juco_big_west,,,,,G,6,0,8.3,49.800000000000004,0.20750000000000002,1.7,1.3,0.2,0.2,0.0,0.5,0.286,0.125,0.5,0.321,0.3495065789473684,0.5652173913043479,0.13043478260869565,1.4,0.334,19.0,-0.1,0.0,-0.1,-0.063,-5.4,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
Derrick Michael Xzavierro,derrick-michael-xzavierro,GCU,gcu,WAC,D1,Long Beach State,long-beach-state,2024-25,d1_big_west,,,,,F,29,21,22.3,646.7,0.5575,5.2,6.8,0.6,0.5,1.2,1.0,0.436,0.172,0.698,0.455,0.4942965779467681,0.2173913043478261,0.32608695652173914,14.9,0.492,14.9,0.6,0.8,1.4,0.087,-2.0,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
Devin Askew,devin-askew,California,california,PAC 12,D1,Long Beach State,long-beach-state,2024-25,d1_big_west,,,,,G,32,32,36.0,1152.0,0.9,18.9,4.6,4.5,1.5,0.1,3.7,0.401,0.376,0.886,0.471,0.5434782608695652,0.3774834437086093,0.34437086092715236,18.2,0.536,31.2,1.8,1.0,2.8,0.096,0.6,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
