player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,pathway_type,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Mac Riniker,mac-riniker,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,d2_big_west,2024-25,Cal Poly,Big West,SR,G,35,35,24.8,868.0,0.62,9.4,4.6,2.5,1.5,0.6,2.7,0.523,0.342,0.622,0.579,0.6016385048643114,0.338235294117647,0.338235294117647,14.3,0.59,20.2,0.7,1.1,1.9,0.087,-1.0,https://www.sports-reference.com/cbb/players/mac-riniker-1.html
Owen Koonce,owen-koonce,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,d2_big_west,2024-25,Cal Poly,Big West,SR,G,35,35,30.1,1053.5,0.7525000000000001,16.9,4.8,1.8,1.1,0.5,2.6,0.517,0.404,0.881,0.6,0.6419021573989667,0.4152542372881356,0.2627118644067796,19.8,0.637,24.9,2.6,1.0,3.6,0.135,2.0,https://www.sports-reference.com/cbb/players/owen-koonce-1.html
Zion Richardson,zion-richardson,Quincy,quincy,GLVC,D2,Cal State Fullerton,cal-state-fullerton,2024-25,d2_big_west,2024-25,Cal State Fullerton,Big West,SR,G,21,4,18.1,380.1,0.4525,7.6,3.3,0.9,0.6,0.0,1.1,0.439,0.343,0.837,0.551,0.6217277486910995,0.6470588235294118,0.45098039215686275,16.7,0.61,20.6,0.8,0.3,1.1,0.11,1.0,https://www.sports-reference.com/cbb/players/zion-richardson-1.html
Grady Lewis,grady-lewis,Cal State East Bay,cal-state-east-bay,CCAA,D2,Cal State Northridge,cal-state-northridge,2024-25,d2_big_west,2024-25,Cal State Northridge,Big West,JR,F,33,13,13.4,442.2,0.335,6.2,3.8,0.5,0.2,0.2,0.8,0.584,0.0,0.561,0.584,0.5907012195121951,0.0,0.37777777777777777,18.2,0.585,21.2,1.0,0.7,1.7,0.158,-3.1,https://www.sports-reference.com/cbb/players/grady-lewis-1.html
Maximo Milovich,maximo-milovich,Biola,biola,PacWest,D2,UC San Diego,uc-san-diego,2024-25,d2_big_west,2024-25,UC San Diego,Big West,SR,C,33,2,13.3,438.90000000000003,0.3325,2.3,2.8,0.8,0.2,0.2,0.3,0.604,0.25,0.5,0.623,0.6169527896995707,0.125,0.37499999999999994,11.7,0.608,8.8,0.8,1.0,1.7,0.159,-1.0,https://www.sports-reference.com/cbb/players/maximo-milovich-1.html
Miloš Vićentić,milo-vienti,McKendree,mckendree,GLVC,D2,UC San Diego,uc-san-diego,2024-25,d2_big_west,2024-25,UC San Diego,Big West,SR,F,1,0,20.0,20.0,0.5,3.0,5.0,0.0,0.0,0.0,1.0,0.167,1.0,0.0,0.25,0.25,0.16666666666666666,0.0,-1.6,0.25,18.3,-0.1,0.0,0.0,-0.029,-5.9,https://www.sports-reference.com/cbb/players/milos-vicentic-1.html
Nordin Kapić,nordin-kapi,Lynn,lynn,SSC,D2,UC San Diego,uc-san-diego,2024-25,d2_big_west,2024-25,UC San Diego,Big West,JR,F,34,33,25.0,850.0,0.625,10.7,5.2,1.2,0.8,0.4,1.3,0.39,0.307,0.748,0.481,0.531597774244833,0.5977011494252874,0.35632183908045983,16.1,0.526,24.0,1.3,2.1,3.5,0.163,1.1,https://www.sports-reference.com/cbb/players/nordin-kapic-1.html
Jaden Henderson,jaden-henderson,Concordia Irvine,concordia-irvine,PacWest,D2,Cal State Fullerton,cal-state-fullerton,2025-26,d2_big_west,2025-26,Cal State Fullerton,Big West,SR,G,32,1,17.8,569.6,0.445,7.6,2.5,1.7,0.5,0.1,1.1,0.442,0.368,0.75,0.532,0.5413105413105413,0.4852941176470588,0.07352941176470588,13.5,0.541,21.3,0.5,0.6,1.1,0.079,-1.3,https://www.sports-reference.com/cbb/players/jaden-henderson-1.html
Joshua Ward,joshua-ward,Palm Beach Atlantic,palm-beach-atlantic,SSC,D2,Cal State Fullerton,cal-state-fullerton,2025-26,d2_big_west,2025-26,Cal State Fullerton,Big West,,G,34,34,30.9,1050.6,0.7725,14.5,4.5,3.5,1.6,0.5,2.0,0.44,0.309,0.751,0.503,0.5620155038759691,0.4112149532710281,0.4672897196261683,17.1,0.555,22.8,1.7,1.5,3.2,0.121,2.1,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html
Landon Seaman,landon-seaman,Menlo,menlo,PacWest,D2,Cal State Fullerton,cal-state-fullerton,2025-26,d2_big_west,2025-26,Cal State Fullerton,Big West,SR,F,34,6,20.8,707.2,0.52,12.0,3.3,1.2,0.6,0.4,1.1,0.541,0.36,0.615,0.598,0.6124948958758676,0.3132530120481928,0.4096385542168674,20.3,0.606,24.6,1.7,0.8,2.5,0.141,2.1,https://www.sports-reference.com/cbb/players/landon-seaman-1.html
