target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
WCC,Braeden Smith,braeden smith,Colgate,Patriot,D1,Gonzaga,2025-26,2023-24,G,6-0,180,35,30.2,0.755,12.5,5.5,5.6,1.9,0.1,2.3,0.393,0.311,0.786,0.462,16.55629139072848,7.28476821192053,7.417218543046358,2.5165562913907285,0.13245033112582782,3.0463576158940397,35,18,17.1,598.5,0.42750000000000005,5.1,2.2,3.6,1.0,0.0,1.1,0.575880758807588,17.2,15.9,2.7,0.181,7.1,https://www.sports-reference.com/cbb/players/braeden-smith-1.html,https://www.sports-reference.com/cbb/players/braeden-smith-1.html
WCC,Jalen Warley,jalen warley,Florida State,ACC,D1,Gonzaga,2025-26,2023-24,G,6-6,200,33,24.1,0.6025,7.5,2.6,2.8,1.3,0.3,1.1,0.424,0.143,0.725,0.426,12.448132780082986,4.3153526970954355,4.647302904564315,2.1576763485477177,0.49792531120331945,1.8257261410788381,33,17,21.8,719.4,0.545,7.1,4.8,2.1,1.5,0.3,0.9,0.5992572586090479,18.7,15.6,3.6,0.202,8.4,https://www.sports-reference.com/cbb/players/jalen-warley-1.html,https://www.sports-reference.com/cbb/players/jalen-warley-1.html
WCC,Steele Venters,steele venters,Eastern Washington,Big Sky,D1,Gonzaga,2025-26,2022-23,G,6-7,175,34,31.5,0.7875,15.3,2.8,1.5,0.8,0.4,1.9,0.457,0.371,0.845,0.553,19.428571428571427,3.5555555555555554,1.9047619047619047,1.0158730158730158,0.5079365079365079,2.4126984126984126,27,10,15.1,407.7,0.3775,5.0,1.3,1.0,0.6,0.1,0.6,0.5712979890310785,11.3,16.4,1.4,0.138,3.9,https://www.sports-reference.com/cbb/players/steele-venters-1.html,https://www.sports-reference.com/cbb/players/steele-venters-1.html
WCC,Tyon Grant-Foster,tyon grant foster,Grand Canyon,WAC,D1,Gonzaga,2025-26,2024-25,G,6-7,210,26,27.5,0.6875,14.8,5.9,2.1,1.7,1.5,2.7,0.399,0.232,0.686,0.438,21.527272727272727,8.581818181818182,3.0545454545454547,2.4727272727272727,2.1818181818181817,3.9272727272727272,35,6,21.5,752.5,0.5375,11.1,5.0,1.2,0.8,1.1,1.4,0.5386257763975155,20.0,26.8,3.3,0.175,5.9,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html
WCC,Justin Ahrens,justin ahrens,Ohio State,Big Ten,D1,Loyola Marymount,2022-23,2021-22,F,6-6,195,32,20.1,0.5025000000000001,4.8,2.3,0.8,0.3,0.0,0.7,0.346,0.354,0.75,0.515,9.552238805970148,4.577114427860696,1.5920398009950247,0.5970149253731343,0.0,1.3930348258706466,29,24,23.2,672.8,0.58,6.6,1.9,0.7,0.5,0.2,0.8,0.537459283387622,8.9,15.2,1.2,0.071,-0.1,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html
WCC,Michael Graham,michael graham,Elon,CAA,D1,Loyola Marymount,2022-23,2021-22,F,6-8,214,32,20.6,0.515,9.3,6.8,0.8,0.4,1.3,1.3,0.609,0.0,0.621,0.609,18.058252427184463,13.20388349514563,1.5533980582524272,0.7766990291262136,2.524271844660194,2.524271844660194,31,7,15.2,471.2,0.38,4.5,5.3,0.4,0.3,0.7,0.9,0.6918819188191883,19.6,13.6,1.8,0.152,2.1,https://www.sports-reference.com/cbb/players/michael-graham-2.html,https://www.sports-reference.com/cbb/players/michael-graham-2.html
WCC,Rick Issanza,rick issanza,Oklahoma,Big 12,D1,Loyola Marymount,2022-23,2021-22,C,7-1,245,12,4.1,0.1025,0.7,0.8,0.1,0.0,0.1,0.2,0.375,0.0,0.333,0.375,6.829268292682928,7.8048780487804885,0.9756097560975611,0.0,0.9756097560975611,1.9512195121951221,28,24,16.0,448.0,0.4,3.6,4.2,0.3,0.2,1.0,1.2,0.5944517833553501,12.9,13.2,0.9,0.079,0.4,https://www.sports-reference.com/cbb/players/rick-issanza-1.html,https://www.sports-reference.com/cbb/players/rick-issanza-1.html
WCC,Dominick Harris,dominick harris,Gonzaga,WCC,D1,Loyola Marymount,2023-24,2022-23,G,6-3,190,13,4.5,0.1125,1.5,0.6,0.5,0.1,0.1,0.2,0.389,0.273,1.0,0.472,13.333333333333334,5.333333333333333,4.444444444444445,0.8888888888888888,0.8888888888888888,1.7777777777777777,24,13,28.5,684.0,0.7125,14.3,3.3,1.0,0.5,0.1,1.9,0.5872207621550591,15.9,25.9,1.8,0.106,1.3,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,https://www.sports-reference.com/cbb/players/dominick-harris-1.html
WCC,Justice Hill,justice hill,Louisiana State,SEC,D1,Loyola Marymount,2023-24,2022-23,G,6-0,170,30,22.7,0.5675,5.6,1.6,2.7,0.9,0.1,1.4,0.29,0.257,0.576,0.355,9.86784140969163,2.8193832599118944,4.757709251101322,1.5859030837004406,0.1762114537444934,2.4669603524229076,23,20,29.2,671.6,0.73,11.2,1.9,4.2,0.5,0.1,1.9,0.5135730007336757,14.2,22.9,1.5,0.087,-1.7,https://www.sports-reference.com/cbb/players/justice-hill-1.html,https://www.sports-reference.com/cbb/players/justice-hill-1.html
WCC,Justin Wright,justin wright,North Carolina Central,MEAC,D1,Loyola Marymount,2023-24,2022-23,G,6-1,210,30,33.4,0.835,16.1,5.1,2.2,1.3,0.1,2.6,0.473,0.414,0.776,0.524,19.281437125748504,6.107784431137725,2.6347305389221556,1.5568862275449102,0.11976047904191617,3.1137724550898205,29,12,26.4,765.5999999999999,0.6599999999999999,11.1,3.4,1.9,0.5,0.1,1.3,0.5637952052011378,16.4,22.2,2.2,0.114,0.6,https://www.sports-reference.com/cbb/players/justin-wright-2.html,https://www.sports-reference.com/cbb/players/justin-wright-2.html
