player_name,d2_school,d2_conference,d1_school,first_d1_season,d2_season,source_url,reason
Isaiah Moses,Alaska Anchorage,,UC Riverside,2022-23,2021-22,,2020-21 source season appears cancelled/no playable stat row
Guzmán Vasilić,Southeastern Oklahoma State,,Cal Poly,2024-25,2023-24,,Redshirt/did not play; no D2 source stat row expected
