Team,Conference,season,reason,missing_players
Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,4
Edward Waters,Southern Intercollegiate Athletic,2025-26,https://ewutigerpride.com/sports/mens-basketball/stats/: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,1
Elizabeth City State,Central Intercollegiate Athletic,2025-26,https://ecsuvikings.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,1
Jefferson,Central Athletic,2025-26,https://jeffersonrams.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,1
Lake Erie,Great Midwest Athletic,2025-26,https://lakeeriestorm.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,1
